id,y_2012,y_2013
1,218209,691672
2,5229222,2525967
3,37764,128491
4,1124393,0
5,58551,109076
6,36451,2767095
7,2362834,149788755
8,337275,512913
9,167109,105357
10,6651221,14785334
11,212148,287738
12,353297,367897
13,1802731,1708855
14,535735,447319
15,7380739,139380
16,14702,102916
17,1374674,105109
18,221476,425960
19,89235,13868
20,24389,29439
21,3326598,6624631
22,1329763,1963409
23,20517331,801780
24,360319,294426
25,1196871,887647
26,84822,6422
27,172528,383925
28,6201796,7705780
29,314897,292907
30,818168,1794809
31,1156312,6266576
32,366143,1093358
33,25442,81885
34,49368,41835
35,493095,0
36,1929970,623622
37,4330785,3642691
38,42590,33558
39,61032,295882
40,40296,77055
41,6684673,371588
42,9099935,1076421
43,0,128495
44,1096934,967996
45,0,0
46,7585601,2433694
47,196489,87766
48,20001,6110
49,46908,51152
50,3816083,2053690
51,686575,3399555
52,803096,1929940
53,40671958,4
54,39252,1030
55,8283,46474
56,44806,512990
57,731916,1837296
58,240305,753278
59,87671,118559
60,488467,1091624
61,6066949,8067294
62,410160,2040648
63,7005,189748
64,3351862,2350681
65,162812,403548
66,985265,403995
67,7492376,4544373
68,83101867,51975248
69,158661,78402
70,1825383,51864980
71,617073,1300699
72,1438411,1474449
73,1258026,1986820
74,152195,419891
75,162067,87749
76,3845999,4804450
77,22402,393312
78,6014582,5777361
79,3032929,780939
80,3148934,1430892
81,2127585,4004629
82,457594,1084458
83,380905,2504721
84,1715707,2122615
85,28961,1251051
86,482153,2858272
87,2262594,2755168
88,1863674,952546
89,304689,0
90,84515,3341874
91,479802,582157
92,556366,410811
93,6462,1028989
94,1006949,2100357
95,67755,107502
96,348448,17833
97,287017,965137
98,191246,85887
99,0,67837
100,334584,990511
101,1335665,3003432
102,48487,455982
103,112403,3766
104,17325,31027
105,187814,63555
106,135939,54438
107,0,12857
108,90312,0
109,4246289,2230404
110,474477,88475
111,12662,61650
112,3060,9176
113,26173,282662
114,33723,21584
115,327964,239304
116,198649,230835
117,364073,582609
118,7793,25676
119,83062,18185
120,3985,49338
121,869162,2023602
122,2212462,1708625
123,48843,584961
124,1674046,2154634
125,2368580,1407012
126,3953513,68820254
127,3213526,4361860
128,1810780,55731
129,1711059,2514420
130,202151,159407
131,667818,568058
132,135351425,0
133,155098,1260632
134,330592,51532
135,1507436,1672163
136,597780,5942555
137,132426,7354
138,615514,1201847
139,65534,32006
140,8675067,7815573
141,4760054,169351
142,518271,568966
143,2717697,2574571
144,43434,81248
145,147848,76098
146,62495,427922
147,2210390,7879548
148,197146,38013
149,294726,302087
150,1161014,4963696
151,198104,0
152,436768,433360
153,11960914,39045352
