id,y_2011,y_2013,y_2014
370630001011,456,437,519
370630001012,816,744,576
370630001021,1100,1357,1392
370630001022,795,700,766
370630002001,367,456,560
370630002002,622,451,296
370630002003,609,557,473
370630003011,521,578,540
370630003012,369,392,377
370630003013,434,358,438
370630003021,399,426,462
370630003022,776,689,648
370630003023,756,894,785
370630004011,391,386,436
370630004012,381,537,536
370630004013,616,673,621
370630004021,1106,1121,1054
370630005001,232,128,145
370630005002,291,387,365
370630005003,476,364,390
370630005004,224,243,342
370630006001,1151,1201,1368
370630006002,1222,1352,1228
370630006003,169,157,166
370630007001,342,385,401
370630007002,380,367,439
370630007003,745,683,689
370630009001,358,461,453
370630009002,369,322,340
370630010011,540,550,457
370630010012,296,225,347
370630010013,279,550,764
370630010021,980,1014,810
370630010022,174,259,373
370630010023,426,335,459
370630010024,304,317,543
370630011001,332,602,626
370630011002,338,341,359
370630013011,313,366,450
370630013031,772,848,930
370630013032,164,184,179
370630013041,817,980,964
370630014001,262,221,228
370630014002,526,608,434
370630015011,618,662,520
370630015021,982,932,1126
370630015022,322,322,301
370630015023,1005,1037,1114
370630015024,223,244,167
370630015031,415,323,333
370630016011,557,528,515
370630016012,1693,1544,1444
370630016013,574,693,780
370630016031,227,144,206
370630016032,1259,1539,1518
370630016033,565,586,601
370630016034,940,879,756
370630016041,885,916,805
370630016042,1561,1564,1482
370630016043,835,877,847
370630017051,762,698,680
370630017052,905,979,1122
370630017053,619,573,616
370630017061,1110,1321,1422
370630017062,1370,1242,1116
370630017071,701,735,739
370630017072,1021,1133,1103
370630017073,383,331,287
370630017074,952,976,973
370630017075,607,673,524
370630017081,1730,1921,2046
370630017091,188,309,262
370630017092,430,263,289
370630017093,1417,1482,1495
370630017101,1396,1371,1332
370630017102,654,718,887
370630017111,467,649,793
370630017112,718,659,735
370630017113,820,794,715
370630018011,879,835,1139
370630018012,197,183,193
370630018013,1209,1591,1649
370630018014,400,502,488
370630018015,199,264,259
370630018021,754,921,1137
370630018022,883,827,731
370630018023,804,1016,1237
370630018024,297,268,235
370630018061,762,883,836
370630018062,1695,1830,1882
370630018071,1406,1558,1518
370630018072,1805,1886,1697
370630018073,1565,1315,1426
370630018081,858,954,1142
370630018082,1390,2073,2265
370630018091,1626,1480,1477
370630018092,1901,1871,1557
370630019001,202,190,222
370630019002,1090,1183,1213
370630020071,1082,948,995
370630020072,1221,1330,1451
370630020073,529,521,464
370630020081,407,388,432
370630020082,1125,1172,1189
370630020091,738,705,701
370630020092,562,429,422
370630020093,730,730,649
370630020131,863,808,770
370630020132,543,439,558
370630020133,1003,1196,1090
370630020151,1228,1057,1195
370630020152,1206,1126,1221
370630020153,195,331,301
370630020161,1638,1989,1678
370630020162,1060,1204,1405
370630020171,1060,1206,1188
370630020172,770,759,757
370630020173,1114,1317,1564
370630020181,982,987,1123
370630020182,1698,1795,1954
370630020183,1357,1522,1541
370630020191,1020,1041,1121
370630020192,719,978,942
370630020193,812,887,659
370630020201,1226,1202,1295
370630020202,1995,2301,2434
370630020211,1840,2008,1907
370630020212,600,566,721
370630020221,1663,1601,1558
370630020222,1174,1060,1141
370630020231,716,843,843
370630020232,1046,938,903
370630020241,2382,2376,2508
370630020242,633,527,500
370630020243,1020,1007,1037
370630020251,1080,1431,1495
370630020252,1511,1196,1067
370630020253,633,882,951
370630020261,821,701,857
370630020262,1863,2149,1954
370630020271,758,889,970
370630020272,2670,2418,2333
370630020273,1015,983,1122
370630020281,973,1292,1447
370630020282,897,818,839
370630020283,1664,1833,2014
370630021001,855,1049,1052
370630021002,1056,1120,1195
370630021003,1006,926,845
370630022001,878,1098,1171
370630023001,209,227,225
370630023002,63,166,118
370639801001,24,41,24
