id,y_2013,y_2014
370630001011,588,590
370630001012,731,737
370630001021,1118,1120
370630001022,840,831
370630002001,464,461
370630002002,445,641
370630002003,429,426
370630003011,526,529
370630003012,321,321
370630003013,316,329
370630003021,381,383
370630003022,494,497
370630003023,895,888
370630004011,462,461
370630004012,422,424
370630004013,343,342
370630004021,1048,1558
370630005001,450,900
370630005002,365,367
370630005003,677,700
370630005004,461,467
370630006001,1121,1404
370630006002,941,952
370630006003,218,218
370630007001,498,767
370630007002,473,561
370630007003,507,509
370630009001,365,383
370630009002,458,463
370630010011,398,403
370630010012,543,550
370630010013,559,555
370630010021,1080,1083
370630010022,325,331
370630010023,370,370
370630010024,516,516
370630011001,864,867
370630011002,577,570
370630013011,675,674
370630013031,518,514
370630013032,289,288
370630013041,1092,1092
370630014001,446,448
370630014002,762,767
370630015011,137,137
370630015021,1391,1517
370630015022,705,694
370630015023,1125,1250
370630015024,633,632
370630016011,456,572
370630016012,1181,1181
370630016013,668,819
370630016031,278,280
370630016032,1113,1141
370630016033,509,540
370630016034,714,698
370630016041,868,862
370630016042,1125,1125
370630016043,662,695
370630017051,697,704
370630017052,1087,1082
370630017053,694,695
370630017061,1364,1455
370630017062,1046,1045
370630017071,464,469
370630017072,722,719
370630017073,265,264
370630017074,780,809
370630017075,398,1090
370630017081,1656,1709
370630017091,364,384
370630017092,355,355
370630017093,1982,2475
370630017101,1149,1152
370630017102,723,722
370630017111,603,646
370630017112,768,768
370630017113,733,742
370630018011,774,776
370630018012,268,278
370630018013,1006,1045
370630018014,461,459
370630018015,288,292
370630018021,809,829
370630018022,670,670
370630018023,798,803
370630018024,356,346
370630018061,688,722
370630018062,1561,1605
370630018071,1039,1146
370630018072,1288,1302
370630018073,1062,1069
370630018081,797,838
370630018082,1937,2277
370630018091,1604,1620
370630018092,1170,1189
370630019001,296,404
370630019002,999,1037
370630020071,838,837
370630020072,1086,1154
370630020073,375,376
370630020081,386,386
370630020082,840,839
370630020091,799,799
370630020092,453,451
370630020093,713,713
370630020131,667,665
370630020132,402,402
370630020133,803,803
370630020151,994,991
370630020152,1139,1138
370630020153,197,528
370630020161,1759,1855
370630020162,970,966
370630020171,981,981
370630020172,677,680
370630020173,1837,1921
370630020181,1310,1622
370630020182,1641,2005
370630020183,1037,1088
370630020191,876,890
370630020192,949,1050
370630020193,713,824
370630020201,760,761
370630020202,1588,1663
370630020211,1781,1775
370630020212,509,573
370630020221,1133,1133
370630020222,1105,1125
370630020231,608,608
370630020232,738,878
370630020241,1628,1665
370630020242,669,669
370630020243,756,756
370630020251,895,915
370630020252,1046,1046
370630020253,596,599
370630020261,1014,1033
370630020262,1827,1836
370630020271,633,673
370630020272,2127,2549
370630020273,1053,1054
370630020281,1019,1052
370630020282,937,941
370630020283,2070,2118
370630021001,937,954
370630021002,788,837
370630021003,769,767
370630022001,498,801
370630015031,,
370630023001,356,331
370630023002,79,221
370639801001,,
