id,2005-2009,2010-2014
3.7063E+11,6.305,6.305
3.7063E+11,9.455,9.455
3.7063E+11,12.925,12.925
3.7063E+11,9.75,9.75
3.7063E+11,4.305,4.305
3.7063E+11,5.555,5.555
3.7063E+11,4.87,4.87
3.7063E+11,5.095,5.095
3.7063E+11,3.64,3.64
3.7063E+11,3.785,3.785
3.7063E+11,3.895,3.895
3.7063E+11,5.57,5.57
3.7063E+11,7.665,7.665
3.7063E+11,4.49,4.49
3.7063E+11,4.655,4.655
3.7063E+11,3.47,3.47
3.7063E+11,9.815,9.815
3.7063E+11,5.775,5.775
3.7063E+11,2.92,2.92
3.7063E+11,6.445,6.445
3.7063E+11,5.325,5.325
3.7063E+11,12.155,12.155
3.7063E+11,11.14,11.14
3.7063E+11,2.59,2.59
3.7063E+11,3.59,3.59
3.7063E+11,5.15,5.15
3.7063E+11,5.41,5.41
3.7063E+11,4.005,4.005
3.7063E+11,4.335,4.335
3.7063E+11,4.39,4.39
3.7063E+11,6.495,6.495
3.7063E+11,6.445,6.445
3.7063E+11,15.225,15.225
3.7063E+11,3.935,3.935
3.7063E+11,4.23,4.23
3.7063E+11,6.48,6.48
3.7063E+11,9.735,9.735
3.7063E+11,6.39,6.39
3.7063E+11,5.64,5.64
3.7063E+11,15.605,15.605
3.7063E+11,2.775,2.775
3.7063E+11,12.785,12.785
3.7063E+11,4.92,4.92
3.7063E+11,8.125,8.125
3.7063E+11,15.35,15.35
3.7063E+11,11.955,11.955
3.7063E+11,5.12,5.12
3.7063E+11,10.585,10.585
3.7063E+11,2.27,2.27
3.7063E+11,9.705,9.705
3.7063E+11,5.62,5.62
3.7063E+11,14.92,14.92
3.7063E+11,8.49,8.49
3.7063E+11,3.19,3.19
3.7063E+11,13.12,13.12
3.7063E+11,6.135,6.135
3.7063E+11,8.91,8.91
3.7063E+11,9.895,9.895
3.7063E+11,14.21,14.21
3.7063E+11,9.12,9.12
3.7063E+11,8.055,8.055
3.7063E+11,7.675,7.675
3.7063E+11,6.865,6.865
3.7063E+11,11.55,11.55
3.7063E+11,9.345,9.345
3.7063E+11,5.34,5.34
3.7063E+11,8.005,8.005
3.7063E+11,3.135,3.135
3.7063E+11,8.72,8.72
3.7063E+11,7.225,7.225
3.7063E+11,19.945,19.945
3.7063E+11,4.855,4.855
3.7063E+11,4.875,4.875
3.7063E+11,20.815,20.815
3.7063E+11,12.905,12.905
3.7063E+11,10.62,10.62
3.7063E+11,6.525,6.525
3.7063E+11,8.08,8.08
3.7063E+11,7.91,7.91
3.7063E+11,9.45,9.45
3.7063E+11,3.29,3.29
3.7063E+11,12.75,12.75
3.7063E+11,6.395,6.395
3.7063E+11,3.73,3.73
3.7063E+11,10.165,10.165
3.7063E+11,8.145,8.145
3.7063E+11,10.88,10.88
3.7063E+11,4.49,4.49
3.7063E+11,8.71,8.71
3.7063E+11,19.65,19.65
3.7063E+11,16.33,16.33
3.7063E+11,17.25,17.25
3.7063E+11,13.5,13.5
3.7063E+11,10.4,10.4
3.7063E+11,14.83,14.83
3.7063E+11,12.42,12.42
3.7063E+11,13.32,13.32
3.7063E+11,3.645,3.645
3.7063E+11,10.59,10.59
3.7063E+11,8.66,8.66
3.7063E+11,11.53,11.53
3.7063E+11,4.08,4.08
3.7063E+11,4.8,4.8
3.7063E+11,9.735,9.735
3.7063E+11,9.52,9.52
3.7063E+11,5.595,5.595
3.7063E+11,8.31,8.31
3.7063E+11,7.765,7.765
3.7063E+11,4.49,4.49
3.7063E+11,10.15,10.15
3.7063E+11,11.265,11.265
3.7063E+11,10.915,10.915
3.7063E+11,3.455,3.455
3.7063E+11,16.14,16.14
3.7063E+11,10.78,10.78
3.7063E+11,11.54,11.54
3.7063E+11,6.695,6.695
3.7063E+11,15.035,15.035
3.7063E+11,11.635,11.635
3.7063E+11,13.505,13.505
3.7063E+11,12.275,12.275
3.7063E+11,6.995,6.995
3.7063E+11,7.68,7.68
3.7063E+11,7.365,7.365
3.7063E+11,10.16,10.16
3.7063E+11,19.31,19.31
3.7063E+11,15.08,15.08
3.7063E+11,7.08,7.08
3.7063E+11,9.11,9.11
3.7063E+11,12.425,12.425
3.7063E+11,5.975,5.975
3.7063E+11,8.065,8.065
3.7063E+11,17.91,17.91
3.7063E+11,5.165,5.165
3.7063E+11,6.165,6.165
3.7063E+11,10.57,10.57
3.7063E+11,12.32,12.32
3.7063E+11,6.8,6.8
3.7063E+11,11.325,11.325
3.7063E+11,17.74,17.74
3.7063E+11,7.365,7.365
3.7063E+11,20.82,20.82
3.7063E+11,8.175,8.175
3.7063E+11,11.23,11.23
3.7063E+11,5.915,5.915
3.7063E+11,12.86,12.86
3.7063E+11,11.35,11.35
3.7063E+11,10.965,10.965
3.7063E+11,9.495,9.495
3.7063E+11,9.73,9.73
3.7063E+11,5.77,5.77
3.7063E+11,0.885,0.885
3.7064E+11,0.02,0.02
