id,y_2011,y_2013,y_2014
370630001011,444,392,495
370630001012,816,744,576
370630001021,1057,1318,1359
370630001022,765,668,724
370630002001,332,440,535
370630002002,615,427,274
370630002003,583,535,447
370630003011,521,578,538
370630003012,362,381,370
370630003013,404,327,399
370630003021,333,343,388
370630003022,769,668,615
370630003023,745,819,715
370630004011,358,340,372
370630004012,360,500,497
370630004013,512,641,586
370630004021,973,990,905
370630005001,232,128,145
370630005002,272,360,328
370630005003,476,353,377
370630005004,224,220,328
370630006001,994,1145,1235
370630006002,1160,1317,1173
370630006003,169,136,139
370630007001,328,346,359
370630007002,330,367,399
370630007003,688,675,683
370630009001,358,461,453
370630009002,369,322,340
370630010011,540,550,457
370630010012,296,225,347
370630010013,279,497,717
370630010021,920,1014,810
370630010022,138,259,373
370630010023,407,335,459
370630010024,291,317,543
370630011001,312,581,616
370630011002,338,332,350
370630013011,313,366,449
370630013031,713,733,779
370630013032,164,184,179
370630013041,798,942,930
370630014001,262,221,228
370630014002,526,579,408
370630015011,592,589,454
370630015021,982,932,1126
370630015022,322,322,301
370630015023,1005,1037,1114
370630015024,223,244,167
370630015031,383,290,278
370630016011,481,490,480
370630016012,1644,1445,1336
370630016013,562,678,765
370630016031,227,144,206
370630016032,1224,1486,1493
370630016033,537,573,578
370630016034,886,810,684
370630016041,799,827,736
370630016042,1485,1491,1400
370630016043,796,842,808
370630017051,684,648,680
370630017052,845,950,1102
370630017053,605,564,605
370630017061,1110,1296,1386
370630017062,1304,1187,1059
370630017071,684,682,674
370630017072,961,1067,1103
370630017073,368,312,259
370630017074,873,897,858
370630017075,581,617,470
370630017081,1665,1822,1944
370630017091,188,308,261
370630017092,430,263,289
370630017093,1385,1425,1428
370630017101,1301,1342,1302
370630017102,654,718,873
370630017111,467,642,785
370630017112,718,659,735
370630017113,820,760,683
370630018011,819,786,1083
370630018012,197,166,180
370630018013,1190,1574,1612
370630018014,400,502,463
370630018015,199,264,259
370630018021,693,864,1076
370630018022,883,757,676
370630018023,785,1016,1237
370630018024,276,253,222
370630018061,747,854,811
370630018062,1668,1778,1873
370630018071,1310,1487,1446
370630018072,1746,1830,1635
370630018073,1496,1298,1406
370630018081,757,895,1089
370630018082,1334,1945,2144
370630018091,1584,1413,1425
370630018092,1881,1855,1491
370630019001,193,174,205
370630019002,1030,1144,1180
370630020071,1058,905,940
370630020072,1153,1210,1378
370630020073,455,385,415
370630020081,375,343,387
370630020082,1060,1091,1094
370630020091,704,705,701
370630020092,562,421,414
370630020093,702,702,623
370630020131,812,770,729
370630020132,534,413,512
370630020133,970,1126,1013
370630020151,1225,1016,1169
370630020152,1206,1126,1221
370630020153,195,331,299
370630020161,1638,1989,1678
370630020162,1029,1171,1372
370630020171,980,1094,1079
370630020172,724,711,728
370630020173,1015,1203,1454
370630020181,946,924,1025
370630020182,1611,1606,1777
370630020183,1281,1467,1492
370630020191,1020,1020,1081
370630020192,706,962,899
370630020193,713,819,603
370630020201,1148,1143,1203
370630020202,1789,2045,2232
370630020211,1628,1860,1839
370630020212,600,566,701
370630020221,1648,1601,1558
370630020222,1136,1025,1084
370630020231,664,803,803
370630020232,1029,913,865
370630020241,2163,2157,2261
370630020242,609,510,489
370630020243,889,951,979
370630020251,1067,1414,1473
370630020252,1389,1097,947
370630020253,633,882,951
370630020261,802,671,816
370630020262,1855,2125,1939
370630020271,758,889,970
370630020272,2658,2364,2285
370630020273,1015,944,1092
370630020281,911,1213,1393
370630020282,882,818,839
370630020283,1664,1803,1972
370630021001,805,992,997
370630021002,1046,1093,1160
370630021003,981,874,791
370630022001,858,1039,1108
370630023001,209,227,225
370630023002,63,166,118
370639801001,24,41,24
