id,y_2013,y_2014
370630001011,590,588
370630001012,737,731
370630001021,1120,1118
370630001022,831,840
370630002001,461,464
370630002002,641,445
370630002003,426,429
370630003011,529,526
370630003012,321,321
370630003013,329,316
370630003021,383,381
370630003022,497,494
370630003023,888,895
370630004011,461,462
370630004012,424,422
370630004013,342,343
370630004021,1558,1048
370630005001,900,450
370630005002,367,365
370630005003,700,677
370630005004,467,461
370630006001,1404,1121
370630006002,952,941
370630006003,218,218
370630007001,767,498
370630007002,561,473
370630007003,509,507
370630009001,383,365
370630009002,463,458
370630010011,403,398
370630010012,550,543
370630010013,555,559
370630010021,1083,1080
370630010022,331,325
370630010023,370,370
370630010024,516,516
370630011001,867,864
370630011002,570,577
370630013011,674,675
370630013031,514,518
370630013032,288,289
370630013041,1092,1092
370630014001,448,446
370630014002,767,762
370630015011,137,137
370630015021,1517,1391
370630015022,694,705
370630015023,1250,1125
370630015024,632,633
370630016011,572,456
370630016012,1181,1181
370630016013,819,668
370630016031,280,278
370630016032,1141,1113
370630016033,540,509
370630016034,698,714
370630016041,862,868
370630016042,1125,1125
370630016043,695,662
370630017051,704,697
370630017052,1082,1087
370630017053,695,694
370630017061,1455,1364
370630017062,1045,1046
370630017071,469,464
370630017072,719,722
370630017073,264,265
370630017074,809,780
370630017075,1090,398
370630017081,1709,1656
370630017091,384,364
370630017092,355,355
370630017093,2475,1982
370630017101,1152,1149
370630017102,722,723
370630017111,646,603
370630017112,768,768
370630017113,742,733
370630018011,776,774
370630018012,278,268
370630018013,1045,1006
370630018014,459,461
370630018015,292,288
370630018021,829,809
370630018022,670,670
370630018023,803,798
370630018024,346,356
370630018061,722,688
370630018062,1605,1561
370630018071,1146,1039
370630018072,1302,1288
370630018073,1069,1062
370630018081,838,797
370630018082,2277,1937
370630018091,1620,1604
370630018092,1189,1170
370630019001,404,296
370630019002,1037,999
370630020071,837,838
370630020072,1154,1086
370630020073,376,375
370630020081,386,386
370630020082,839,840
370630020091,799,799
370630020092,451,453
370630020093,713,713
370630020131,665,667
370630020132,402,402
370630020133,803,803
370630020151,991,994
370630020152,1138,1139
370630020153,528,197
370630020161,1855,1759
370630020162,966,970
370630020171,981,981
370630020172,680,677
370630020173,1921,1837
370630020181,1622,1310
370630020182,2005,1641
370630020183,1088,1037
370630020191,890,876
370630020192,1050,949
370630020193,824,713
370630020201,761,760
370630020202,1663,1588
370630020211,1775,1781
370630020212,573,509
370630020221,1133,1133
370630020222,1125,1105
370630020231,608,608
370630020232,878,738
370630020241,1665,1628
370630020242,669,669
370630020243,756,756
370630020251,915,895
370630020252,1046,1046
370630020253,599,596
370630020261,1033,1014
370630020262,1836,1827
370630020271,673,633
370630020272,2549,2127
370630020273,1054,1053
370630020281,1052,1019
370630020282,941,937
370630020283,2118,2070
370630021001,954,937
370630021002,837,788
370630021003,767,769
370630022001,801,498
370630015031,0,0
370630023001,331,356
370630023002,221,79
370639801001,0,0
