id,y_2014,BANK_14,b_14,PHAR_14,p_14,GRCR_14,g_14
370630001011,590,3.73,22,0,0,47.97,283
370630001012,737,4.88,36,0,0,11.26,83
370630001021,1120,0.45,5,0.27,3,3.39,38
370630001022,831,32.73,272,19.74,164,30.2,251
370630002001,461,5.21,24,0,0,0,0
370630002002,641,0,0,0,0,51.01,327
370630002003,426,0,0,0,0,31.92,136
370630003011,529,7.56,40,38.56,204,62.76,332
370630003012,321,6.23,20,0,0,0,0
370630003013,329,0,0,0,0,0,0
370630003021,383,47.78,183,0,0,0,0
370630003022,497,0,0,0,0,0,0
370630003023,888,0,0,0,0,0,0
370630004011,461,0.65,3,44.69,206,49.89,230
370630004012,424,0,0,0,0,6.13,26
370630004013,342,7.89,27,10.82,37,22.22,76
370630004021,1558,40.18,626,59.76,931,68.81,1072
370630005001,900,66,594,0,0,27.78,250
370630005002,367,0,0,0,0,0,0
370630005003,700,0,0,0,0,0,0
370630005004,467,0,0,0,0,1.5,7
370630006001,1404,17.24,242,0,0,11.89,167
370630006002,952,0,0,0,0,37.92,361
370630006003,218,0,0,0,0,0,0
370630007001,767,82.92,636,0,0,0,0
370630007002,561,44.03,247,0,0,30.84,173
370630007003,509,0,0,0,0,0,0
370630009001,383,0,0,0,0,0,0
370630009002,463,4.1,19,0,0,0,0
370630010011,403,0,0,0,0,0,0
370630010012,550,0,0,0,0,11.82,65
370630010013,555,0,0,0,0,0,0
370630010021,1083,0,0,4.52,49,5.82,63
370630010022,331,0,0,37.46,124,11.48,38
370630010023,370,0,0,21.08,78,26.22,97
370630010024,516,0,0,2.71,14,12.4,64
370630011001,867,1.04,9,0,0,17.19,149
370630011002,570,0,0,0,0,61.75,352
370630013011,674,9.5,64,1.93,13,34.27,231
370630013031,514,16.73,86,0,0,0,0
370630013032,288,8.33,24,0,0,3.13,9
370630013041,1092,1.1,12,0,0,47.62,520
370630014001,448,0,0,0,0,39.29,176
370630014002,767,0,0,0,0,67.14,515
370630015011,137,0.73,1,0,0,0,0
370630015021,1517,88.66,1345,0,0,60.12,912
370630015022,694,100,694,0,0,0,0
370630015023,1250,30.8,385,0,0,0,0
370630015024,632,62.03,392,0,0,0,0
370630015031,0,0,0,0,0,0,0
370630016011,572,0,0,0,0,0,0
370630016012,1181,0,0,1.1,13,1.02,12
370630016013,819,0,0,0,0,0,0
370630016031,280,0,0,0,0,0,0
370630016032,1141,0,0,0.88,10,0.35,4
370630016033,540,0,0,0,0,0,0
370630016034,698,0,0,0,0,0,0
