id,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,5.88,5.88,5.90,5.85,5.84
370630001012,7.31,7.31,7.37,7.31,6.63
370630001021,11.18,11.18,11.20,11.18,11.2
370630001022,8.40,8.40,8.31,8.35,8.22
370630002001,4.64,4.64,4.61,4.67,4.55
370630002002,4.45,4.45,6.41,6.45,6.53
370630002003,4.29,4.29,4.26,4.40,4.11
370630003011,5.26,5.26,5.29,5.46,5.38
370630003012,3.21,3.21,3.21,3.32,3.1
370630003013,3.16,3.16,3.29,3.54,2.79
370630003021,3.81,3.81,3.83,3.83,3.83
370630003022,4.94,4.94,4.97,5.10,4.92
370630003023,8.95,8.95,8.88,9.15,7.68
370630004011,4.62,4.62,4.61,4.61,4.58
370630004012,4.22,4.22,4.24,4.33,4.23
370630004013,3.43,3.43,3.42,3.48,3.43
370630004021,10.48,10.48,15.58,16.10,15.35
370630005001,4.50,4.50,9.00,9.15,8.96
370630005002,3.65,3.65,3.67,3.72,3.64
370630005003,6.77,6.77,7.00,7.16,6.97
370630005004,4.61,4.61,4.67,4.70,4.47
370630006001,11.21,11.21,14.04,14.09,14.14
370630006002,9.41,9.41,9.52,9.61,9.54
370630006003,2.18,2.18,2.18,2.18,2.18
370630007001,4.98,4.98,7.67,10.72,10.41
370630007002,4.73,4.73,5.61,5.58,5.63
370630007003,5.07,5.07,5.09,5.10,5.09
370630009001,3.65,3.65,3.83,3.95,3.26
370630009002,4.58,4.58,4.63,4.70,4.39
370630010011,3.98,3.98,4.03,3.97,3.86
370630010012,5.43,5.43,5.50,5.60,5.59
370630010013,5.59,5.59,5.55,5.70,5.35
370630010021,10.80,10.80,10.83,10.79,10.73
370630010022,3.25,3.25,3.31,3.35,3.31
370630010023,3.70,3.70,3.70,3.73,3.51
370630010024,5.16,5.16,5.16,5.15,5.01
370630011001,8.64,8.64,8.67,8.95,7.33
370630011002,5.77,5.77,5.70,5.98,5.83
370630013011,6.75,6.75,6.74,6.98,6.45
370630013031,5.18,5.18,5.14,5.16,4.99
370630013032,2.89,2.89,2.88,2.99,2.95
370630013041,10.92,10.92,10.92,11.01,10.89
370630014001,4.46,4.46,4.48,4.52,4.46
370630014002,7.62,7.62,7.67,7.58,7.56
370630015011,1.37,1.37,1.37,1.37,1.37
370630015021,13.91,13.91,15.17,15.29,15.05
370630015022,7.05,7.05,6.94,7.05,7.05
370630015023,11.25,11.25,12.50,12.50,12.5
370630015024,6.33,6.33,6.32,6.32,6.32
370630015031,0.00,0.00,0.00,0.00,0
370630016011,1.44,1.44,2.60,2.68,6.02
370630016012,9.83,9.83,9.84,9.84,11.79
370630016013,1.81,1.81,1.83,1.83,8.17
370630016031,2.77,2.77,2.80,2.81,2.77
370630016032,7.79,7.79,8.02,8.32,11.7
370630016033,0.06,0.06,0.06,0.06,5.44
370630016034,,,,,
