id,y_2011,y_2013,y_2014
370630001011,11.6,6.2,9.7
370630001012,8.7,4,3.9
370630001021,2.3,2.5,2.4
370630001022,9.2,9.7,6.3
370630002001,8.8,11.4,7.3
370630002002,5.8,4.8,6.1
370630002003,2.5,5.3,2.8
370630003011,8.7,4.3,1.9
370630003012,7.7,11.9,12
370630003013,3.1,3.7,2.7
370630003021,6.4,6,3.9
370630003022,7.7,2.9,4.7
370630003023,7.4,7.2,6.7
370630004011,4.2,10.5,8.9
370630004012,3.4,6.1,4.8
370630004013,8.8,1.9,1.7
370630004021,1.7,0.9,1
370630005001,2.3,2.7,1.5
370630005002,5.6,3.9,4.9
370630005003,6.6,3.8,3
370630005004,4.7,6.6,4.5
370630006001,5,4.7,3.9
370630006002,10.4,2.9,3.8
370630006003,12.7,6.7,10.7
370630007001,7.4,6.2,3.3
370630007002,9.8,9.1,14.2
370630007003,6.7,9.2,5.2
370630009001,8.5,7.3,6.8
370630009002,10.6,6.2,9.8
370630010011,8.2,9.4,8.8
370630010012,19.5,12.6,8.5
370630010013,3.2,12,5.3
370630010021,6.7,4.8,4.7
370630010022,21.7,26,15.5
370630010023,5.4,4.1,2.6
370630010024,5.9,13.2,15.4
370630011001,22.5,10.7,5.2
370630011002,7.2,4.1,4.8
370630013011,9.6,6.4,7.1
370630013031,0.3,0.3,0.4
370630013032,6.5,3.3,5.6
370630013041,8.2,5.8,5
370630014001,15.3,16.6,14.4
370630014002,3.4,10.8,4.2
370630015011,0.3,0.2,0.3
370630015021,3,1.9,2.6
370630015022,3.6,3.2,4.8
370630015023,2,1.2,1.6
370630015024,2,1.6,11.8
370630015031,0.2,0.2,0.3
370630016011,21.7,13.4,10.5
370630016012,4.9,4.7,5.2
370630016013,10.8,13.9,12.3
370630016031,19,14.7,14.3
370630016032,4.9,3,2.8
370630016033,7.6,8.5,9.2
370630016034,5.1,5.4,3.9
370630016041,8,5.9,3.7
370630016042,4.7,4.5,3.2
370630016043,4.5,3.8,9.9
370630017051,8.9,4.7,5.7
370630017052,6,10.7,6.4
370630017053,5.6,10.5,12.5
370630017061,4.1,1.9,2.2
370630017062,5.4,5.9,8.2
370630017071,23.2,31.3,26.7
370630017072,8.5,4.8,6.7
370630017073,10.1,8.4,8.8
370630017074,11.1,12,11.5
370630017075,8.7,8,4.9
370630017081,2,2.1,3.7
370630017091,19.3,12.3,22.5
370630017092,7.2,12.2,23.1
370630017093,3.9,3.4,5.2
370630017101,4.6,3.3,4.6
370630017102,6.3,3.4,3
370630017111,2.2,2.6,6.8
370630017112,5.1,9.3,7.3
370630017113,8.3,5,5.6
370630018011,4.3,8.6,3.6
370630018012,15.1,2,5.4
370630018013,7,9.1,4.6
370630018014,15.9,9.3,15.8
370630018015,14.9,18.3,6.3
370630018021,7.1,5,6.2
370630018022,6.9,7.7,11.5
370630018023,6.1,3.9,7.5
370630018024,14.9,21.4,19.2
370630018061,9.3,5.4,8.7
370630018062,1.4,3.1,3.7
370630018071,3.5,5.2,3.1
370630018072,5.8,3.3,3.9
370630018073,2.6,2.8,4.1
370630018081,4.3,6.5,5.7
370630018082,4.2,2,1.7
370630018091,3.1,5.6,5.1
370630018092,4.2,5.3,2.1
370630019001,11.8,8.7,5.3
370630019002,2.4,2.1,2.3
370630020071,4.4,8.6,8.4
370630020072,5.4,6.6,6.5
370630020073,13.4,20.3,4.3
370630020081,6.1,5.2,6.1
370630020082,1.5,3.7,4.1
370630020091,9.4,8.8,5.5
370630020092,19.3,24.8,10.5
370630020093,6.9,6.4,11.9
370630020131,5.8,7.1,6.3
370630020132,4.8,12.3,16.7
370630020133,5.1,5.2,4.1
370630020151,2.1,1.1,2.3
370630020152,2.6,1.6,2.1
370630020153,27.8,29.6,55.5
370630020161,2,2.8,3.5
370630020162,2.5,3.4,1.6
370630020171,6,4,4.7
370630020172,5.7,4.9,3.6
370630020173,4.3,4.8,3.6
370630020181,6,4.2,3.6
370630020182,2.4,2.4,2.4
370630020183,4.4,9.4,3.4
370630020191,3.8,2.6,2.3
370630020192,2,2.2,2
370630020193,6.7,6.7,13.3
370630020201,2,3.6,2.3
370630020202,1.3,2.2,2.4
370630020211,1.7,4.6,3.1
370630020212,8.7,11.7,4.2
370630020221,3.8,2.6,1.4
370630020222,5.3,10.9,9.9
370630020231,4.8,1.1,1.3
370630020232,8,7.7,10.6
370630020241,3,4.9,3.8
370630020242,5.1,3.6,5.3
370630020243,9.1,9.3,10.8
370630020251,2.7,3.1,6.1
370630020252,4.8,3.5,6.1
370630020253,3.9,6.8,8.6
370630020261,8,3.2,4
370630020262,2.9,3.4,3.4
370630020271,3.1,1.5,2.7
370630020272,2.4,2.8,3.7
370630020273,6,5,2.6
370630020281,4.6,4.2,2.1
370630020282,5,1.8,3
370630020283,1.6,2.2,2
370630021001,7.5,10.1,3.3
370630021002,1.5,1.9,1.5
370630021003,3.2,4.3,5
370630022001,2,1.4,2.3
370630023001,9.4,9.8,7.1
370630023002,4.6,5.8,9.4
370639801001,0.1,0.3,0.2
