id,y_2011,y_2013,y_2014
370630001011,10051,5237,5194
370630001012,3729,3070,2910
370630001021,3069,3061,3331
370630001022,4453,5802,5124
370630002001,8588,6192,4529
370630002002,4245,4324,4996
370630002003,8245,7872,8221
370630003011,4757,3605,3661
370630003012,4781,6070,5511
370630003013,8047,8323,7680
370630003021,10813,13229,12183
370630003022,7814,5869,7670
370630003023,8096,8601,7688
370630004011,8997,9750,9150
370630004012,6504,6195,6448
370630004013,7808,9102,6599
370630004021,5215,4844,5440
370630005001,2606,4490,3997
370630005002,6193,7206,8176
370630005003,3618,3369,3219
370630005004,3162,3375,3055
370630006001,5828,8286,6807
370630006002,5480,5117,6367
370630006003,37812,21767,14467
370630007001,4294,4602,5751
370630007002,23413,14851,14291
370630007003,7374,9168,7669
370630009001,3637,3066,2661
370630009002,2615,2859,3348
370630010011,5595,4722,4663
370630010012,3676,7275,6252
370630010013,1865,2447,2788
370630010021,2082,1871,2256
370630010022,6594,13411,9789
370630010023,5359,5875,4868
370630010024,3234,2460,2178
370630011001,1854,2105,2597
370630011002,1802,1585,2169
370630013011,2491,2870,4023
370630013031,1992,1676,1903
370630013032,10568,5859,5072
370630013041,1955,1824,2209
370630014001,4755,5447,6116
370630014002,2412,13437,16966
370630015011,2100,1098,1169
370630015021,2441,2067,2222
370630015022,4946,5131,4681
370630015023,2212,2013,1983
370630015024,2528,2201,3852
370630015031,2490,471,639
370630016011,13793,10886,9005
370630016012,5994,4062,4871
370630016013,7999,8704,8203
370630016031,14001,12198,39937
370630016032,5674,6021,5645
370630016033,7495,7112,6002
370630016034,6345,6519,6277
370630016041,8398,10937,7250
370630016042,6829,7662,8554
370630016043,5466,6698,4524
370630017051,5613,5324,6282
370630017052,13903,18645,17753
370630017053,24285,10450,8538
370630017061,5483,7974,7001
370630017062,6884,8760,7937
370630017071,17637,17506,15907
370630017072,7606,4949,6090
370630017073,13520,8803,8697
370630017074,8117,8552,8552
370630017075,12396,16257,17873
370630017081,2252,7427,6282
370630017091,4006,5822,5742
370630017092,2700,4116,6384
370630017093,2291,1699,1965
370630017101,3887,3237,3281
370630017102,2711,3932,2798
370630017111,4534,4846,4506
370630017112,3740,3620,2710
370630017113,3388,3907,2761
370630018011,6711,7464,7170
370630018012,5841,16685,16902
370630018013,3599,4805,4171
370630018014,5569,4186,4698
370630018015,8863,5621,9187
370630018021,4771,3408,3497
370630018022,3314,4648,4123
370630018023,2874,3759,3203
370630018024,6280,6385,5757
370630018061,5535,5309,3907
370630018062,2639,3067,3121
370630018071,2608,3951,4010
370630018072,4649,5419,5370
370630018073,2742,3797,3944
370630018081,11394,4521,5414
370630018082,5157,4485,4251
370630018091,3902,4690,4859
370630018092,5705,5854,7318
370630019001,14436,3306,4003
370630019002,4980,4309,4581
370630020071,5520,6795,5575
370630020072,8760,8861,7809
370630020073,7822,6055,9486
370630020081,18027,24012,22712
370630020082,9302,11029,13078
370630020091,3506,3427,3907
370630020092,5751,6814,6033
370630020093,5312,6496,7817
370630020131,5312,7344,5659
370630020132,5989,5816,5362
370630020133,4498,4365,2859
370630020151,4438,4284,4974
370630020152,4779,3585,4608
370630020153,12052,14586,15738
370630020161,2968,2702,3516
370630020162,4119,5811,4476
370630020171,8341,8676,11151
370630020172,10817,10604,9407
370630020173,5682,6555,5426
370630020181,14562,14309,12609
370630020182,4935,5450,5289
370630020183,7899,9760,10021
370630020191,6640,9100,10693
370630020192,9627,8542,11093
370630020193,7427,21852,31936
370630020201,12370,12476,10527
370630020202,6266,6778,5605
370630020211,7049,6067,5389
370630020212,16659,14280,11646
370630020221,5792,6245,6946
370630020222,6888,16024,18679
370630020231,7114,6385,6173
370630020232,5168,8823,6439
370630020241,4688,6159,6504
370630020242,26608,7237,31069
370630020243,5621,6396,5965
370630020251,5374,5242,6886
370630020252,4601,5948,5921
370630020253,3459,6636,7982
370630020261,3207,2917,3598
370630020262,4118,3962,4293
370630020271,2111,2891,3672
370630020272,5072,5665,5849
370630020273,4251,4280,4130
370630020281,4671,4419,4963
370630020282,6315,5889,4605
370630020283,6680,5937,6391
370630021001,13908,14118,12622
370630021002,5946,3302,3081
370630021003,8060,27506,23998
370630022001,12488,11643,13552
370630023001,2350,1979,1906
370630023002,1336,1263,2182
370639801001,,20639,
