id,y_2013,y_2014
370630001011,588,590
370630001012,649,652
370630001021,823,828
370630001022,573,563
370630002001,398,396
370630002002,445,641
370630002003,383,383
370630003011,489,493
370630003012,321,321
370630003013,316,329
370630003021,285,288
370630003022,328,325
370630003023,859,852
370630004011,292,294
370630004012,114,118
370630004013,194,193
370630004021,911,1422
370630005001,408,859
370630005002,365,367
370630005003,677,700
370630005004,406,412
370630006001,959,1245
370630006002,637,641
370630006003,25,25
370630007001,498,767
370630007002,283,374
370630007003,209,214
370630009001,315,333
370630009002,458,463
370630010011,382,387
370630010012,514,518
370630010013,464,465
370630010021,1049,1052
370630010022,194,195
370630010023,370,370
370630010024,493,493
370630011001,864,867
370630011002,577,570
370630013011,675,674
370630013031,518,514
370630013032,289,288
370630013041,1092,1092
370630014001,444,446
370630014002,745,750
370630015011,136,137
370630015021,1391,1517
370630015022,705,694
370630015023,1125,1250
370630015024,633,632
370630016011,0,0
370630016012,85,84
370630016013,44,194
370630016031,0,0
370630016032,133,179
370630016033,25,30
370630016034,0,0
370630016041,0,0
370630016042,0,0
370630016043,0,0
370630017051,247,252
370630017052,924,918
370630017053,557,559
370630017061,926,1026
370630017062,670,839
370630017071,0,0
370630017072,182,194
370630017073,0,0
370630017074,23,24
370630017075,92,231
370630017081,404,409
370630017091,339,359
370630017092,349,349
370630017093,1537,2021
370630017101,652,658
370630017102,494,496
370630017111,445,456
370630017112,768,768
370630017113,733,742
370630018011,138,136
370630018012,101,110
370630018013,288,295
370630018014,184,184
370630018015,0,0
370630018021,473,501
370630018022,637,639
370630018023,411,417
370630018024,303,294
370630018061,0,0
370630018062,46,47
370630018071,422,582
370630018072,243,252
370630018073,641,649
370630018081,1,1
370630018082,26,24
370630018091,859,849
370630018092,413,604
370630019001,0,0
370630019002,0,0
370630020071,10,10
370630020072,264,334
370630020073,0,0
370630020081,2,1
370630020082,106,103
370630020091,767,767
370630020092,359,357
370630020093,312,313
370630020131,22,19
370630020132,84,209
370630020133,0,0
370630020151,812,809
370630020152,1001,1000
370630020153,193,193
370630020161,1153,1249
370630020162,681,677
370630020171,10,16
370630020172,154,173
370630020173,340,416
370630020181,4,4
370630020182,175,171
370630020183,19,20
370630020191,282,282
370630020192,0,0
370630020193,0,0
370630020201,1,1
370630020202,0,0
370630020211,1545,1333
370630020212,368,437
370630020221,970,968
370630020222,497,518
370630020231,226,226
370630020232,609,749
370630020241,63,66
370630020242,477,477
370630020243,351,357
370630020251,579,593
370630020252,10,7
370630020253,67,69
370630020261,772,819
370630020262,1320,1322
370630020271,71,69
370630020272,591,672
370630020273,693,1054
370630020281,225,245
370630020282,346,346
370630020283,0,0
370630021001,0,0
370630021002,0,0
370630021003,0,0
370630022001,498,801
370630015031,,
370630023001,356,331
370630023002,79,221
370639801001,,
