id,y_2011,y_2013,y_2014
370630001011,40.9,42.6,41
370630001012,32.7,36.4,31
370630001021,33,32.4,32.1
370630001022,43.7,39,44
370630002001,38.7,35.6,36.2
370630002002,37.3,29.9,31.2
370630002003,33.4,30.2,33.3
370630003011,33.8,31.7,29.8
370630003012,40.2,47.5,40.8
370630003013,35.2,31.7,30.2
370630003021,38.9,40.2,40.4
370630003022,29.8,35.7,35.3
370630003023,32.2,36.1,32.4
370630004011,43.5,37.6,35.2
370630004012,48.5,46.1,40.9
370630004013,36.9,30.7,32
370630004021,30.2,28.7,28.6
370630005001,21.7,22.6,21.8
370630005002,31.5,31.8,30.8
370630005003,28.3,26.1,27.2
370630005004,32.1,32.1,31.4
370630006001,35.7,31.3,32.7
370630006002,37.5,31.5,33.1
370630006003,60.6,54.7,59.4
370630007001,48.3,47.1,45.8
370630007002,49.9,42.4,42.5
370630007003,39.6,38.3,37.5
370630009001,28.8,33.9,34.7
370630009002,27.5,35,35.3
370630010011,35.1,31.3,32.4
370630010012,33.9,42.1,42.7
370630010013,33.3,23,30.9
370630010021,30,29.4,28.8
370630010022,30.2,36.3,26.7
370630010023,29.9,39.8,37.5
370630010024,31.2,19.9,30.4
370630011001,35.4,30.6,26.6
370630011002,31.7,33.3,33.3
370630013011,28.2,31.5,33.3
370630013031,19.6,19.7,20
370630013032,54.4,55.6,54
370630013041,32.4,31.4,34.1
370630014001,25.1,23,27.6
370630014002,25.1,25.3,22.1
370630015011,19.6,19.8,19.8
370630015021,26.4,24.8,25.3
370630015022,26.2,24.6,27
370630015023,25.5,25.1,25.4
370630015024,24.6,25,25.6
370630015031,18.9,19,19.1
370630016011,46.8,50,49.3
370630016012,39,39.4,39.1
370630016013,46,44.2,39.6
370630016031,57.3,47.2,44.3
370630016032,37.9,41.1,41.9
370630016033,50.1,53,45.8
370630016034,45.3,44.7,47.2
370630016041,46.1,48.2,50.1
370630016042,45.3,45.5,47.1
370630016043,44.1,44.2,41.8
370630017051,47.8,44.4,44.6
370630017052,49.7,44.6,41
370630017053,31.7,37.1,31.8
370630017061,35,35.1,35.1
370630017062,31.6,33.9,32
370630017071,43.1,43.3,41.6
370630017072,37.9,46.4,47.1
370630017073,56.1,56.7,58.5
370630017074,46.3,39.3,38.2
370630017075,55.8,61.6,66.8
370630017081,32.9,33.1,33.2
370630017091,30,37.4,21.3
370630017092,28.1,29.2,41.2
370630017093,26,24,28.9
370630017101,31.1,35.3,36.9
370630017102,31.4,31.1,30.3
370630017111,27.6,30.4,30.9
370630017112,32.2,31.8,29.6
370630017113,28.2,34.5,36.9
370630018011,35.1,30.8,31.5
370630018012,43.3,46.2,43.8
370630018013,35.3,35.1,37.2
370630018014,26.6,25.2,30.1
370630018015,55.9,54.4,56.8
370630018021,29.2,29.4,29.2
370630018022,30.7,32.8,38.9
370630018023,31,31,32.9
370630018024,30.9,36.1,38
370630018061,47.2,44,46.3
370630018062,32.8,32.3,32.3
370630018071,31.3,33.9,34.7
370630018072,37.2,32.3,32.6
370630018073,33.1,32.6,31.5
370630018081,37.5,37.3,41.8
370630018082,34.7,35.4,33.7
370630018091,26,27.9,29.1
370630018092,30.8,31.6,30.3
370630019001,59.4,56.2,52.1
370630019002,36.7,36.8,36.2
370630020071,41.4,45,45.1
370630020072,49.7,40,34.5
370630020073,35.5,45.2,57.8
370630020081,57.4,52.6,54.5
370630020082,40.3,40,41.5
370630020091,39.4,33.4,31.6
370630020092,44.4,48.1,53
370630020093,37.6,40.5,47.4
370630020131,35.5,41.3,37.1
370630020132,36.6,36.8,43.8
370630020133,33.9,38.6,39.7
370630020151,29.4,30.1,30.7
370630020152,25,29,28.8
370630020153,63.6,58,63.4
370630020161,27,27.5,29
370630020162,29.2,29.7,29.2
370630020171,46.1,49.2,49.1
370630020172,52.3,54.3,53
370630020173,34.4,35.1,35.2
370630020181,58,62,61.4
370630020182,28.2,30.6,29.8
370630020183,41.9,46.8,50.7
370630020191,27.6,26.4,26.8
370630020192,27.2,27.6,28.1
370630020193,51.2,49.3,49.3
370630020201,33.8,35.8,35.7
370630020202,36.9,36.1,37.3
370630020211,31.9,35.4,32.5
370630020212,36.9,29.3,27.9
370630020221,30.2,32.3,29.9
370630020222,33,41.2,41.1
370630020231,27.6,31.5,31.6
370630020232,39.7,41.1,39
370630020241,32.4,37.2,35.9
370630020242,33.3,34.6,35.9
370630020243,40.8,46.5,43.3
370630020251,33.3,33.6,34
370630020252,30.3,35.2,38.1
370630020253,33.3,28.7,34
370630020261,37.1,33.1,32.9
370630020262,29.2,25.5,25.8
370630020271,28.4,30,30.3
370630020272,28.8,29.9,28.3
370630020273,29.5,26.9,27.2
370630020281,35.1,31.4,32.6
370630020282,29.9,28.7,30.1
370630020283,29.9,30.5,31.5
370630021001,46.1,49.5,50.8
370630021002,39.9,40.5,40.2
370630021003,51.8,53,53
370630022001,31.8,30.8,32.2
370630023001,29.8,32,35.1
370630023002,27.4,27.2,18.5
370639801001,54.5,54.6,54.5
