id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,90000,93000,90000,98000,100250,113500,113500,124000,120000,119000,92900,110000,105000,128500,115500,138500
370630001012,88500,99000,92500,79000,97500,86250,98000,84000,129250,52000,78000,42500,95000,83000,98000,108000
370630001021,95000,101750,97000,104500,115000,117500,125000,114750,122000,123364,117250,100000,133750,134500,127500,153500
370630001022,91750,102000,110000,112000,118500,118000,125000,125500,125000,123500,119000,121495,117500,133500,131000,182500
370630002001,105250,110000,108000,128000,122000,100000,157000,140000,122000,121000,151000,110500,140000,122500,188750,233250
370630002002,67500,80000,97000,87500,158000,104000,91500,114000,80000,115000,133000,58500,60500,139500,192500,261000
370630002003,147500,164000,125000,170000,170000,165500,160000,162000,217000,250000,243750,260000,260000,261500,395000,270750
370630003011,84000,86000,90000,85000,112250,97750,120000,150000,104500,60000,57000,99000,59000,79000,139000,130000
370630003012,48500,43750,84000,104000,100000,79500,100000,80000,134000,109750,115000,90000,157500,151000,150000,251000
370630003013,186500,140250,83000,121000,130750,185000,185000,183000,396500,177000,223000,234750,235000,180500,262250,320000
370630003021,139250,165000,141000,161500,169000,180000,213000,217000,245000,190000,230000,234250,235000,276500,270500,284500
370630003022,118000,140000,132000,159000,133250,170000,159000,137500,157750,197000,221500,195000,179750,294000,275000,185000
370630003023,233500,220500,166500,234000,235750,230500,277500,338000,350000,375000,309000,346500,395000,345000,280000,417500
370630004011,109000,100000,117000,133500,131000,140000,173500,142000,177500,186500,149500,167000,186500,184000,181250,260000
370630004012,161500,181750,165000,195000,213000,207500,218500,270000,248000,257500,232000,238750,281250,339500,331000,281000
370630004013,212000,199000,202000,169000,235000,252500,240000,210250,227250,242250,241500,240750,217500,353750,275000,333750
370630004021,95000,109000,91000,110000,149000,133750,150000,163000,145500,199000,205000,165750,220000,219000,311250,253500
370630005001,,69000,80000,44000,,112000,,,,38250,55250,,151000,,,
370630005002,86500,85000,96000,75500,100000,102000,83500,160000,113093,145000,78000,250000,180000,279000,125000,309500
370630005003,68500,15250,41450,26500,90500,96000,72000,35000,48500,119000,55000,105000,40500,115500,206500,236500
370630005004,76000,50000,75000,58000,70500,86429,76250,35000,35000,77000,67200,75500,64250,110000,123000,93000
370630006001,129000,125000,120000,132250,134000,130500,153500,145500,168750,165000,170000,148000,187500,155500,210000,235000
370630006002,174250,180000,149000,196000,156000,217000,225000,194500,240750,115500,230000,245000,214500,265250,295000,265500
370630006003,268000,290000,319000,308750,307500,308000,428500,431500,374500,401000,325000,374500,402500,460000,489000,462000
370630007001,69000,74000,135000,108000,109000,127500,234000,150000,178000,75000,245000,228500,290000,212500,280000,280000
370630007002,217750,218000,193500,215000,216000,300000,272000,275000,300250,297500,315000,163500,211000,385000,352500,355000
370630007003,169750,160000,175000,162500,174000,185000,187770,224000,199000,224000,205000,219750,212000,323750,279000,305000
370630009001,43000,26343,52950,46072,78000,59000,65800,30247,40000,24000,28000,24000,24000,27500,47500,95000
370630009002,48500,69000,55000,52000,68000,50000,50936,38250,16500,28750,27250,25000,73000,45000,70000,86500
370630010011,77500,47000,55200,55000,86500,62500,56000,35000,45000,23850,24000,43000,49000,66500,50000,71500
370630010012,45000,54000,50000,50410,62000,60000,45000,50150,25000,26250,17000,26688,30500,50824,61000,75000
370630010013,57000,53661,49000,40000,37500,60000,52000,32250,55000,25000,18000,16000,29000,64996,42000,80000
370630010021,70000,53000,80000,76438,60000,85000,69000,63750,42000,34750,36000,50162,40500,45000,4700000,83000
370630010022,50000,101000,68000,87000,101750,70000,65000,73461,73299,25000,36250,37500,46000,45000,81000,98750
370630010023,80000,70000,78250,67336,206500,61250,56000,37500,45500,43500,27754,52000,30000,32500,33000,66000
370630010024,62000,53573,45000,66500,61000,51000,37000,50000,37500,25000,17000,24000,19000,31000,43000,84000
370630011001,51750,62000,53003,58853,36500,34450,50000,40750,53750,69500,53000,59000,131000,201250,260000,161750
370630011002,76000,82000,84000,77500,50000,38500,45500,80000,22625,22430,27500,99500,41500,25750,105500,128250
370630013011,50000,58500,42000,49900,57642,45000,50000,45000,26000,33300,35000,28000,32000,33500,40750,63500
