id,y_2011,y_2013,y_2014
370630001011,25145,28273,26320
370630001012,16148,15578,13422
370630001021,20109,19242,18984
370630001022,20709,23653,27388
370630002001,20785,18462,17299
370630002002,20183,16003,16076
370630002003,30752,28197,32674
370630003011,20427,15354,16132
370630003012,20726,24726,23402
370630003013,29498,26266,24977
370630003021,52786,43799,42774
370630003022,31090,30082,31958
370630003023,26554,31279,29226
370630004011,40977,42945,48066
370630004012,37638,39131,39647
370630004013,34033,27293,32847
370630004021,29861,25944,27030
370630005001,7693,10716,10508
370630005002,26020,25204,28698
370630005003,17745,14004,13976
370630005004,10155,14246,12815
370630006001,25209,27043,24751
370630006002,23931,19003,20942
370630006003,102164,59542,56261
370630007001,22229,23133,25449
370630007002,72619,64406,52396
370630007003,37818,43341,39368
370630009001,11519,14353,12418
370630009002,11882,12476,13417
370630010011,14283,13034,15687
370630010012,11838,13825,14176
370630010013,7690,7439,13061
370630010021,10189,9561,10027
370630010022,11560,17074,16706
370630010023,13168,18562,18990
370630010024,9585,8028,8932
370630011001,10366,10807,10867
370630011002,9576,10170,10809
370630013011,11325,12419,15003
370630013031,7089,7897,8110
370630013032,29312,23698,20253
370630013041,13122,12866,14473
370630014001,9787,10344,12947
370630014002,9419,17490,19515
370630015011,5465,3415,2998
370630015021,12565,11912,12751
370630015022,16322,17362,18813
370630015023,13915,13446,13157
370630015024,9225,8467,10124
370630015031,4050,2021,2048
370630016011,34005,31164,28636
370630016012,32042,31193,31422
370630016013,24839,22681,24699
370630016031,38031,28285,52151
370630016032,32694,32375,31072
370630016033,33392,33025,30261
370630016034,36385,35674,40863
370630016041,40606,44111,37747
370630016042,39242,38723,46387
370630016043,29669,31325,28284
370630017051,26226,25491,27081
370630017052,46437,46333,48584
370630017053,30903,29249,27667
370630017061,32093,35435,32327
370630017062,31275,31562,29279
370630017071,38512,35826,37445
370630017072,31660,30105,32753
370630017073,43547,36189,36141
370630017074,44110,38329,40551
370630017075,54026,75043,72232
370630017081,19228,27583,25558
370630017091,13578,16438,12508
370630017092,11133,11301,12046
370630017093,13359,11667,12572
370630017101,27058,26536,25869
370630017102,15006,15240,14973
370630017111,16244,17775,19843
370630017112,18177,16101,13879
370630017113,18801,20000,21048
370630018011,21979,22561,26201
370630018012,13288,24412,30458
370630018013,22805,23937,25367
370630018014,12815,13123,14058
370630018015,26008,24347,28754
370630018021,14555,15160,13921
370630018022,16349,19386,22650
370630018023,16161,17090,16022
370630018024,15323,16207,14984
370630018061,25941,24761,23121
370630018062,24378,26147,27065
370630018071,16902,20593,20448
370630018072,31111,26868,25513
370630018073,24620,26650,24517
370630018081,38653,32921,36783
370630018082,33977,38291,36123
370630018091,19855,22111,22406
370630018092,29818,34784,31856
370630019001,38671,26826,29286
370630019002,39445,41189,39881
370630020071,39037,41927,37470
370630020072,43006,39127,36161
370630020073,36348,41095,46153
370630020081,69153,81204,85972
370630020082,67261,77792,87652
370630020091,16775,15925,15381
370630020092,20601,20810,25368
370630020093,20332,23299,22870
370630020131,35132,32556,29735
370630020132,24765,26596,28466
370630020133,31414,33658,31454
370630020151,19274,20429,21064
370630020152,18641,20681,25468
370630020153,53800,56006,55604
370630020161,16312,16362,17481
370630020162,20733,22906,19924
370630020171,53581,53332,58085
370630020172,48200,53027,57820
370630020173,39729,39449,37160
370630020181,67628,77128,77444
370630020182,27251,28881,29684
370630020183,47333,53343,54745
370630020191,28213,38202,37426
370630020192,36089,41368,45314
370630020193,47024,58683,67729
370630020201,56980,51156,48448
370630020202,48028,45320,49003
370630020211,33160,35827,35356
370630020212,39121,34850,32083
370630020221,30826,32324,30880
370630020222,32882,46651,53936
370630020231,33340,44424,42984
370630020232,32027,43073,40874
370630020241,45317,51959,49956
370630020242,49645,37404,56894
370630020243,48355,51097,48193
370630020251,30868,31079,33765
370630020252,34088,36901,30742
370630020253,21687,27447,33610
370630020261,18009,17245,16366
370630020262,21405,23416,26731
370630020271,14336,15964,18567
370630020272,29601,32281,29806
370630020273,25750,28165,27001
370630020281,33747,34012,33848
370630020282,31334,31689,34013
370630020283,42169,42781,40978
370630021001,57842,61924,60539
370630021002,21984,19100,19572
370630021003,48043,85475,77178
370630022001,28944,42873,44675
370630023001,8034,8126,7870
370630023002,6557,6664,5252
370639801001,,33323,
