id,y_2011,y_2013,y_2014
370630001011,38,41,170
370630001012,155,235,133
370630001021,405,358,313
370630001022,315,199,194
370630002001,133,224,312
370630002002,135,104,65
370630002003,184,183,159
370630003011,117,116,99
370630003012,76,97,137
370630003013,146,134,156
370630003021,107,128,122
370630003022,161,149,166
370630003023,104,200,167
370630004011,97,104,93
370630004012,77,103,137
370630004013,89,186,202
370630004021,179,163,138
370630005001,9,0,0
370630005002,50,64,83
370630005003,162,96,99
370630005004,43,39,74
370630006001,304,411,465
370630006002,358,296,337
370630006003,26,0,0
370630007001,68,63,81
370630007002,56,26,28
370630007003,84,124,109
370630009001,54,97,108
370630009002,69,74,80
370630010011,170,256,203
370630010012,129,101,199
370630010013,70,146,154
370630010021,216,269,323
370630010022,43,82,154
370630010023,269,167,276
370630010024,93,50,214
370630011001,67,206,238
370630011002,82,83,139
370630013011,100,114,127
370630013031,99,71,58
370630013032,52,36,34
370630013041,302,225,231
370630014001,0,27,39
370630014002,219,241,94
370630015011,8,15,3
370630015021,330,364,358
370630015022,31,43,39
370630015023,226,294,293
370630015024,81,116,99
370630015031,21,16,12
370630016011,254,227,158
370630016012,429,373,395
370630016013,321,281,282
370630016031,82,41,83
370630016032,336,469,527
370630016033,291,247,265
370630016034,477,364,360
370630016041,251,230,205
370630016042,471,553,523
370630016043,321,368,390
370630017051,139,237,283
370630017052,107,148,215
370630017053,128,96,66
370630017061,189,174,274
370630017062,211,138,161
370630017071,82,50,172
370630017072,213,232,249
370630017073,29,35,28
370630017074,91,220,222
370630017075,113,141,91
370630017081,672,739,651
370630017091,27,32,76
370630017092,88,47,34
370630017093,456,491,395
370630017101,315,326,311
370630017102,262,213,265
370630017111,109,66,68
370630017112,127,154,225
370630017113,182,78,87
370630018011,92,111,148
370630018012,84,95,96
370630018013,353,627,613
370630018014,225,320,322
370630018015,74,60,99
370630018021,225,302,344
370630018022,442,132,160
370630018023,195,289,482
370630018024,114,84,12
370630018061,318,309,282
370630018062,574,688,656
370630018071,240,216,311
370630018072,648,787,764
370630018073,346,330,368
370630018081,249,270,306
370630018082,390,424,534
370630018091,216,145,149
370630018092,279,256,208
370630019001,46,42,62
370630019002,361,324,353
370630020071,233,210,172
370630020072,271,206,223
370630020073,112,50,78
370630020081,43,86,100
370630020082,154,163,138
370630020091,109,92,114
370630020092,205,100,73
370630020093,230,169,114
370630020131,128,144,115
370630020132,113,83,175
370630020133,115,206,225
370630020151,455,320,282
370630020152,139,220,206
370630020153,0,0,0
370630020161,648,754,649
370630020162,146,119,143
370630020171,99,149,171
370630020172,106,112,100
370630020173,163,182,226
370630020181,162,202,195
370630020182,301,176,197
370630020183,263,334,309
370630020191,118,125,146
370630020192,184,231,228
370630020193,114,192,144
370630020201,264,237,230
370630020202,253,375,585
370630020211,232,283,252
370630020212,137,122,203
370630020221,338,364,257
370630020222,176,178,192
370630020231,50,85,76
370630020232,276,262,293
370630020241,531,660,642
370630020242,82,119,118
370630020243,194,227,251
370630020251,298,434,591
370630020252,142,195,221
370630020253,82,88,121
370630020261,308,184,171
370630020262,355,424,389
370630020271,70,153,161
370630020272,445,478,387
370630020273,238,268,296
370630020281,297,309,334
370630020282,249,200,141
370630020283,99,92,154
370630021001,384,456,433
370630021002,531,533,541
370630021003,479,407,355
370630022001,228,202,234
370630023001,46,46,22
370630023002,0,12,30
370639801001,0,8,0
