id,y_2011,y_2013,y_2014
370630001011,196,239,275
370630001012,244,316,226
370630001021,463,646,750
370630001022,375,367,369
370630002001,273,304,367
370630002002,247,227,183
370630002003,199,248,143
370630003011,348,449,376
370630003012,129,196,193
370630003013,238,211,246
370630003021,18,20,37
370630003022,358,400,372
370630003023,550,521,526
370630004011,139,126,97
370630004012,59,71,64
370630004013,192,266,212
370630004021,888,829,755
370630005001,270,132,147
370630005002,186,271,213
370630005003,379,367,390
370630005004,232,251,295
370630006001,382,508,505
370630006002,424,657,646
370630006003,0,13,31
370630007001,403,498,473
370630007002,62,71,157
370630007003,113,162,259
370630009001,272,288,295
370630009002,226,255,231
370630010011,286,318,289
370630010012,201,155,293
370630010013,360,474,358
370630010021,728,829,791
370630010022,175,224,286
370630010023,218,171,217
370630010024,250,155,318
370630011001,459,516,568
370630011002,394,395,432
370630013011,318,332,350
370630013031,246,280,317
370630013032,81,59,67
370630013041,708,725,738
370630014001,388,304,261
370630014002,505,521,599
370630015011,36,33,39
370630015021,881,895,1062
370630015022,323,506,512
370630015023,826,839,884
370630015024,335,311,318
370630015031,26,0,0
370630016011,56,43,34
370630016012,27,38,42
370630016013,119,211,211
370630016031,0,21,60
370630016032,13,0,16
370630016033,62,115,125
370630016034,15,8,6
370630016041,40,53,95
370630016042,58,86,23
370630016043,19,28,41
370630017051,132,106,168
370630017052,484,607,652
370630017053,333,255,304
370630017061,616,826,1014
370630017062,451,460,492
370630017071,37,60,52
370630017072,135,85,163
370630017073,0,0,0
370630017074,30,102,119
370630017075,446,491,467
370630017081,632,658,631
370630017091,159,125,166
370630017092,283,195,118
370630017093,1356,1550,1502
370630017101,458,325,347
370630017102,376,445,536
370630017111,309,274,297
370630017112,645,647,704
370630017113,637,630,588
370630018011,102,73,31
370630018012,84,96,46
370630018013,161,230,174
370630018014,0,69,116
370630018015,29,59,41
370630018021,181,100,197
370630018022,348,198,189
370630018023,284,329,307
370630018024,143,118,74
370630018061,90,56,100
370630018062,129,228,187
370630018071,359,425,423
370630018072,128,166,203
370630018073,207,112,121
370630018081,0,45,52
370630018082,130,160,162
370630018091,994,916,947
370630018092,426,362,391
370630019001,32,37,29
370630019002,113,105,58
370630020071,83,70,111
370630020072,308,329,254
370630020073,53,0,14
370630020081,33,59,68
370630020082,60,41,45
370630020091,226,233,236
370630020092,176,122,94
370630020093,251,241,205
370630020131,126,131,141
370630020132,146,133,149
370630020133,136,118,109
370630020151,599,621,680
370630020152,890,878,861
370630020153,376,380,337
370630020161,1341,1399,1245
370630020162,855,941,1159
370630020171,50,132,129
370630020172,61,62,95
370630020173,774,898,1005
370630020181,455,415,465
370630020182,981,952,976
370630020183,35,61,97
370630020191,656,624,682
370630020192,454,423,405
370630020193,31,50,36
370630020201,39,90,67
370630020202,11,12,14
370630020211,1193,1325,1264
370630020212,61,184,245
370630020221,1060,1062,919
370630020222,326,385,449
370630020231,310,370,375
370630020232,335,341,329
370630020241,226,222,261
370630020242,179,145,164
370630020243,198,222,210
370630020251,53,30,45
370630020252,252,248,249
370630020253,206,207,196
370630020261,317,280,409
370630020262,975,1021,1028
370630020271,199,175,185
370630020272,1171,1115,1233
370630020273,942,852,972
370630020281,75,175,199
370630020282,636,557,634
370630020283,1274,1262,1227
370630021001,53,69,51
370630021002,124,91,59
370630021003,93,40,91
370630022001,578,658,650
370630023001,246,235,219
370630023002,31,88,95
370639801001,0,0,0
