id,y_2010
48,684
112,666
115,654
114,901
136,871
141,471
77,487
146,902
111,616
3,898
128,657
144,756
142,1723
81,271
83,511
22,857
18,264
63,484
1,379
145,459
91,1458
75,1109
23,391
9,337
138,533
6,517
8,491
4,650
76,766
129,765
95,864
96,1095
79,798
137,1232
45,355
12,174
50,240
130,702
19,182
94,876
143,894
5,423
65,473
150,628
108,539
78,852
61,437
127,762
46,949
97,916
88,490
10,126
20,641
102,419
109,238
13,243
120,553
80,1065
126,1107
35,428
55,657
25,275
110,402
101,668
27,475
132,450
52,1053
60,526
64,473
122,338
133,643
92,2067
7,173
36,485
86,939
33,1598
82,1565
28,419
131,299
34,482
31,792
90,2477
47,24
85,1295
37,1199
2,1241
84,138
125,260
139,1520
74,2802
153,1
100,428
30,593
53,360
17,150
14,122
140,2487
32,887
62,268
118,252
121,278
152,116
49,326
21,756
135,234
54,110
93,1955
38,915
51,193
26,189
123,106
87,1620
134,151
99,258
71,3067
11,78
113,53
56,155
148,325
58,224
67,168
117,93
16,45
105,1504
29,690
66,84
116,131
147,303
72,789
69,157
149,248
104,170
89,155
119,170
98,38
59,343
151,965
106,938
15,39
42,2158
24,39
68,34
44,1384
124,78
57,114
70,47
39,996
107,1473
103,29
40,2895
73,909
41,519
43,934
