id,y_2012,y_2013,y_2014,y_2015
370630001011,34750,326798.69,77000,1195029
370630001012,29261,350438,82400,188830
370630001021,13821,242651,16368,331376.46
370630001022,188677,148782,28050,404807
370630002001,338656,63148.8,51418,332671
370630002002,530529,502589,170238,960401
370630002003,582825,709708,226550,1316642.97
370630003011,54300,29400,409211.77,934352
370630003012,49016,290574,104590,436829
370630003013,528959,255512.8,88050,893418
370630003021,713279,183660,58657,981740.8
370630003022,545962,248088,289300,499580
370630003023,1541941,1481125.44,240979,1020965
370630004011,227055,538100,55560,941756.4
370630004012,1083032,1352931.58,165044,1689778.25
370630004013,331522,698800,124450,384800.6
370630004021,45952924,28740806,4716764,3684621
370630005001,626719,17807092,0,82895
370630005002,226488,357696,207635,221950
370630005003,336587,633538,35600,1788021
370630005004,159264,370802,35500,1133402
370630006001,1528116.08,1180123.07,310457,1974592
370630006002,243911.5,728357,165879,1731837.51
370630006003,947775.87,806195,127117.18,2966060.64
370630007001,848164,53768249,16000,662968
370630007002,3936109,2387379.82,453948,1100004
370630007003,738625,913802,67450,273506
370630009001,5800,250544,30000,342280
370630009002,74542,490166,118800,547613
370630010011,363940,186014,600,327168
370630010012,313161,704187,78909,740678
370630010013,217480,263874.39,203186.76,1049041
370630010021,11000,19700,,148864.25
370630010022,,4470,8000,
370630010023,17480,7000,18400,388560
370630010024,261474,268025,17850,201823.75
370630011001,1042524,561052,128173,834409
370630011002,5453788,213124,352600,1482890.64
370630013011,80975,272290,93400,15192698.67
370630013031,2800,445862,14936.59,270850
370630013032,44300,,,115807.78
370630013041,232663,11907,23900,174450
370630014001,99000,73100,,64367.79
370630014002,26000,28352.54,6500,133320
370630015011,462014,458409,,15351779.56
370630015021,2400,65007.81,885,19009
370630015022,75000,,,
370630015023,44112960,,,3095267
370630015024,33178,269669,,7193258.47
370630015031,1937352,6324315,2192,2079323
370630016011,2012835,3061033,45700,1917517
370630016012,390239.09,1076628.6,16370,219101.27
370630016013,78997,62244,26500,668548.84
370630016031,150893.7,67400,5060,168862
370630016032,2913173,4301328,202063,532204
370630016033,48439,523130,45740,225588.51
370630016034,126539.6,152739.85,750,419069
370630016041,321404,202635,5965,183299.12
370630016042,905797,660927,35600,607986
370630016043,428863,66650,111517,681181
370630017051,38700,32795,29300,253250
370630017052,465337,744656,51400,2774431
370630017053,3250,40236,700,164819.19
370630017061,9739092.49,12950188,577602,322371
370630017062,220687,34400,32850,359207
370630017071,330052,737598,17400,408562.02
370630017072,348833.06,473124,47706.29,947819
370630017073,74004,231978.42,16825,348263.2
370630017074,3118447,3459220.2,179335,1288242.48
370630017075,956746,9511057,247100,21153393.05
370630017081,4522984,4287453,23862,186732.97
370630017091,,26600,29100,43254
370630017092,31712,,,211546
370630017093,49100,15000,1166167,123079.73
370630017101,99963,135182,14880,943206.25
370630017102,8420,27100,0,258338
370630017111,2944326,5863370,51500,89744.31
370630017112,27410,6001,30000,159400
370630017113,152734,,,1800
370630018011,630279,656326,69189,312899
370630018012,31700,2400,10100,215894
370630018013,4787619,3550690,96723,1474936
370630018014,313390,10500,28566,2296539.82
370630018015,87100,286975,64400,109000
370630018021,61900,115791.64,44600,75600
370630018022,151277,123612.43,17027,13121.95
370630018023,179968,60900,8000,389480
370630018024,30500,800,19400,217160
370630018061,1512668.55,84000,20960,782951
370630018062,2515146,4911056,116475,5307882
370630018071,10300,57789,16100,17348.82
370630018072,62948,720694,6780,304064
370630018073,65523,32000,20000,93620.12
370630018081,861132,2161662,4575,51300
370630018082,50810031,45775960,1031959,46439780
370630018091,13712021,487840,13700,22830281
370630018092,3100986,3991223.24,5700,233403
370630019001,328518,24938840.36,1029531,52931521
370630019002,976797,1819702,17100,3750667.75
370630020071,227570.27,673705,46450,969037.4
370630020072,280373,888717,52450,1018156
370630020073,359102,749037,29377,326752
370630020081,3673220,3089602.93,308070,2326196
370630020082,3877928,2719614,308895.5,6769643
370630020091,16500,80336.36,9800,51936
370630020092,2001,6000,31300,469850.66
370630020093,60400,95832.7,25010,77709.32
370630020131,124909,145147.8,11500,2500410.4
370630020132,108708,48819.59,3500,27300
370630020133,140687,69520,3250,98817
370630020151,489828,200847.46,44300,172083
370630020152,197380,982015,,91000
370630020153,242800,266550,50320,5600
370630020161,44000,1739841,,410834.98
370630020162,90155,46403,204298,1785100
370630020171,8343143.72,2695882.43,163734,3637288.6
370630020172,626357,3101387,106175,1982336
370630020173,142586,976331,24399,1025212
370630020181,2769096,1454494,2300,2389325.84
370630020182,11713239.7,26037951.92,2194957,2266686.59
370630020183,7497764,26727852.91,160481,1241099
370630020191,375537,72410,0,83939
370630020192,12899519.1,6138864.95,221758.6,4705042.48
370630020193,404395,414494,56100,826813
370630020201,3229275,13806153,250356,6737482
370630020202,11631065.25,15787357.53,321223,21529161.15
370630020211,1029136,859291.42,13710,54449
370630020212,3058789,57763,750,158304
370630020221,7000,49000,250,27755
370630020222,724585.92,55402.8,26800,228975.7
370630020231,79271,152459.95,15925,168654
370630020232,91742,204152,23690,134786.75
370630020241,7354908.15,9138530.61,109570,10558073.68
370630020242,71356,66373,3091,105396
370630020243,218336,478962,5100,53850
370630020251,990729,5369206,62853,5049306
370630020252,53403.96,258900,71250,437912.66
370630020253,25873,49474.97,40000,46475
370630020261,3973764,220894,19500,210982.03
370630020262,2958979,91070,243339.07,380488.65
370630020271,4681442,6879429.8,37762,12835130
370630020272,30889082,3653836,97433,4042723
370630020273,,37901,,5913
370630020281,4766469,4206202,1500,12373378
370630020282,,,,
370630020283,28437449,9123606,2477851,56122338.72
370630021001,2971294.02,7364687.6,187250,5402618.46
370630021002,1137515,728069,163200,1091843
370630021003,735227.88,2501610,175826,762366.04
370630022001,2348359,40878746.69,10002022.1,29643981
370630023001,201171,483439,6713902,4938472.09
370630023002,9109675,1,,847846
370639801001,1631060,,,117695
