id,y_2011,y_2013,y_2014
370630001011,23,8,22
370630001012,181,94,84
370630001021,152,120,79
370630001022,146,97,100
370630002001,45,74,120
370630002002,53,82,29
370630002003,49,26,28
370630003011,55,74,62
370630003012,31,30,39
370630003013,25,18,22
370630003021,54,108,85
370630003022,21,46,52
370630003023,25,63,50
370630004011,30,19,48
370630004012,47,51,34
370630004013,46,38,66
370630004021,34,54,58
370630005001,10,0,0
370630005002,0,0,9
370630005003,89,27,5
370630005004,55,49,37
370630006001,117,133,110
370630006002,57,28,10
370630006003,16,17,17
370630007001,22,17,21
370630007002,45,38,59
370630007003,115,65,72
370630009001,15,0,0
370630009002,22,23,28
370630010011,112,46,46
370630010012,103,64,0
370630010013,5,19,30
370630010021,125,174,170
370630010022,0,60,45
370630010023,28,9,0
370630010024,34,44,9
370630011001,9,38,35
370630011002,29,53,44
370630013011,18,29,50
370630013031,54,27,18
370630013032,41,46,38
370630013041,23,33,45
370630014001,8,9,10
370630014002,51,44,9
370630015011,0,0,0
370630015021,17,14,27
370630015022,0,0,0
370630015023,0,0,0
370630015024,0,0,0
370630015031,0,0,0
370630016011,112,95,100
370630016012,291,292,252
370630016013,48,43,61
370630016031,15,18,17
370630016032,155,198,207
370630016033,93,81,53
370630016034,153,94,54
370630016041,114,114,142
370630016042,194,140,111
370630016043,179,188,184
370630017051,127,204,190
370630017052,41,18,18
370630017053,68,42,43
370630017061,62,63,57
370630017062,192,147,88
370630017071,47,29,59
370630017072,160,198,181
370630017073,29,52,50
370630017074,152,166,158
370630017075,45,13,43
370630017081,254,263,302
370630017091,27,50,41
370630017092,17,55,82
370630017093,154,95,175
370630017101,265,258,236
370630017102,125,30,30
370630017111,43,15,25
370630017112,0,0,0
370630017113,45,48,26
370630018011,62,72,56
370630018012,24,12,13
370630018013,208,151,154
370630018014,71,67,72
370630018015,39,22,19
370630018021,142,150,209
370630018022,91,133,130
370630018023,240,187,212
370630018024,54,79,50
370630018061,144,143,125
370630018062,459,286,195
370630018071,235,182,175
370630018072,279,141,214
370630018073,301,260,335
370630018081,140,85,65
370630018082,213,262,239
370630018091,80,118,129
370630018092,205,132,146
370630019001,25,34,56
370630019002,122,217,215
370630020071,96,109,157
370630020072,195,107,133
370630020073,122,119,147
370630020081,114,84,53
370630020082,155,117,95
370630020091,137,185,168
370630020092,53,92,122
370630020093,125,149,218
370630020131,67,68,112
370630020132,18,52,85
370630020133,216,133,147
370630020151,0,2,9
370630020152,15,14,0
370630020153,0,0,0
370630020161,0,0,0
370630020162,42,51,51
370630020171,125,157,135
370630020172,171,103,49
370630020173,74,49,79
370630020181,112,122,127
370630020182,141,201,221
370630020183,250,243,232
370630020191,15,14,13
370630020192,42,49,32
370630020193,132,125,177
370630020201,70,59,98
370630020202,288,350,293
370630020211,280,226,129
370630020212,84,42,78
370630020221,20,25,38
370630020222,141,115,79
370630020231,31,32,12
370630020232,53,32,30
370630020241,329,256,230
370630020242,56,52,71
370630020243,62,33,87
370630020251,315,388,339
370630020252,218,206,287
370630020253,119,102,109
370630020261,209,179,214
370630020262,305,194,128
370630020271,127,182,168
370630020272,143,133,107
370630020273,0,0,0
370630020281,161,193,184
370630020282,0,0,0
370630020283,55,73,56
370630021001,146,171,172
370630021002,141,131,128
370630021003,133,101,117
370630022001,39,42,29
370630023001,0,0,0
370630023002,0,0,0
370639801001,0,0,0
