id,y_2012,y_2013,y_2014,y_2015,y_2016
370630001011,106,132,166,191,164
370630001012,178,182,115,112,84
370630001021,351,370,447,444,525
370630001022,204,219,197,171,102
370630002001,176,187,223,170,162
370630002002,179,129,87,52,60
370630002003,149,182,73,87,73
370630003011,150,186,202,182,196
370630003012,103,82,106,105,137
370630003013,87,86,118,127,96
370630003021,17,20,23,29,26
370630003022,200,248,196,127,111
370630003023,327,280,197,223,260
370630004011,95,99,65,38,23
370630004012,30,43,39,53,58
370630004013,65,128,122,98,87
370630004021,398,445,392,397,425
370630005001,67,57,72,71,112
370630005002,142,172,166,182,173
370630005003,100,186,197,268,231
370630005004,214,182,192,163,194
370630006001,187,196,164,270,393
370630006002,319,384,426,396,439
370630006003,0,0,15,16,19
370630007001,351,290,261,236,177
370630007002,10,9,45,57,53
370630007003,50,66,132,138,131
370630009001,135,152,179,181,173
370630009002,190,216,173,188,181
370630010011,153,153,113,126,90
370630010012,166,133,205,172,213
370630010013,273,259,160,167,145
370630010021,480,482,416,462,369
370630010022,113,110,127,113,82
370630010023,135,98,84,189,188
370630010024,148,142,237,148,212
370630011001,215,220,281,253,274
370630011002,226,212,246,196,211
370630013011,202,218,208,168,212
370630013031,120,114,182,162,217
370630013032,38,20,26,56,64
370630013041,382,386,389,442,482
370630014001,164,169,107,49,42
370630014002,245,274,329,328,262
370630015011,25,33,39,22,26
370630015021,443,522,656,643,659
370630015022,343,282,315,360,406
370630015023,266,288,350,463,514
370630015024,15,68,71,57,56
370630015031,0,0,0,0,0
370630016011,0,0,0,0,0
370630016012,27,25,14,0,34
370630016013,142,116,109,27,43
370630016031,0,0,0,0,0
370630016032,0,0,16,5,29
370630016033,26,24,38,22,32
370630016034,0,0,0,0,0
370630016041,46,38,44,57,35
370630016042,43,58,11,17,14
370630016043,15,14,26,18,17
370630017051,81,52,39,67,45
370630017052,277,318,338,319,341
370630017053,106,79,52,87,131
370630017061,281,341,417,382,315
370630017062,145,177,195,180,201
370630017071,42,43,36,0,13
370630017072,0,16,24,25,34
370630017073,0,0,0,0,0
370630017074,23,37,41,43,41
370630017075,268,260,299,287,258
370630017081,256,289,303,270,204
370630017091,114,79,123,108,37
370630017092,137,112,81,93,84
370630017093,785,907,982,973,1074
370630017101,208,188,203,244,243
370630017102,211,218,280,274,194
370630017111,163,137,66,61,64
370630017112,266,301,407,459,453
370630017113,236,276,240,282,333
370630018011,59,44,19,17,0
370630018012,43,44,0,20,46
370630018013,182,94,67,84,51
370630018014,0,24,64,110,116
370630018015,0,14,12,12,13
370630018021,86,88,114,56,80
370630018022,150,78,46,101,265
370630018023,189,163,161,198,123
370630018024,63,54,40,13,43
370630018061,37,56,39,66,64
370630018062,100,156,160,167,158
370630018071,171,191,193,175,177
370630018072,70,73,97,120,141
370630018073,40,39,40,45,34
370630018081,20,14,16,16,14
370630018082,12,32,39,49,87
370630018091,328,353,292,282,364
370630018092,298,312,311,305,191
370630019001,0,0,0,7,29
370630019002,17,10,14,15,4
370630020071,0,21,28,40,68
370630020072,114,141,99,94,57
370630020073,38,0,14,17,17
370630020081,26,32,41,48,39
370630020082,14,6,13,13,13
370630020091,146,166,160,108,128
370630020092,35,24,23,43,101
370630020093,166,130,117,115,108
370630020131,93,75,90,54,66
370630020132,57,27,91,90,58
370630020133,104,78,50,19,50
370630020151,304,315,377,377,391
370630020152,582,409,454,398,467
370630020153,145,103,86,77,70
370630020161,497,598,612,511,624
370630020162,355,329,433,512,540
370630020171,30,90,110,120,133
370630020172,34,36,61,64,95
370630020173,580,566,607,646,679
370630020181,115,114,132,179,172
370630020182,522,500,533,561,519
370630020183,17,14,14,14,0
370630020191,318,307,349,295,195
370630020192,281,212,226,210,187
370630020193,19,30,11,18,14
370630020201,33,39,26,68,44
370630020202,14,12,14,16,16
370630020211,655,716,565,466,313
370630020212,167,111,132,155,235
370630020221,452,450,320,309,184
370630020222,285,302,315,311,219
370630020231,111,175,192,199,139
370630020232,124,99,76,104,116
370630020241,77,30,87,92,90
370630020242,50,51,49,74,13
370630020243,50,64,74,130,125
370630020251,16,30,27,13,14
370630020252,167,176,155,130,178
370630020253,76,101,13,15,17
370630020261,192,195,236,295,274
370630020262,516,527,524,503,552
370630020271,17,36,30,57,129
370630020272,582,496,645,787,915
370630020273,369,273,277,280,331
370630020281,72,65,70,71,56
370630020282,139,92,75,116,198
370630020283,218,222,258,299,296
370630021001,54,47,51,54,65
370630021002,86,51,39,50,46
370630021003,7,7,52,52,49
370630022001,240,259,263,243,198
370630023001,160,140,128,96,73
370630023002,41,58,77,80,79
370639801001,0,0,0,0,0
