id,y_2011,y_2013,y_2014
370630001011,12,45,24
370630001012,0,0,0
370630001021,43,39,33
370630001022,30,32,42
370630002001,35,16,25
370630002002,7,24,22
370630002003,26,22,26
370630003011,0,0,2
370630003012,7,11,7
370630003013,30,31,39
370630003021,66,83,74
370630003022,7,21,33
370630003023,11,75,70
370630004011,33,46,64
370630004012,21,37,39
370630004013,104,32,35
370630004021,133,131,149
370630005001,0,0,0
370630005002,19,27,37
370630005003,0,11,13
370630005004,0,23,14
370630006001,157,56,133
370630006002,62,35,55
370630006003,0,21,27
370630007001,14,39,42
370630007002,50,0,40
370630007003,57,8,6
370630009001,0,0,0
370630009002,0,0,0
370630010011,0,0,0
370630010012,0,0,0
370630010013,0,53,47
370630010021,60,0,0
370630010022,36,0,0
370630010023,19,0,0
370630010024,13,0,0
370630011001,20,21,10
370630011002,0,9,9
370630013011,0,0,1
370630013031,59,115,151
370630013032,0,0,0
370630013041,19,38,34
370630014001,0,0,0
370630014002,0,29,26
370630015011,26,73,66
370630015021,0,0,0
370630015022,0,0,0
370630015023,0,0,0
370630015024,0,0,0
370630015031,32,33,55
370630016011,76,38,35
370630016012,49,99,108
370630016013,12,15,15
370630016031,0,0,0
370630016032,35,53,25
370630016033,28,13,23
370630016034,54,69,72
370630016041,86,89,69
370630016042,76,73,82
370630016043,39,35,39
370630017051,78,50,0
370630017052,60,29,20
370630017053,14,9,11
370630017061,0,25,36
370630017062,66,55,57
370630017071,17,53,65
370630017072,60,66,0
370630017073,15,19,28
370630017074,79,79,115
370630017075,26,56,54
370630017081,65,99,102
370630017091,0,1,1
370630017092,0,0,0
370630017093,32,57,67
370630017101,95,29,30
370630017102,0,0,14
370630017111,0,7,8
370630017112,0,0,0
370630017113,0,34,32
370630018011,60,49,56
370630018012,0,17,13
370630018013,19,17,37
370630018014,0,0,25
370630018015,0,0,0
370630018021,61,57,61
370630018022,0,70,55
370630018023,19,0,0
370630018024,21,15,13
370630018061,15,29,25
370630018062,27,52,9
370630018071,96,71,72
370630018072,59,56,62
370630018073,69,17,20
370630018081,101,59,53
370630018082,56,128,121
370630018091,42,67,52
370630018092,20,16,66
370630019001,9,16,17
370630019002,60,39,33
370630020071,24,43,55
370630020072,68,120,73
370630020073,74,136,49
370630020081,32,45,45
370630020082,65,81,95
370630020091,34,0,0
370630020092,0,8,8
370630020093,28,28,26
370630020131,51,38,41
370630020132,9,26,46
370630020133,33,70,77
370630020151,3,41,26
370630020152,0,0,0
370630020153,0,0,2
370630020161,0,0,0
370630020162,31,33,33
370630020171,80,112,109
370630020172,46,48,29
370630020173,99,114,110
370630020181,36,63,98
370630020182,87,189,177
370630020183,76,55,49
370630020191,0,21,40
370630020192,13,16,43
370630020193,99,68,56
370630020201,78,59,92
370630020202,206,256,202
370630020211,212,148,68
370630020212,0,0,20
370630020221,15,0,0
370630020222,38,35,57
370630020231,52,40,40
370630020232,17,25,38
370630020241,219,219,247
370630020242,24,17,11
370630020243,131,56,58
370630020251,13,17,22
370630020252,122,99,120
370630020253,0,0,0
370630020261,19,30,41
370630020262,8,24,15
370630020271,0,0,0
370630020272,12,54,48
370630020273,0,39,30
370630020281,62,79,54
370630020282,15,0,0
370630020283,0,30,42
370630021001,50,57,55
370630021002,10,27,35
370630021003,25,52,54
370630022001,20,59,63
370630023001,0,0,0
370630023002,0,0,0
370639801001,0,0,0
