id,y_2011a,y_2013a
1,10051,5237
2,3729,3070
3,3069,3061
4,4453,5802
5,8588,6192
6,4245,4324
7,8245,7872
8,4757,3605
9,4781,6070
10,8047,8323
11,10813,13229
12,7814,5869
13,8096,8601
14,8997,9750
15,6504,6195
16,7808,9102
17,5215,4844
18,2606,4490
19,6193,7206
20,3618,3369
21,3162,3375
22,5828,8286
23,5480,5117
24,37812,21767
25,4294,4602
26,23413,14851
27,7374,9168
28,3637,3066
29,2615,2859
30,5595,4722
31,3676,7275
32,1865,2447
33,2082,1871
34,6594,13411
35,5359,5875
36,3234,2460
37,1854,2105
38,1802,1585
39,2491,2870
40,1992,1676
41,10568,5859
42,1955,1824
43,4755,5447
44,2412,13437
45,2100,1098
46,2441,2067
47,4946,5131
48,2212,2013
49,2528,2201
50,2490,471
51,13793,10886
52,5994,4062
53,7999,8704
54,14001,12198
55,5674,6021
56,7495,7112
57,6345,6519
58,8398,10937
59,6829,7662
60,5466,6698
61,5613,5324
62,13903,18645
63,24285,10450
64,5483,7974
65,6884,8760
66,17637,17506
67,7606,4949
68,13520,8803
69,8117,8552
70,12396,16257
71,2252,7427
72,4006,5822
73,2700,4116
74,2291,1699
75,3887,3237
76,2711,3932
77,4534,4846
78,3740,3620
79,3388,3907
80,6711,7464
81,5841,16685
82,3599,4805
83,5569,4186
84,8863,5621
85,4771,3408
86,3314,4648
87,2874,3759
88,6280,6385
89,5535,5309
90,2639,3067
91,2608,3951
92,4649,5419
93,2742,3797
94,11394,4521
95,5157,4485
96,3902,4690
97,5705,5854
98,14436,3306
99,4980,4309
100,5520,6795
101,8760,8861
102,7822,6055
103,18027,24012
104,9302,11029
105,3506,3427
106,5751,6814
107,5312,6496
108,5312,7344
109,5989,5816
110,4498,4365
111,4438,4284
112,4779,3585
113,12052,14586
114,2968,2702
115,4119,5811
116,8341,8676
117,10817,10604
118,5682,6555
119,14562,14309
120,4935,5450
121,7899,9760
122,6640,9100
123,9627,8542
124,7427,21852
125,12370,12476
126,6266,6778
127,7049,6067
128,16659,14280
129,5792,6245
130,6888,16024
131,7114,6385
132,5168,8823
133,4688,6159
134,26608,7237
135,5621,6396
136,5374,5242
137,4601,5948
138,3459,6636
139,3207,2917
140,4118,3962
141,2111,2891
142,5072,5665
143,4251,4280
144,4671,4419
145,6315,5889
146,6680,5937
147,13908,14118
148,5946,3302
149,8060,27506
150,12488,11643
151,2350,1979
152,1336,1263
153,,20639
