id,y_2011a,y_2013a
1,21.50%,2.70%
2,2.90%,3.00%
3,8.90%,8.80%
4,2.20%,4.70%
5,12.70%,15.70%
6,15.80%,2.70%
7,8.80%,11.40%
8,18.80%,6.80%
9,11.70%,7.70%
10,11.70%,8.40%
11,24.60%,2.80%
12,4.60%,3.30%
13,10.50%,5.10%
14,25.10%,3.10%
15,25.70%,4.00%
16,4.00%,3.00%
17,5.80%,5.00%
18,15.50%,17.90%
19,12.20%,11.10%
20,9.60%,10.20%
21,43.80%,4.90%
22,8.50%,5.40%
23,2.30%,7.10%
24,58.00%,7.60%
25,8.90%,7.00%
26,25.80%,3.30%
27,13.20%,2.20%
28,27.40%,2.60%
29,26.60%,6.70%
30,4.60%,6.50%
31,33.10%,5.30%
32,35.10%,2.20%
33,3.90%,6.00%
34,56.30%,4.60%
35,23.00%,3.60%
36,32.20%,3.80%
37,29.50%,9.50%
38,29.00%,3.50%
39,11.40%,11.50%
40,14.30%,10.00%
41,59.80%,10.50%
42,1.70%,1.20%
43,14.30%,19.30%
44,3.90%,4.30%
45,20.90%,18.20%
46,3.10%,6.50%
47,22.80%,23.00%
48,15.00%,16.00%
49,6.60%,4.90%
50,18.70%,14.90%
51,17.60%,2.30%
52,5.80%,0.80%
53,17.10%,3.50%
54,43.20%,8.30%
55,7.80%,0.80%
56,17.30%,2.00%
57,2.40%,2.20%
58,11.10%,2.80%
59,6.30%,0.80%
60,11.70%,1.40%
61,12.90%,1.70%
62,7.00%,5.50%
63,15.80%,2.10%
64,8.80%,0.90%
65,1.70%,1.90%
66,14.00%,1.60%
67,9.60%,1.10%
68,25.60%,3.60%
69,10.30%,1.20%
70,1.60%,1.80%
71,1.20%,0.60%
72,52.10%,21.20%
73,22.80%,4.60%
74,4.70%,7.70%
75,2.40%,4.70%
76,15.00%,1.70%
77,6.70%,5.70%
78,13.60%,5.50%
79,3.90%,5.20%
80,11.10%,1.40%
81,49.70%,6.60%
82,8.10%,0.80%
83,24.50%,2.40%
84,22.00%,16.10%
85,13.00%,1.30%
86,11.10%,1.50%
87,2.10%,1.50%
88,33.00%,4.50%
89,12.90%,1.40%
90,5.80%,0.70%
91,7.00%,0.80%
92,5.40%,0.60%
93,3.70%,3.80%
94,11.40%,1.30%
95,7.10%,0.60%
96,6.00%,0.80%
97,0.60%,0.70%
98,48.50%,6.30%
99,9.00%,1.00%
100,9.10%,1.30%
101,11.10%,10.90%
102,18.50%,2.30%
103,24.10%,3.10%
104,8.70%,1.00%
105,13.30%,1.70%
106,3.40%,2.80%
107,13.40%,1.60%
108,3.10%,1.50%
109,2.70%,6.30%
110,1.60%,1.00%
111,3.70%,2.00%
112,7.50%,9.10%
113,50.30%,3.60%
114,0.70%,0.90%
115,5.90%,1.00%
116,9.20%,3.10%
117,12.70%,1.60%
118,2.00%,1.20%
119,10.00%,3.00%
120,5.80%,10.10%
121,7.20%,2.20%
122,9.60%,1.20%
123,3.70%,1.20%
124,12.10%,1.40%
125,8.00%,1.00%
126,1.80%,0.50%
127,4.30%,3.70%
128,16.30%,2.10%
129,5.90%,0.70%
130,8.30%,1.70%
131,13.70%,1.40%
132,6.10%,3.50%
133,4.10%,0.50%
134,15.50%,2.30%
135,9.60%,1.20%
136,9.10%,0.80%
137,6.50%,1.00%
138,15.50%,1.40%
139,8.30%,2.30%
140,5.30%,2.40%
141,12.90%,1.30%
142,3.70%,0.50%
143,9.70%,1.20%
144,10.10%,0.90%
145,10.90%,1.50%
146,5.90%,0.70%
147,11.50%,3.70%
148,9.30%,1.50%
149,9.70%,1.30%
150,5.30%,6.90%
151,12.70%,12.30%
152,155.60%,5.00%
153,408.30%,29.30%
