id,y_2011,y_2013
16,36.9,30.7
17,30.2,28.7
18,21.7,22.6
19,31.5,31.8
20,28.3,26.1
21,32.1,32.1
22,35.7,31.3
23,37.5,31.5
24,60.6,54.7
25,48.3,47.1
26,49.9,42.4
27,39.6,38.3
28,28.8,33.9
29,27.5,35
30,35.1,31.3
31,33.9,42.1
32,33.3,23
33,30,29.4
34,30.2,36.3
35,29.9,39.8
36,31.2,19.9
37,35.4,30.6
38,31.7,33.3
39,28.2,31.5
40,19.6,19.7
41,54.4,55.6
42,32.4,31.4
43,25.1,23
44,25.1,25.3
45,19.6,19.8
46,26.4,24.8
47,26.2,24.6
48,25.5,25.1
49,24.6,25
50,18.9,19
51,46.8,50
52,39,39.4
53,46,44.2
54,57.3,47.2
55,37.9,41.1
56,50.1,53
57,45.3,44.7
58,46.1,48.2
59,45.3,45.5
60,44.1,44.2
61,47.8,44.4
62,49.7,44.6
63,31.7,37.1
64,35,35.1
65,31.6,33.9
66,43.1,43.3
67,37.9,46.4
68,56.1,56.7
69,46.3,39.3
70,55.8,61.6
71,32.9,33.1
72,30,37.4
73,28.1,29.2
74,26,24
75,31.1,35.3
76,31.4,31.1
77,27.6,30.4
78,32.2,31.8
79,28.2,34.5
80,35.1,30.8
81,43.3,46.2
82,35.3,35.1
83,26.6,25.2
84,55.9,54.4
85,29.2,29.4
86,30.7,32.8
87,31,31
88,30.9,36.1
89,47.2,44
90,32.8,32.3
91,31.3,33.9
92,37.2,32.3
93,33.1,32.6
94,37.5,37.3
95,34.7,35.4
96,26,27.9
97,30.8,31.6
98,59.4,56.2
99,36.7,36.8
100,41.4,45
101,49.7,40
102,35.5,45.2
103,57.4,52.6
104,40.3,40
105,39.4,33.4
106,44.4,48.1
107,37.6,40.5
108,35.5,41.3
109,36.6,36.8
110,33.9,38.6
111,29.4,30.1
112,25,29
113,63.6,58
114,27,27.5
115,29.2,29.7
116,46.1,49.2
117,52.3,54.3
118,34.4,35.1
119,58,62
120,28.2,30.6
121,41.9,46.8
122,27.6,26.4
123,27.2,27.6
124,51.2,49.3
125,33.8,35.8
126,36.9,36.1
127,31.9,35.4
128,36.9,29.3
129,30.2,32.3
130,33,41.2
131,27.6,31.5
132,39.7,41.1
133,32.4,37.2
134,33.3,34.6
135,40.8,46.5
136,33.3,33.6
137,30.3,35.2
138,33.3,28.7
139,37.1,33.1
140,29.2,25.5
141,28.4,30
142,28.8,29.9
143,29.5,26.9
144,35.1,31.4
145,29.9,28.7
146,29.9,30.5
147,46.1,49.5
148,39.9,40.5
149,51.8,53
150,31.8,30.8
151,29.8,32
152,27.4,27.2
153,54.5,54.6
1,40.9,42.6
2,32.7,36.4
3,33,32.4
4,43.7,39
5,38.7,35.6
6,37.3,29.9
7,33.4,30.2
8,33.8,31.7
9,40.2,47.5
10,35.2,31.7
11,38.9,40.2
12,29.8,35.7
13,32.2,36.1
14,43.5,37.6
15,48.5,46.1
