id,y_2010
68,627
75,2581
66,1068
64,2310
112,2183
46,2391
104,1947
147,2270
111,2253
26,1030
17,1963
110,2030
18,1155
16,694
36,1296
19,584
52,2984
8,1019
91,3266
92,3450
94,2080
39,1128
109,898
72,971
100,1732
31,1299
1,1261
83,1279
33,3045
87,2176
35,846
34,787
73,975
119,2327
5,861
105,1904
106,1119
56,1227
148,2193
59,2842
108,1553
62,1535
15,931
3,2585
13,1533
11,779
12,1114
20,1289
14,898
29,867
27,1082
28,801
9,728
7,974
30,878
41,555
114,3228
32,1289
43,984
40,3121
102,816
107,1662
42,2557
84,746
78,1616
63,1373
21,1065
22,2431
2,1891
97,2664
123,1536
150,1946
126,3862
140,3548
141,1473
4,1950
24,518
48,2117
49,454
65,1869
69,1744
70,1445
89,1742
90,3930
93,2700
95,2966
96,2484
113,691
6,1111
85,2033
115,2156
118,3007
121,2455
122,1399
124,1473
125,2032
153,4
45,3070
50,1941
101,2306
10,757
149,1899
47,1024
99,2118
98,729
25,718
51,1124
58,1979
120,2701
67,1601
80,1890
71,3989
127,3016
128,1416
129,1822
130,2485
131,1195
60,1824
57,1782
77,1305
55,2624
38,1278
86,1629
82,2550
81,658
132,1613
133,3582
134,1033
135,1233
136,2114
23,2228
76,2124
61,1611
79,1582
116,2308
103,960
53,1698
137,2464
138,1360
139,2265
142,4164
143,1635
144,2246
145,1183
146,2572
54,638
74,4163
44,1625
37,1947
117,1339
151,1154
152,177
88,898
