id,y_2010
48,567
112,167
115,178
114,259
136,297
141,40
77,20
146,357
111,47
3,21
128,144
144,271
142,438
81,1
83,5
22,45
18,231
63,56
1,18
145,75
91,46
75,134
23,76
9,14
138,44
6,11
8,17
4,44
76,24
129,136
95,112
96,63
79,34
137,82
45,961
12,27
50,443
130,137
19,13
94,58
143,218
5,2
65,132
150,53
108,30
78,19
61,40
127,339
46,45
97,58
88,4
10,23
20,31
102,21
109,35
13,40
120,253
80,7
126,325
35,0
55,199
25,11
110,135
101,95
27,17
132,110
52,91
60,88
64,195
122,75
133,364
92,72
7,10
36,2
86,3
33,18
82,12
28,0
131,35
34,0
31,2
90,30
47,239
85,9
37,3
2,19
84,2
125,270
139,127
74,42
153,0
100,46
30,0
53,28
17,103
14,16
140,55
32,0
62,57
118,373
121,176
152,0
49,20
21,2
135,51
54,7
93,25
38,0
51,29
26,19
123,163
87,20
134,27
99,75
71,61
11,18
113,65
56,24
148,39
58,64
67,41
117,106
16,28
105,1
29,9
66,27
116,162
147,27
72,6
69,48
149,8
104,79
89,5
119,85
98,18
59,33
151,1
106,0
15,39
42,2
24,18
68,27
44,2
124,60
57,16
70,78
39,3
107,9
103,14
40,1
73,0
41,1
43,0
