id,y_2010
48,433
112,685
115,682
114,615
136,684
141,553
77,380
146,1057
111,634
3,646
128,418
144,984
142,1561
81,199
83,421
22,1015
18,559
63,589
1,546
145,481
91,873
75,940
23,767
9,186
138,554
6,255
8,270
4,879
76,311
129,748
95,1481
96,961
79,403
137,736
45,1527
12,562
50,1044
130,1297
19,297
94,891
143,366
5,293
65,1016
150,998
108,774
78,239
61,874
127,1684
46,233
97,1384
88,143
10,439
20,100
102,299
109,511
13,891
120,1595
80,507
126,2181
35,76
55,1537
25,372
110,1227
101,1325
27,515
132,938
52,1643
60,1067
64,1427
122,852
133,2241
92,921
7,600
36,87
86,120
33,133
82,508
28,36
131,748
34,77
31,113
90,921
47,651
85,237
37,138
2,294
84,491
125,1361
139,254
74,718
153,0
100,1153
30,82
53,1153
17,1362
14,629
140,426
32,96
62,1076
118,2146
121,1768
152,0
49,33
21,68
135,882
54,458
93,363
38,86
51,814
26,748
123,1151
87,195
134,781
99,1627
71,416
11,605
113,537
56,954
148,1720
58,1565
67,1272
117,1067
16,555
105,34
29,26
66,861
116,1879
147,1837
72,35
69,1424
149,1546
104,1603
89,1438
119,1933
98,608
59,2363
151,80
106,16
15,789
42,38
24,440
68,533
44,27
124,1274
57,1556
70,1271
39,26
107,35
103,882
40,65
73,5
41,1
43,5
