id,y_2010
48,0.75
112,0.73
115,0.73
114,0.7
136,0.7
141,0.69
77,0.69
146,0.68
111,0.68
3,0.68
128,0.68
144,0.67
142,0.67
81,0.67
83,0.67
22,0.67
18,0.67
63,0.67
1,0.67
145,0.67
91,0.67
75,0.66
23,0.66
9,0.66
138,0.66
6,0.66
8,0.66
4,0.66
76,0.65
129,0.64
95,0.64
96,0.64
79,0.64
137,0.64
45,0.64
12,0.64
50,0.64
130,0.63
19,0.63
94,0.63
143,0.63
5,0.62
65,0.62
150,0.62
108,0.62
78,0.62
61,0.61
127,0.61
46,0.61
97,0.6
88,0.6
10,0.6
20,0.6
102,0.6
109,0.6
13,0.59
120,0.59
80,0.59
126,0.59
35,0.59
55,0.58
25,0.58
110,0.58
101,0.58
27,0.58
132,0.58
52,0.57
60,0.57
64,0.56
122,0.56
133,0.56
92,0.56
7,0.56
36,0.56
86,0.56
33,0.56
82,0.56
28,0.55
131,0.54
34,0.54
31,0.54
90,0.54
47,0.53
85,0.53
37,0.53
2,0.52
84,0.52
125,0.52
139,0.51
74,0.5
153,0.5
100,0.49
30,0.49
53,0.49
17,0.49
14,0.48
140,0.47
32,0.47
62,0.47
118,0.46
121,0.46
152,0.46
49,0.46
21,0.45
135,0.45
54,0.45
93,0.45
38,0.44
51,0.44
26,0.44
123,0.42
87,0.42
134,0.4
99,0.39
71,0.39
11,0.38
113,0.38
56,0.38
148,0.36
58,0.36
67,0.35
117,0.35
16,0.35
105,0.35
29,0.35
66,0.34
116,0.33
147,0.33
72,0.32
69,0.32
149,0.32
104,0.31
89,0.31
119,0.3
98,0.3
59,0.29
151,0.29
106,0.28
15,0.28
42,0.27
24,0.27
68,0.27
44,0.26
124,0.25
57,0.23
70,0.22
39,0.21
107,0.21
103,0.15
40,0.14
73,0.13
41,0.12
43,0.1
