id,Sum_SWLENG,Sum_RDLENG,Sum_SWLE_1,Sum_RDLE_1,Sum_SWLE_2,Sum_RDLE_2,Sum_SHAPE_,Sum_SHAP_1
Abercromby,148,5102,148,5102,148,5103,148,5110
Abron Drive,0,26,0,26,0,26,0,27
Albright,7358,19889,7358,19889,7358,19889,7358,19897
Amberlynn Valley,2200,1835,2200,1835,2200,1835,2200,1805
American Tobacco Campus,8953,8827,8730,8781,8730,8781,8730,8784
American Village,8503,35651,10288,35651,10288,35651,10288,35669
Anderson St. / Wrightwood Park,16963,47963,16963,48086,16963,47813,16963,47760
Archer Woods,0,8599,0,8599,0,8612,0,8612
Arrowhead,0,6171,0,6171,0,6171,0,6234
Artisan at Brightleaf,,,748,1872,748,2466,748,2466
Ashley Forest,0,13305,0,13305,0,13812,0,13791
Ashton Hall,6645,17413,12892,17413,12892,18432,12892,18426
Auburn Hills,10668,13838,10668,13838,10668,13024,10668,13029
Auburn Square,2245,9006,2245,9006,2245,12027,2245,12027
Auburn Park,3974,6459,3974,6459,3974,7656,3974,7656
Audubon Park,9076,15395,9076,15395,9076,15395,9076,15406
Bahama,,,,,,,,
Barclay to Sandlewood,,,,,,,,
Bennet Place,0,12799,0,12799,0,12801,0,12801
Belcrest,2703,2435,2887,2435,2887,2435,2887,2435
Bluffs of the Eno,0,2301,0,2301,0,2301,0,2301
Bon Air Avenue,390,3475,390,3475,390,3475,390,3468
Bradbury Glen,3887,4529,3887,4529,3887,4529,3887,4529
Bradbury Trace,7326,12004,7326,12004,7326,12002,7326,12002
Bragtown,20425,37027,20419,37027,20419,37037,20419,36600
Brandon Ridge,0,1256,0,1256,0,1256,0,1256
Brightleaf at the Park,29700,42864,31704,45059,31703,46544,31703,46525
Brookstown,836,1933,836,1933,836,1933,836,1933
Buck Crossing,3269,3665,3269,3665,3269,3665,3269,3665
Cameron Woods,4065,5787,4065,6568,4065,6862,4065,6879
Cardinal Lake,10156,17466,12764,17466,12764,17972,12764,17972
Carillon Forest,14447,14559,14523,14559,14523,14567,14523,14571
Central Park,20064,19447,20064,19445,20064,19184,20064,19172
Chancellor's Ridge,15724,25505,15622,25505,15622,25499,15622,25176
Chapel Hill Road,3992,5125,3992,5125,3992,5125,3992,5123
Chelsea Meadows,9311,8962,9311,8962,9311,8962,9311,8963
Cleveland-Holloway,33101,44432,33153,44441,33153,44439,33153,44438
Colchester,0,245,0,245,0,245,0,245
Cole Mill Road,4283,44057,4283,44057,4283,44072,4283,44075
Coles Pond,1602,2334,1602,2334,1602,2358,1602,2358
College View,41876,70963,41876,70963,41876,70965,41876,70945
Colonial Village,5272,37263,5215,37263,5215,37264,5215,37197
Colony Park,147,13053,147,12399,147,12399,147,12399
Colony Woods,,,,,,,,
Colvard Farms,,,,,,,,
Copper Creek,5969,6272,5969,6272,5969,6276,5969,6277
Country Club Heights,8280,11774,7190,11774,8154,11774,8154,11785
Cranford Road,753,3726,753,3726,753,3725,753,3715
Crest Street,4715,6030,4715,6030,4715,6030,4715,6023
Croasdaile,3751,32789,3751,32789,3751,32791,3751,32791
Croasdaile Farm,66683,55149,65988,56523,65988,56520,65988,56539
Croasdaile Village,18503,19639,18468,19639,18468,19639,18468,19638
Crooked Creek,8702,25389,8658,25389,8880,25423,8880,25423
Cross Timbers,799,3622,799,3622,799,3622,799,3623
Crown Point,0,9232,0,9232,0,9232,0,9214
Darby Glen,973,2199,973,2199,973,2232,973,2233
Deer Forest,,,,,,,,
Dixon Road Area,3941,31362,3832,31362,3832,31372,3832,31372
Downing Creek,4279,17497,4279,17497,4279,17497,4279,17508
Downtown,57277,52334,57277,52610,57277,52612,57116,51796
Duke East Campus,11929,22660,12306,22163,12306,22172,12306,22834
Duke Forest,15514,51046,15514,51046,15514,51042,15514,51041
Duke Homestead,3518,23813,3518,23819,3518,23824,3518,23825
Duke Manor Apartments,961,2951,961,2951,961,2951,961,2951
Duke Park,25528,53297,25528,53297,25528,53274,25528,53253
Duke West Campus,88898,101651,88778,101416,89000,101368,88778,102756
Eagle's Pointe,10064,11603,10064,11603,10064,11603,10064,11615
Eastway Village,3555,1222,3555,1222,3555,1222,3555,1222
Eastwood Park,100,10602,100,10602,100,10602,100,10603
Edgemont,21824,36824,22010,36824,22010,37274,22010,37294
Elm Grove,5881,4489,5881,4489,5881,4489,5881,4491
Emorywood Estates,5538,19653,5538,19653,5538,19657,5538,19657
Eno Commons,0,811,0,811,0,811,0,811
Eno Trace,0,13248,0,13248,0,13243,0,13243
Everwood,1528,2827,3189,2827,3189,2827,3189,2827
Fairfield,586,2813,304,3753,304,4750,304,5864
Falconbridge,2120,35474,2120,35474,2120,35480,2120,35419
Fieldstone by the Eno,5873,23906,5873,23906,5873,23906,5873,23176
Five Oaks,368,13774,368,13774,368,13770,368,13773
Five Oaks 4100,0,1767,0,1767,0,1763,0,1763
Folkstone,0,3907,0,3907,0,3907,0,3906
Forest Acres,0,3887,0,3887,0,3884,0,3884
Forest Hills,15563,61499,15563,61499,15563,61445,15563,60245
Forest Oaks,0,3239,0,3239,0,3239,0,3238
Fortune's Ridge,0,11774,0,11774,0,11780,0,11779
Fox Run,,,,,,,,
Garret Farms - Porchlight / Hartley,0,1067,0,1067,0,1067,0,1067
Gatewood Forest,3003,5340,2592,5340,2592,5344,2592,6493
Glennstone,5295,9006,6960,9006,6960,9019,6960,9018
Golden Belt,5845,11346,5845,11346,5845,11346,5845,11356
Grande Park,5309,5221,5275,5221,5275,5223,5275,5227
Green Mill,0,3647,0,3647,0,3647,0,3646
Grove Park,32161,55117,31436,55120,31026,55091,31436,55088
Heather Glen,,,,,,,,
Highgate,1094,5684,1094,5684,1094,5683,1094,5683
Hillandale Commons,751,4421,751,4421,751,3406,751,3407
Holston Meadows,968,2004,968,2004,968,2004,968,2004
Homeplace I,742,3575,742,3575,742,3575,742,3560
Homeplace II,669,5471,669,5470,669,5470,669,5470
Hope Valley,8612,133788,8612,135973,8612,136015,8612,136166
Hope Valley Downs,4471,3950,4471,3950,4471,3950,4471,3952
Hope Valley Farms,20373,36280,21015,37403,21015,37397,21015,37390
Hope Valley Farms North,22607,31369,22367,31370,22367,31369,22367,31366
Hope Valley Forest,3618,16931,3618,16931,3618,16944,3618,16943
Hope Valley Green,2815,6882,2815,6853,2815,6853,2815,6843
Hope Valley North,0,9183,0,9183,0,9234,0,9234
Horton Hills,7075,9965,7075,9965,7075,9965,7075,9964
Huckleberry Heights,4889,9223,4889,9223,4889,9220,4889,9220
Huntington Ridge,5373,6231,5381,6231,5381,6230,5381,6229
Inverness Drive,,,,,,,,
Knollwood,316,4736,316,4736,316,4731,316,4731
Lake Park,0,41,0,41,0,41,0,41
Lakehurst,7471,12217,6093,12217,6657,11596,6673,11596
Lakewood Park,7681,17030,7681,17030,7681,17028,7681,17027
Landon Farms,12740,16455,12866,16455,12866,16462,12866,16485
Latta Woods,1846,3502,1846,3502,1846,3504,1846,3507
Lattamoor,1753,4102,1753,4102,1753,4102,1753,4105
Lochaven Hills,0,17941,0,17941,0,17938,0,17948
Lochn'ora,326,12720,197,12720,0,12711,197,12711
Lochside,12036,14489,12036,14489,12036,14488,12036,14489
Long Meadow,523,23259,523,23259,523,23259,523,22777
Lyon Park,6827,18030,6979,18030,6979,18030,6979,18864
Marbry Landing,3488,7649,3488,7649,3488,7648,3488,7645
Bent Creek / Woodberry Forest,6649,14725,6649,14725,6649,14735,6649,14125
Meadows of Pagehurst,8128,9897,7912,9897,7912,9909,7912,9904
Merrick Moore,960,10841,960,10841,960,10841,960,10871
Milan Woods,771,14660,771,14660,771,14655,771,14655
Morehead Hill,30300,42485,30300,42485,30300,42423,30300,42423
Newhall Village,0,1062,0,1062,0,1066,0,1065
Myers Park/Beechgrove,13555,18468,13555,18468,13555,18485,13555,18485
Nancy Rhodes Creek,543,18504,303,18504,303,18503,303,18522
North Durham Community,440,4829,440,4829,440,4829,440,4819
North Carolina Central University,18938,20700,18938,20700,18938,20696,18938,20703
Northeast Hills,990,35905,990,35905,990,35447,990,35442
Northgate Park,25158,68531,25158,68530,25158,68532,25158,68535
Oak Grove Community,1440,2774,851,2603,552,3993,851,3373
Oakhaven,2980,2898,2979,2898,2979,2898,2979,2898
Oakhurst,4345,3313,3051,3313,3615,3880,3617,3880
Old East Durham,48946,68667,48725,68669,48725,68629,48725,68652
Old Farm,2693,34295,2693,34295,2693,34296,2693,34249
Old Five Points,4095,4172,4095,4172,4095,4172,4095,4172
Old North Durham,45202,53419,45883,53354,45883,53356,45883,53299
Old West Durham,53807,69600,53807,69598,53807,69598,53807,69258
Omah Street,22637,53923,22155,51678,22155,50524,22155,50524
Orchard Ridge,3928,4389,4326,4389,4326,4401,4326,4400
Orchid Court,0,280,0,280,0,280,0,280
Pagehurst,732,3677,499,3677,499,3673,499,4275
Parc at University,2312,4281,2312,4281,2312,4281,2312,4281
Park Ridge,0,5684,0,5684,0,5684,0,5682
Parkside,0,6771,0,6771,0,6772,0,6772
Parkwood,20020,81063,20020,81063,20020,81088,20020,80186
Penrith,7252,53367,7252,52957,7252,52931,7252,52938
Pine Valley,532,24157,532,24388,532,24390,532,24348
Placid Valley,,,,,,,,
Pleasant Drive,0,18415,0,18163,0,18155,0,18151
Preston Avenue,0,2909,0,2909,0,2909,0,2909
Preston Woods,517,10992,517,10992,517,10992,517,10454
Providence Ridge,964,4746,964,4746,964,4746,964,4748
Ravenstone,14050,19521,16598,19521,16598,19531,16581,22268
Ridgefield,15143,16771,14962,16771,14962,16768,14962,16769
Rigsbee Hill,824,1168,824,908,824,908,824,908
River Forest,616,9449,616,9449,616,9449,616,9449
River's Edge,2255,3719,2260,3719,2260,3719,2260,3719
Rockwood,1785,30966,1785,30966,1785,30981,1785,31321
Rougemont,,,,,,,,
Rustica Oaks,0,2539,555,4072,555,4072,555,4072
Scarsdale Village,7945,54260,7945,54260,7945,54260,7945,54258
Sheridan Drive,1524,8628,1524,8628,1524,8551,1524,8550
Southampton,3492,3758,3492,3758,3492,3758,3492,3757
Southpoint Manor,5556,6824,5556,6824,5556,6821,5556,7593
Southside / St. Teresa,16953,36725,16778,36712,16778,36251,16778,36245
South Terrace at Auburn,1879,1251,1879,1251,1879,1251,1879,1251
Spring Valley,0,22887,0,22887,0,22886,0,22895
Solterra,1018,4389,898,4389,898,4389,898,4389
Stadium Heights,13686,65066,15202,65059,15202,65066,15202,65068
Stephen's Woods,0,10658,0,10658,0,10657,0,10657
Sterling Ridge,708,1272,708,1272,708,1270,708,1271
Stillwood,3909,3825,3907,3825,3907,3817,3907,3817
Stirrup Creek,0,9774,0,9774,0,9781,0,10384
Stonehill Estates,13376,19380,13374,19380,13374,19384,13374,19395
Stratford Lakes,3859,4982,3859,4982,3859,4989,3859,4983
Summer Meadow,11479,13642,11479,13642,11479,13642,11479,13629
Sunningdale,2101,7526,2101,7526,2101,7526,2101,6682
Surrey Green,0,6634,0,6634,0,6635,0,6636
Swallows Ridge,0,1189,0,1189,0,1189,0,1189
Swann's Mill,13085,13138,14047,13137,14047,13137,14047,13807
Taylor Estates,5296,5372,5296,5372,5296,5757,5296,5757
Thaxton,11027,8735,11027,8735,11027,8736,11027,8735
The Hills at Southpoint,7748,14559,10080,15888,10080,15848,10080,15518
The Landing at Southpoint,177,2266,177,2266,177,2266,177,2266
Treyburn,41079,79263,40421,79703,40727,79702,40727,79621
Trinity Commons,856,1061,856,1061,856,1061,856,1057
Trinity Heights,10951,19295,10951,19947,10951,19947,10951,19965
Trinity Park,64144,75530,64521,75530,64521,75529,64521,75862
Trotter Ridge,0,8616,0,8616,0,8615,0,8613
Tuscaloosa-Lakewood,4523,33870,4523,33870,4523,33875,4523,33806
Urban 900,1643,2949,1643,2949,1643,2949,1643,2949
Valley Run,2759,9559,2759,9559,2759,9559,2759,9563
Valleybrook,957,21700,957,21700,957,21700,957,21698
Vantage Pointe,0,9018,0,9018,0,9017,0,9018
Walden Pond,0,6662,0,6773,0,6773,0,6769
Walltown,53909,48217,53909,47014,53909,46804,53909,46820
Warehouse District,19454,23428,19758,21700,19758,21693,19758,21690
Waterford,9516,12996,9516,12996,9516,12996,9516,12996
Watts Hospital-Hillandale,36552,85284,37291,85284,37291,85340,37034,89869
Welcome Circle,0,8732,0,8732,0,8732,0,8732
Wellington Forest,6959,11288,6505,11288,6505,10104,7014,10955
Wellons Village,7683,20031,7683,20031,7683,20035,7683,20035
West End,13020,27277,13020,27277,13020,27272,13020,27262
West Hills,1530,15220,1524,15220,1517,15194,1517,15243
West Murray / Broad,0,4777,0,4777,0,4777,0,4777
Westgate Townes,0,1514,0,1514,0,1514,0,1514
Westwood Estates,0,14821,0,14821,0,14821,0,14843
Whitney Park,0,2803,0,2803,0,2803,0,2810
Willow Hill,,,,,,,,
Willowhaven,,,,,,,,
Windsor Oaks,262,8353,262,6971,262,6971,262,6972
Woodcroft,14329,69885,14329,70671,14329,70702,14329,70720
Woodlake,15241,48564,15227,48564,15227,48559,15227,48591
Woodstone at Croasdaile Farm,5213,3406,5213,3406,5213,3406,5213,3406
Woodwinds,0,4672,0,4672,0,4677,0,4678
Wynstead,3185,4725,3185,4725,3185,4725,3185,4725
Wynterfield,10168,12033,10168,12056,10168,12056,10168,12051
Burch Avenue,13920,16635,13920,16635,13920,16638,13920,16646
Franklin Village,8534,7014,8534,7014,8534,7014,8534,7009
Mary Dell,0,14967,0,14967,0,14967,0,14989
Autumn Ridge,6442,9256,6563,9256,6563,9256,6563,9255
Wellington Forest,6582,10417,6460,10417,6460,10424,6582,10614
Brightwood Trails,4175,9612,4941,9612,4941,9604,4941,9307
Carolina Arbors,0,16312,0,28159,0,36575,0,36569
Townes at Brier Creek Crossing,0,3916,0,7693,0,7687,0,8637
