id,y_2012,y_2013,y_2014,y_2015,y_2016
Abercromby,1,,,1,
Abron Drive,,,1,1,1
Albright,1,1,1,1,1
Amberlynn Valley,,,,,
American Tobacco Campus,1,,1,1,1
American Village,1,1,1,1,1
Anderson St. / Wrightwood Park,1,1,1,1,1
Archer Woods,1,1,1,1,1
Arrowhead,1,1,1,1,1
Artisan at Brightleaf,,,,,
Ashley Forest,1,1,1,1,1
Ashton Hall,1,1,1,1,1
Auburn Hills,1,1,1,1,1
Auburn Park,,1,1,,1
Auburn Square,,,1,,1
Audubon Park,1,1,,1,1
Autumn Ridge,1,1,1,1,1
Bahama,,,,1,
Barclay to Sandlewood,1,1,1,1,1
Belcrest,1,,1,1,1
Bennet Place,,1,1,,1
Bent Creek / Woodberry Forest,1,1,1,1,1
Bluffs of the Eno,1,1,1,,
Bon Air Avenue,1,1,,1,1
Bradbury Glen,,,1,,
Bradbury Trace,,,,,1
Bragtown,1,1,1,1,1
Brandon Ridge,,1,,,
Brightleaf at the Park,1,1,1,1,1
Brightwood Trails,1,1,1,1,1
Brookstown,,1,,,
Buck Crossing,1,,1,,1
Burch Avenue,1,1,1,1,1
Cameron Woods,1,,1,1,1
Cardinal Lake,1,1,,1,1
Carillon Forest,1,1,1,1,1
Carolina Arbors,,1,1,1,1
Central Park,1,,1,1,1
Chancellor's Ridge,1,1,1,1,1
Chapel Hill Road,,1,1,,1
Chelsea Meadows,,1,1,1,
Cleveland-Holloway,1,1,1,1,1
Colchester,,,,,
Cole Mill Road,1,1,1,1,1
Coles Pond,,,1,1,
College View,1,1,1,1,1
Colonial Village,1,1,1,1,1
Colony Park,1,1,1,1,1
Colony Woods,,,,,
Colvard Farms,1,1,1,1,1
Copper Creek,,,,,
Country Club Heights,1,1,1,1,1
Cranford Road,1,1,1,1,
Crest Street,1,,1,1,
Croasdaile,1,1,1,1,1
Croasdaile Farm,1,1,1,1,1
Croasdaile Village,,,,,
Crooked Creek,1,1,1,1,1
Cross Timbers,,1,1,,1
Crown Point,1,,,,1
Darby Glen,,,,,
Deer Forest,,,1,1,1
Dixon Road Area,1,1,1,1,1
Downing Creek,1,1,1,1,1
