id,y_2012,y_2013,y_2014,y_2015
Albright,0.155236862,0.155236862,0.155236862,0.155236862
American Village,0.450751349,0.450751349,0.450751349,0.450751349
Anderson St. / Wrightwood Park,0.558216653,0.558216653,0.558216653,0.558216653
Ashley Forest,0.1206532,0.1206532,0.1206532,0.1206532
Audubon Park,0.178167102,0.178167102,0.178167102,0.178167102
Bragtown,0.237860944,0.237860944,0.237860944,0.237860944
Cardinal Lake,0.207746929,0.207746929,0.207746929,0.207746929
Central Park,0.109196752,0.109196752,0.109196752,0.109196752
Chapel Hill Road,0.061430696,0.061430696,0.061430696,0.061430696
Cleveland-Holloway,0.25843864,0.25843864,0.25843864,0.25843864
College View,0.57681213,0.57681213,0.57681213,0.57681213
Colonial Village,0.333441181,0.333441181,0.333441181,0.333441181
Crooked Creek,0.381863041,0.381863041,0.381863041,0.381863041
Crown Point,0.099224126,0.099224126,0.099224126,0.099224126
Dixon Road Area,0.301119199,0.301119199,0.301119199,0.301119199
Downtown,0.348008816,0.348008816,0.348008816,0.348008816
Duke Forest,0.624521528,0.624521528,0.624521528,0.624521528
Duke Homestead,0.41003397,0.41003397,0.41003397,0.41003397
Duke Park,0.672331392,0.672331392,0.672331392,0.672331392
Duke West Campus,1.603612933,1.603612933,1.603612933,1.603612933
Edgemont,0.241710358,0.241710358,0.241710358,0.241710358
Grove Park,1.414473187,1.414473187,1.414473187,1.414473187
Hope Valley Farms,0.394779266,0.394779266,0.394779266,0.394779266
Hope Valley Farms North,0.251510932,0.251510932,0.251510932,0.251510932
Lakewood Park,0.184079061,0.184079061,0.184079061,0.184079061
Landon Farms,0.158601483,0.158601483,0.158601483,0.158601483
Lyon Park,0.123431645,0.123431645,0.123431645,0.123431645
Meadows of Pagehurst,0.077284842,0.077284842,0.077284842,0.077284842
Merrick Moore,0.155427995,0.155427995,0.155427995,0.155427995
Milan Woods,0.154981014,0.154981014,0.154981014,0.154981014
Morehead Hill,0.306499245,0.306499245,0.306499245,0.306499245
North Carolina Central University,0.187548826,0.187548826,0.187548826,0.187548826
Northeast Hills,0.431356401,0.431356401,0.431356401,0.431356401
Northgate Park,0.759089111,0.759089111,0.759089111,0.759089111
Old East Durham,0.448357161,0.448357161,0.448357161,0.448357161
Old Farm,0.446517294,0.446517294,0.446517294,0.446517294
Old North Durham,0.379339122,0.379339122,0.379339122,0.379339122
Old West Durham,0.643574928,0.643574928,0.643574928,0.643574928
Omah Street,0.715768455,0.715768455,0.715768455,0.715768455
Elm Grove,0.049106295,0.049106295,0.049106295,0.049106295
Long Meadow,0.213840713,0.213840713,0.213840713,0.213840713
Eastwood Park,0.053304249,0.053304249,0.053304249,0.053304249
Ashton Hall,0.153315998,0.153315998,0.153315998,0.153315998
Crest Street,0.071328747,0.071328747,0.071328747,0.071328747
Gatewood Forest,0.073053762,0.073053762,0.073053762,0.073053762
Hope Valley North,0.092273174,0.092273174,0.092273174,0.092273174
Barclay to Sandlewood,0.346513654,0.346513654,0.346513654,0.346513654
Abercromby,0.034302695,0.034302695,0.034302695,0.034302695
Abron Drive,0.033890678,0.033890678,0.033890678,0.033890678
Amberlynn Valley,0.039275119,0.039275119,0.039275119,0.039275119
American Tobacco Campus,0.070466192,0.070466192,0.070466192,0.070466192
Archer Woods,0.118856376,0.118856376,0.118856376,0.118856376
Arrowhead,1.329380476,1.329380476,1.329380476,1.329380476
Artisan at Brightleaf,0.040418472,0.040418472,0.040418472,0.040418472
Auburn Square,0.027548176,0.027548176,0.027548176,0.027548176
Auburn Park,0.024863682,0.024863682,0.024863682,0.024863682
Bahama,0.169558821,0.169558821,0.169558821,0.169558821
Bennet Place,0.118577063,0.118577063,0.118577063,0.118577063
Belcrest,0.027710103,0.027710103,0.027710103,0.027710103
Bluffs of the Eno,0.01727044,0.01727044,0.01727044,0.01727044
Bon Air Avenue,0.019273074,0.019273074,0.019273074,0.019273074
Bradbury Glen,0.069657606,0.069657606,0.069657606,0.069657606
Bradbury Trace,0.055857213,0.055857213,0.055857213,0.055857213
Bradford,0.071567524,0.071567524,0.071567524,0.071567524
Brandon Ridge,0.016712233,0.016712233,0.016712233,0.016712233
Briarcliff,0.358903703,0.358903703,0.358903703,0.358903703
Brightleaf at the Park,0.534365835,0.534365835,0.534365835,0.534365835
Brookstown,0.007554975,0.007554975,0.007554975,0.007554975
Buck Crossing,0.030184937,0.030184937,0.030184937,0.030184937
Cameron Woods,0.048165324,0.048165324,0.048165324,0.048165324
Carillon Forest,0.145257423,0.145257423,0.145257423,0.145257423
Chancellors Ridge,0.353889572,0.353889572,0.353889572,0.353889572
Chelsea Meadows,0.108691072,0.108691072,0.108691072,0.108691072
Colchester,0.01016528,0.01016528,0.01016528,0.01016528
Cole Mill Road,0.367374449,0.367374449,0.367374449,0.367374449
Coles Pond,0.040811566,0.040811566,0.040811566,0.040811566
Colony Park,0.149779005,0.149779005,0.149779005,0.149779005
Colony Woods,0.28663476,0.28663476,0.28663476,0.28663476
Colvard Farms,0.93720259,0.93720259,0.93720259,0.93720259
Copper Creek,0.034084827,0.034084827,0.034084827,0.034084827
Country Club Heights,0.16446457,0.16446457,0.16446457,0.16446457
Cranford Road,0.035794307,0.035794307,0.035794307,0.035794307
Croasdaile,0.533016524,0.533016524,0.533016524,0.533016524
Croasdaile Farm,0.983738781,0.983738781,0.983738781,0.983738781
Croasdaile Village,0.220397,0.220397,0.220397,0.220397
Cross Timbers,0.021223552,0.021223552,0.021223552,0.021223552
Darby Glen,0.01885355,0.01885355,0.01885355,0.01885355
Deer Forest,0.282267025,0.282267025,0.282267025,0.282267025
Downing Creek,0.211057011,0.211057011,0.211057011,0.211057011
Duke East Campus,0.236440654,0.236440654,0.236440654,0.236440654
Duke Manor Apartments,0.090057001,0.090057001,0.090057001,0.090057001
Eagles Pointe,0.096468523,0.096468523,0.096468523,0.096468523
Eastway Village,0.016322853,0.016322853,0.016322853,0.016322853
Emorywood Estates,0.25659272,0.25659272,0.25659272,0.25659272
Eno Commons,0.01738769,0.01738769,0.01738769,0.01738769
Eno Trace,0.211132042,0.211132042,0.211132042,0.211132042
Everwood,0.035613016,0.035613016,0.035613016,0.035613016
Fairfield,0.394005,0.394005,0.394005,0.394005
Falconbridge,0.352541165,0.352541165,0.352541165,0.352541165
Fieldstone by the Eno,0.331285564,0.331285564,0.331285564,0.331285564
Five Oaks,0.179112341,0.179112341,0.179112341,0.179112341
Five Oaks 4100,0.025927884,0.025927884,0.025927884,0.025927884
Folkstone,0.051534414,0.051534414,0.051534414,0.051534414
Forest Acres,0.0601291,0.0601291,0.0601291,0.0601291
Forest Hills,0.527101418,0.527101418,0.527101418,0.527101418
Forest Oaks,0.030748836,0.030748836,0.030748836,0.030748836
Fortunes Ridge,0.129456601,0.129456601,0.129456601,0.129456601
Fox Run,0.436102577,0.436102577,0.436102577,0.436102577
Garret Farms - Porchlight / Hartley,0.01393203,0.01393203,0.01393203,0.01393203
Glennstone,0.09652427,0.09652427,0.09652427,0.09652427
Golden Belt,0.065365491,0.065365491,0.065365491,0.065365491
Grande Park,0.071045838,0.071045838,0.071045838,0.071045838
Green Mill,0.045681133,0.045681133,0.045681133,0.045681133
Heather Glen,0.386331989,0.386331989,0.386331989,0.386331989
Highgate,0.065832403,0.065832403,0.065832403,0.065832403
Hillandale Commons,0.033274683,0.033274683,0.033274683,0.033274683
