id,y_2012,y_2013,y_2014
37063000101,47121.68837,43071.24011,49000
37063000102,56546.02604,63581.35444,53000
37063000200,87960.48496,81014.95163,78000
37063000301,81154.01886,53326.29727,47000
37063000302,120422.0925,90244.50308,106000
37063000401,96337.674,94346.52595,86000
37063000402,73823.97845,74349.16447,92000
37063000500,50263.13426,61017.59015,57000
37063000600,97384.82263,98448.54881,78000
37063000700,105238.4374,92808.26737,112000
37063000900,41362.3709,36918.2058,70000
37063001001,41885.94522,46147.75726,37000
37063001002,44503.81679,33841.68865,51000
37063001100,73300.40413,74861.91733,87500
37063001301,26178.71576,37943.71152,21500
37063001303,38220.92501,41020.22867,32000
37063001304,78012.57297,39994.72296,24000
37063001400,77488.99865,38969.21724,43500
37063001501,78536.14728,,
37063001502,45027.39111,48198.76869,319000
37063001503,,,
37063001601,71729.68119,67683.37731,69500
37063001603,80630.44454,77425.68162,69500
37063001604,90054.78222,82040.45734,92000
37063001705,61781.7692,48198.76869,53000
37063001706,76441.85002,81014.95163,69000
37063001707,98431.97126,91782.76165,89000
37063001708,51310.28289,46147.75726,44000
37063001709,43980.24248,51275.28584,41000
37063001710,53404.58015,52300.79156,52500
37063001711,48692.41132,47173.26297,52500
37063001801,50263.13426,55890.06157,48000
37063001802,44503.81679,45122.25154,37000
37063001806,52357.43152,55377.30871,52000
37063001807,52357.43152,53326.29727,51000
37063001808,79583.29591,77938.43448,83000
37063001809,76441.85002,84091.46878,73000
37063001900,75394.70139,67683.37731,74500
37063002007,83771.89044,79476.69305,79000
37063002008,159166.5918,141519.7889,151500
37063002009,41885.94522,47173.26297,44000
37063002013,74347.55276,72810.90589,66000
37063002015,78536.14728,60504.83729,65500
37063002016,78536.14728,70247.1416,92000
37063002017,118327.7952,117933.1574,114000
37063002018,113615.6264,101525.066,103000
37063002019,110997.7548,112292.876,89000
37063002020,117280.6466,114856.6403,109000
37063002021,104714.863,96397.53738,95500
37063002022,78536.14728,75374.67018,82000
37063002023,83771.89044,86655.23307,91000
37063002024,78536.14728,73836.41161,75500
37063002025,74871.12708,70247.1416,67000
37063002026,49215.98563,49224.27441,47000
37063002027,74347.55276,67170.62445,60000
37063002028,69111.80961,72810.90589,76500
37063002100,101573.4172,102550.5717,99000
37063002200,98431.97126,94346.52595,91000
37063002300,192675.348,,38000
37063980100,,,92500
