id,y_2012,y_2013,y_2014,y_2015
Abercromby,8,4,8,17
Abron Drive,3,0,3,4
Albright,93,96,124,83
Amberlynn Valley,31,29,11,25
American Tobacco Campus,32,56,16,52
American Village,24,11,28,25
Anderson St. / Wrightwood Park,37,69,62,65
Archer Woods,7,7,4,4
Arrowhead,2,11,12,10
Artisan at Brightleaf,3,8,7,4
Ashley Forest,1,6,11,14
Ashton Hall,24,20,24,14
Auburn Hills,4,4,11,13
Auburn Park,2,5,5,10
Auburn Square,5,12,6,12
Audubon Park,5,7,29,9
Autumn Ridge,3,2,4,4
Bahama,0,1,1,1
Barclay to Sandlewood,10,17,4,5
Belcrest,4,6,3,1
Bennet Place,6,5,10,6
Bent Creek / Woodberry Forest,3,12,11,10
Bluffs of the Eno,0,0,1,3
Bon Air Avenue,4,2,2,3
Bradbury Glen,2,1,5,1
Bradbury Trace,6,3,5,6
Bradford,,,,
Bragtown,154,139,138,158
Brandon Ridge,11,5,8,6
Briarcliff,,,,
Brightleaf at the Park,17,23,30,13
Brightwood Trails,0,6,7,5
Brookstown,1,1,1,1
Buck Crossing,0,1,1,1
Burch Avenue,40,50,42,36
Cameron Woods,0,2,8,1
Cardinal Lake,24,17,19,13
Carillon Forest,3,6,3,4
Carolina Arbors,0,3,31,7
Central Park,79,110,91,101
Chancellor's Ridge,5,6,10,18
Chapel Hill Road,13,15,12,21
Chelsea Meadows,2,5,9,3
Cleveland-Holloway,136,130,140,103
Colchester,0,0,0,3
Cole Mill Road,14,17,12,14
Coles Pond,1,1,2,4
College View,168,204,228,185
Colonial Village,86,98,95,77
Colony Park,3,8,9,9
Colony Woods,0,0,0,0
Colvard Farms,0,0,2,2
Copper Creek,3,2,9,6
Country Club Heights,8,2,4,2
Cranford Road,1,4,6,2
Crest Street,37,29,18,32
Croasdaile,3,9,9,19
Croasdaile Farm,8,17,24,15
Croasdaile Village,5,13,15,7
Crooked Creek,54,49,75,74
Cross Timbers,2,4,10,1
Crown Point,18,20,20,16
Darby Glen,5,9,2,4
Deer Forest,2,2,7,5
Dixon Road Area,24,24,37,23
Downing Creek,4,6,11,7
Downtown,221,268,221,286
Duke East Campus,5,6,1,1
Duke Forest,28,20,35,35
Duke Homestead,25,24,14,5
Duke Manor Apartments,86,67,49,51
Duke Park,149,138,126,94
Duke West Campus,33,34,59,37
Eagle's Pointe,2,2,3,10
Eastway Village,10,8,10,10
Eastwood Park,3,4,1,4
Edgemont,128,105,140,130
Elm Grove,13,11,4,7
Emorywood Estates,12,8,12,18
Eno Commons,0,0,1,0
Eno Trace,9,7,11,9
Everwood,3,2,3,3
Fairfield,7,16,7,11
Falconbridge,36,17,14,25
Fieldstone by the Eno,11,24,14,15
Five Oaks,7,21,7,3
Five Oaks 4100,18,5,4,6
Folkstone,1,0,2,1
Forest Acres,0,4,1,1
Forest Hills,45,61,57,47
Forest Oaks,9,7,1,2
Fortune's Ridge,6,10,6,7
Fox Run,2,4,2,4
Franklin Village,23,32,31,15
Garret Farms - Porchlight / Hartley,0,0,0,1
Gatewood Forest,6,8,4,7
Glennstone,8,19,9,12
Golden Belt,18,31,36,29
Grande Park,3,2,2,1
Green Mill,3,2,4,1
Grove Park,62,71,97,71
Heather Glen,0,1,5,3
Highgate,14,9,12,7
Hillandale Commons,1,2,0,3
Holston Meadows,6,3,8,6
Homeplace I,4,3,3,2
Homeplace II,10,22,10,11
Hope Valley,46,70,84,77
Hope Valley Downs,1,4,3,2
Hope Valley Farms,16,20,20,33
Hope Valley Farms North,14,19,18,27
Hope Valley Forest,8,17,25,23
Hope Valley Green,4,2,6,5
Hope Valley North,7,10,19,17
Horton Hills,7,11,10,17
Huckleberry Heights,10,8,6,12
Huntington Ridge,3,9,6,7
Inverness Drive,1,6,0,2
Knollwood,2,4,1,6
Lake Park,7,1,7,13
Lakehurst,5,8,6,10
Lakewood Park,104,104,112,114
Landon Farms,36,46,62,44
Latta Woods,2,1,1,0
Lattamoor,2,2,6,4
Lochaven Hills,8,11,16,6
Lochn'ora,3,3,3,4
Lochside,11,3,1,18
Long Meadow,13,15,23,18
Lyon Park,38,41,46,38
Marbry Landing,12,4,4,12
Mary Dell,0,9,5,11
Meadows of Pagehurst,13,12,9,9
Merrick Moore,16,10,5,11
Milan Woods,9,19,21,22
Morehead Hill,53,79,49,36
Myers Park/Beechgrove,9,11,4,15
Nancy Rhodes Creek,2,9,13,0
Newhall Village,0,1,1,1
North Carolina Central University,8,7,9,5
North Durham Community,8,2,13,11
Northeast Hills,37,31,48,27
Northgate Park,100,95,87,74
Oak Grove Community,3,9,16,9
Oakhaven,0,1,0,1
Oakhurst,1,1,2,0
Old East Durham,301,250,293,236
Old Farm,87,110,124,134
Old Five Points,21,4,9,10
Old North Durham,189,131,154,126
Old West Durham,249,213,189,188
Omah Street,149,168,155,130
Orchard Ridge,6,6,8,5
Orchid Court,1,1,0,0
Pagehurst,0,4,3,0
Parc at University,6,10,4,7
Park Ridge,9,11,9,23
Parkside,8,9,12,10
Parkwood,64,64,93,71
Penrith,54,59,49,73
Pine Valley,6,16,23,17
Placid Valley,0,0,1,0
Pleasant Drive,46,23,36,21
Pleasant Green Woods,,,,
Preston Avenue,1,1,7,0
Preston Woods,14,11,19,16
Providence Ridge,0,5,1,1
Ravenstone,26,24,29,22
Ridgefield,22,20,16,29
Rigsbee Hill,5,2,1,1
River's Edge,1,0,3,2
River Forest,9,9,9,1
Rockwood,57,60,63,74
Rougemont,8,11,7,2
Rustica Oaks,0,4,13,7
Scarsdale Village,127,139,85,114
Sheridan Drive,4,7,3,3
Solterra,0,1,4,2
South Terrace at Auburn,17,21,27,27
Southampton,1,2,2,3
Southpoint Manor,5,7,1,4
Southside / St. Teresa,102,104,103,116
Spring Valley,15,14,18,12
Stadium Heights,121,131,134,123
Stephen's Woods,3,2,6,3
Sterling Ridge,2,0,1,2
Stillwood,1,4,10,7
Stirrup Creek,1,3,10,3
Stonehill Estates,15,30,41,27
Stratford Lakes,1,0,1,3
Summer Meadow,27,21,24,21
Sunningdale,10,4,6,7
Surrey Green,0,3,4,3
Swallows Ridge,0,0,0,0
