id,y_2012,y_2013,y_2014,y_2015
Abercromby,0,2,1,1
Albright,52,46,43,51
Amberlynn Valley,3,7,4,8
American Tobacco Campus,5,6,2,3
American Village,1,3,1,2
Anderson St. / Wrightwood Park,16,14,22,15
Archer Woods,1,0,1,0
Arrowhead,0,0,0,0
Artisan at Brightleaf,0,1,1,1
Ashley Forest,0,0,2,0
Ashton Hall,1,3,0,5
Auburn Hills,0,1,1,1
Auburn Park,0,0,0,1
Auburn Square,1,0,1,0
Audubon Park,0,0,1,0
Bahama,0,1,0,0
Barclay to Sandlewood,2,3,3,4
Bennet Place,1,1,0,1
Bent Creek / Woodberry Forest,0,0,0,1
Bluffs of the Eno,1,0,0,0
Bradbury Glen,0,0,0,1
Bradbury Trace,0,1,0,0
Bragtown,36,21,35,41
Brandon Ridge,0,1,0,3
Brightleaf at the Park,1,1,1,2
Brookstown,1,1,0,2
Burch Avenue,11,5,3,7
Cardinal Lake,2,6,2,0
Carillon Forest,0,1,0,0
Central Park,12,10,6,10
Chancellor's Ridge,0,0,0,1
Chapel Hill Road,2,9,7,6
Chelsea Meadows,0,1,2,0
Cleveland-Holloway,52,51,46,39
Cole Mill Road,1,1,4,1
College View,93,66,87,91
Colonial Village,25,18,17,11
Colony Park,4,1,0,0
Copper Creek,0,1,0,1
Country Club Heights,0,1,2,0
Crest Street,14,17,12,20
Croasdaile,0,0,0,1
Croasdaile Farm,1,0,0,0
Croasdaile Village,0,0,0,1
Crooked Creek,10,5,8,9
Crown Point,1,5,1,6
Darby Glen,1,0,0,4
Deer Forest,0,0,0,0
Dixon Road Area,1,3,0,0
Downing Creek,1,0,1,0
Downtown,64,38,59,56
Duke East Campus,3,1,2,0
Duke Forest,3,2,3,0
Duke Homestead,8,5,4,5
Duke Manor Apartments,41,33,29,29
Duke Park,37,31,33,26
Duke West Campus,12,9,9,14
Eagle's Pointe,0,0,0,1
Eastway Village,0,0,3,1
Edgemont,34,53,37,57
Elm Grove,0,0,1,0
Emorywood Estates,2,1,3,1
Eno Trace,3,0,2,3
Everwood,0,0,0,0
Fairfield,1,0,1,0
Falconbridge,1,0,0,1
Fieldstone by the Eno,1,0,1,0
Five Oaks,1,0,0,1
Five Oaks 4100,1,0,1,0
Folkstone,0,1,0,0
Forest Hills,15,5,5,4
Forest Oaks,1,0,0,2
Fox Run,0,0,1,0
Franklin Village,7,7,18,5
Gatewood Forest,1,1,1,1
Glennstone,5,1,2,2
Golden Belt,9,10,9,5
Grande Park,1,0,0,0
Grove Park,10,12,12,12
Heather Glen,0,0,0,0
Highgate,1,2,0,1
Homeplace I,0,2,1,0
Hope Valley,5,3,2,2
Hope Valley Downs,0,0,0,1
Hope Valley Farms,1,2,3,0
Hope Valley Farms North,0,1,2,0
Hope Valley Forest,1,4,1,1
Hope Valley North,1,0,0,5
Horton Hills,1,3,2,4
Huckleberry Heights,0,2,0,0
Huntington Ridge,0,1,1,1
Inverness Drive,0,0,1,0
Knollwood,0,0,1,0
Lake Park,2,0,0,0
Lakehurst,0,1,1,0
Lakewood Park,52,51,57,61
Landon Farms,5,9,7,10
Lattamoor,0,0,0,1
Lochaven Hills,2,0,0,0
Lochn'ora,1,1,1,0
Lochside,0,1,1,3
Long Meadow,3,2,2,5
Lyon Park,13,21,17,30
Marbry Landing,1,0,1,0
Mary Dell,0,0,0,1
Meadows of Pagehurst,1,0,8,2
Merrick Moore,1,0,4,5
Milan Woods,2,2,4,4
Morehead Hill,9,7,9,8
Myers Park/Beechgrove,0,0,0,2
Nancy Rhodes Creek,0,1,0,0
North Carolina Central University,2,7,5,7
North Durham Community,3,0,3,1
Northeast Hills,10,6,2,7
Northgate Park,22,17,13,19
Oak Grove Community,0,0,0,0
Old East Durham,100,85,90,104
Old Farm,23,30,30,40
Old Five Points,2,6,5,0
Old North Durham,46,51,34,33
Old West Durham,35,24,21,24
Omah Street,34,27,26,23
Orchard Ridge,0,0,0,1
Parc at University,0,1,0,1
Park Ridge,2,1,5,3
Parkside,2,2,0,1
Parkwood,7,2,10,12
Penrith,8,13,9,10
Pine Valley,1,1,0,2
Pleasant Drive,9,8,6,9
Preston Avenue,2,1,1,1
Preston Woods,2,1,2,0
Ravenstone,5,2,4,3
Ridgefield,4,6,6,7
Rigsbee Hill,0,0,0,1
River Forest,3,2,2,4
Rockwood,7,10,11,18
Rougemont,2,0,1,1
Scarsdale Village,34,30,28,32
Sheridan Drive,0,1,1,0
South Terrace at Auburn,1,3,4,4
Southpoint Manor,0,1,0,1
Southside / St. Teresa,40,34,54,37
Spring Valley,1,1,1,0
Stadium Heights,26,19,26,19
Stephen's Woods,0,0,1,0
Stillwood,1,2,1,0
Stonehill Estates,6,2,9,8
Summer Meadow,3,3,2,8
Sunningdale,0,0,1,0
