id,sqmi,y_2012,y_2013,y_2014,y_2015,test
3.7063E+11,0.716691598,24,32,31,28,33.48720712
3.7063E+11,0.599079157,20,33,18,13,33.3845699
3.7063E+11,0.616942372,28,44,31,29,45.3851142
3.7063E+11,0.933345939,6,19,13,21,6.428484608
3.7063E+11,0.713746568,25,16,16,8,35.0264381
3.7063E+11,0.195212722,17,13,8,3,87.08448811
3.7063E+11,0.257591569,10,3,5,4,38.82114642
3.7063E+11,0.33504596,9,22,9,18,26.86198631
3.7063E+11,0.101660721,11,11,6,7,108.2030491
3.7063E+11,0.10115443,3,1,1,5,29.65762364
3.7063E+11,0.235178278,0,2,1,3,0
3.7063E+11,0.17337992,2,6,2,2,11.53536117
3.7063E+11,0.25636713,8,4,3,4,31.20524845
3.7063E+11,0.496192658,28,15,13,26,56.42969424
3.7063E+11,0.281599657,2,2,3,1,7.102281378
3.7063E+11,0.537249658,7,11,6,3,13.02932427
3.7063E+11,0.552971017,8,9,11,11,14.46730435
3.7063E+11,0.343335556,0,3,1,2,0
3.7063E+11,0.180034408,6,2,6,1,33.32696277
3.7063E+11,0.158201418,23,8,10,9,145.3842845
3.7063E+11,0.183238567,27,14,34,15,147.348893
3.7063E+11,0.690685944,16,10,6,3,23.16537658
3.7063E+11,0.66616537,15,14,20,11,22.51693149
3.7063E+11,1.419213014,2,0,6,3,1.409231722
3.7063E+11,0.358960524,22,26,20,18,61.28807629
3.7063E+11,0.525348577,13,15,4,4,24.74547487
3.7063E+11,0.430507704,7,0,3,9,16.25987164
3.7063E+11,0.200266833,28,47,34,14,139.8134658
3.7063E+11,0.19569688,24,35,22,16,122.6386441
3.7063E+11,0.19528094,84,40,44,33,430.1495072
3.7063E+11,0.234460769,29,29,22,16,123.6880698
3.7063E+11,0.453270045,22,28,22,20,48.53618777
3.7063E+11,0.634938462,91,92,52,47,143.3209759
3.7063E+11,0.347676544,22,24,18,7,63.27720522
3.7063E+11,0.128587234,20,28,21,16,155.5364352
3.7063E+11,0.181779783,35,32,28,16,192.5406636
3.7063E+11,0.273192177,75,95,60,46,274.5320197
3.7063E+11,0.265813715,19,21,14,18,71.47862925
3.7063E+11,0.28212583,34,47,32,36,120.513602
3.7063E+11,0.433300954,20,29,22,24,46.15729514
3.7063E+11,0.145393966,5,9,9,7,34.3893227
