id,y_2011,y_2013,y_2014
370630001011,166,215,201
370630001012,381,217,250
370630001021,346,370,292
370630001022,312,245,262
370630002001,99,128,176
370630002002,138,141,111
370630002003,230,213,217
370630003011,100,114,104
370630003012,168,99,104
370630003013,87,62,73
370630003021,211,284,276
370630003022,205,178,155
370630003023,129,175,157
370630004011,169,194,232
370630004012,232,294,308
370630004013,203,179,198
370630004021,166,184,233
370630005001,10,0,0
370630005002,38,35,53
370630005003,126,70,55
370630005004,90,71,81
370630006001,458,305,338
370630006002,236,198,177
370630006003,105,103,156
370630007001,43,56,71
370630007002,187,220,215
370630007003,308,224,216
370630009001,15,0,0
370630009002,67,56,62
370630010011,154,77,63
370630010012,127,93,60
370630010013,24,27,89
370630010021,149,185,181
370630010022,25,99,117
370630010023,38,76,49
370630010024,100,122,74
370630011001,33,101,92
370630011002,44,79,77
370630013011,71,59,73
370630013031,76,79,80
370630013032,81,101,68
370630013041,119,126,149
370630014001,34,29,30
370630014002,95,106,16
370630015011,0,0,0
370630015021,57,48,61
370630015022,0,0,0
370630015023,0,0,0
370630015024,0,0,0
370630015031,0,0,0
370630016011,288,269,290
370630016012,1028,902,818
370630016013,263,251,309
370630016031,117,121,143
370630016032,712,828,844
370630016033,303,315,268
370630016034,572,508,424
370630016041,557,549,516
370630016042,824,775,824
370630016043,449,496,532
370630017051,381,373,323
370630017052,169,191,256
370630017053,228,254,257
370630017061,240,256,243
370630017062,536,443,382
370630017071,257,288,345
370630017072,391,544,493
370630017073,234,181,140
370630017074,550,532,544
370630017075,182,205,208
370630017081,767,887,954
370630017091,51,92,72
370630017092,102,75,108
370630017093,262,224,310
370630017101,631,721,640
370630017102,207,97,125
370630017111,74,76,85
370630017112,14,15,17
370630017113,109,105,89
370630018011,493,503,545
370630018012,62,47,62
370630018013,626,684,705
370630018014,193,186,163
370630018015,102,50,62
370630018021,333,431,492
370630018022,361,401,346
370630018023,439,326,329
370630018024,129,106,75
370630018061,466,526,473
370630018062,1119,1021,1032
370630018071,493,586,533
370630018072,915,848,804
370630018073,867,776,818
370630018081,650,553,597
370630018082,688,1017,1070
370630018091,260,265,246
370630018092,724,749,638
370630019001,67,88,134
370630019002,515,683,720
370630020071,598,596,482
370630020072,474,443,505
370630020073,279,332,299
370630020081,242,181,175
370630020082,596,680,705
370630020091,428,389,302
370630020092,116,174,234
370630020093,282,309,341
370630020131,376,390,419
370630020132,177,157,174
370630020133,601,641,605
370630020151,185,149,211
370630020152,170,139,150
370630020153,15,18,0
370630020161,0,0,0
370630020162,161,111,97
370630020171,457,473,423
370630020172,454,412,400
370630020173,501,492,506
370630020181,336,401,398
370630020182,383,424,492
370630020183,665,727,642
370630020191,84,140,136
370630020192,224,236,253
370630020193,546,588,496
370630020201,610,541,674
370630020202,1115,1214,1311
370630020211,545,506,368
370630020212,252,231,260
370630020221,169,153,162
370630020222,663,599,649
370630020231,169,263,236
370630020232,326,255,267
370630020241,1192,1117,1072
370630020242,288,234,231
370630020243,482,475,534
370630020251,707,944,944
370630020252,765,686,668
370630020253,328,356,431
370630020261,367,428,461
370630020262,542,553,467
370630020271,179,293,371
370630020272,790,778,627
370630020273,0,0,0
370630020281,594,693,757
370630020282,0,0,0
370630020283,155,261,362
370630021001,473,470,494
370630021002,546,604,628
370630021003,452,456,464
370630022001,132,148,168
370630023001,11,23,7
370630023002,0,4,1
370639801001,25,32,25
