id,y_2011,y_2013,y_2014
370630001011,19114,19350,7812
370630001012,8851,15350,7687
370630001021,10820,11792,10021
370630001022,4642,6475,9508
370630002001,18818,18202,14021
370630002002,17439,4646,12367
370630002003,31338,29217,27210
370630003011,5441,5738,8592
370630003012,26234,19128,21578
370630003013,19464,9724,12460
370630003021,23381,32321,14671
370630003022,27760,16030,12610
370630003023,3244,7385,4377
370630004011,11614,36992,27049
370630004012,29260,30730,42524
370630004013,37044,52588,31062
370630004021,7835,15531,13280
370630005001,1946,13762,11711
370630005002,13213,5889,6533
370630005003,4955,3939,5734
370630005004,6696,4778,13005
370630006001,12079,14155,14658
370630006002,15013,11480,8095
370630006003,35219,36902,30759
370630007001,9241,4203,4517
370630007002,47343,44079,7274
370630007003,32704,34414,37597
370630009001,6339,10064,6820
370630009002,7048,6575,5177
370630010011,13443,23572,35095
370630010012,5689,2114,7244
370630010013,7922,12207,22159
370630010021,11441,1963,3962
370630010022,6272,7863,7941
370630010023,17678,19058,17567
370630010024,7821,13688,7374
370630011001,2943,2032,1780
370630011002,2663,2471,2895
370630013011,6569,6259,4097
370630013031,7662,10397,5198
370630013032,23308,11533,17650
370630013041,5281,4913,4369
370630014001,7572,6129,6772
370630014002,7989,7367,2389
370630015011,8752,4092,3542
370630015021,7689,5436,4421
370630015022,30309,11589,12016
370630015023,5167,3332,3110
370630015024,4825,17477,14428
370630015031,,,
370630016011,31664,36266,55091
370630016012,14139,7866,9688
370630016013,11931,18286,12101
370630016031,18989,19959,46764
370630016032,33060,18392,12366
370630016033,22625,18123,14441
370630016034,14820,11632,8858
370630016041,17458,24023,15146
370630016042,5250,6374,12667
370630016043,12691,15531,14598
370630017051,14939,21356,29092
370630017052,8531,15975,7566
370630017053,4137,10297,12977
370630017061,15043,8963,3881
370630017062,8008,4934,5513
370630017071,17555,25328,42369
370630017072,14747,7917,8768
370630017073,15838,38281,43072
370630017074,49462,25393,24084
370630017075,26619,7271,11293
370630017081,9179,6920,11868
370630017091,15330,25987,17819
370630017092,12832,12543,7085
370630017093,3642,3745,3772
370630017101,14561,9255,13907
370630017102,9548,13514,9871
370630017111,6413,16986,11744
370630017112,7926,3541,2095
370630017113,14752,8014,7334
370630018011,30397,27258,8492
370630018012,2068,25683,42427
370630018013,15159,13247,16563
370630018014,8685,18935,29080
370630018015,20482,19090,25194
370630018021,16130,26676,17324
370630018022,19033,5078,7760
370630018023,4889,19073,12669
370630018024,23795,31300,12917
370630018061,23291,34089,18175
370630018062,7475,6462,7509
370630018071,16959,11298,14423
370630018072,11386,8409,22417
370630018073,18870,21871,26586
370630018081,27170,18498,21695
370630018082,18990,17057,15379
370630018091,12151,10137,15124
370630018092,13395,12560,16654
370630019001,13365,6140,8963
370630019002,12572,12673,18002
370630020071,6674,25711,24130
370630020072,6365,8555,6735
370630020073,19354,18545,13556
370630020081,61194,45346,53775
370630020082,42246,25748,29285
370630020091,20988,19500,11136
370630020092,26405,18848,11387
370630020093,8431,8400,5637
370630020131,11243,18935,10846
370630020132,13865,22548,9065
370630020133,15247,19434,11906
370630020151,8364,11980,15667
370630020152,5734,10881,10463
370630020153,25753,46075,47485
370630020161,5624,5064,3740
370630020162,10419,6515,8531
370630020171,37153,40112,32955
370630020172,28862,27112,32582
370630020173,13562,13554,11353
370630020181,12444,20594,17746
370630020182,7665,4463,5066
370630020183,28274,15289,17075
370630020191,9129,10141,7153
370630020192,28789,33916,22520
370630020193,23149,28582,19516
370630020201,21451,8473,11347
370630020202,23627,21293,11427
370630020211,6837,14101,11497
370630020212,26635,45563,23913
370630020221,9471,7641,9555
370630020222,15180,34849,25284
370630020231,5787,13469,14786
370630020232,20864,29749,29337
370630020241,12040,10047,12911
370630020242,9592,19017,34845
370630020243,25157,18053,13163
370630020251,8630,11198,13643
370630020252,10278,28102,4531
370630020253,8958,15984,41346
370630020261,5121,4745,10116
370630020262,12614,9548,20470
370630020271,1674,1650,1959
370630020272,9214,12305,11718
370630020273,10245,11838,14891
370630020281,30325,12226,30204
370630020282,19953,9622,8669
370630020283,12890,5962,6198
370630021001,21470,23706,30367
370630021002,12749,21776,25035
370630021003,29943,18313,30647
370630022001,6707,13045,9364
370630023001,3616,4303,6484
370630023002,27698,17608,9658
370639801001,,,
