id,y_2012,y_2013,y_2014,y_2015
370630001011,290822,817787,10064,595464.12
370630001012,30000,,,
370630001021,,,,28280
370630001022,490807,6489743,786066,261442
370630002001,,,9000,874800
370630002002,355050,142868,194823,300
370630002003,,,,19480
370630003011,553339.44,196090.14,561764,102651.4
370630003012,,,,
370630003013,,,,
370630003021,,,,
370630003022,,,,
370630003023,,,61141,125000
370630004011,469000,,247774,
370630004012,8900,,,
370630004013,444830,,1380855,261382
370630004021,1858193,7013498,2543178,1766116
370630005001,270660,33000,131400,1227823
370630005002,482070,734388,16777,529083
370630005003,42955,5646806,597359,1796697
370630005004,161595,,,69368
370630006001,150500,,16000,25486
370630006002,2451,105245,1000,429363
370630006003,,,,
370630007001,2488316,1953353.78,1331710,1387422.56
370630007002,,,,57753
370630007003,,,,11500
370630009001,859199,,208691,41011
370630009002,,,,498000
370630010011,,,,
370630010012,,,,
370630010013,1808,,122452,298658
370630010021,,,,4700
370630010022,287525,,89808,
370630010023,,,,
370630010024,,,,
370630011001,875661,99424,4427,1063765
370630011002,2101069.38,184725,3000,803169
370630013011,,,,
370630013031,,,,
370630013032,,,,
370630013041,755659,,26200,1241906
370630014001,,,,
370630014002,139670,,,417102
370630015011,99749121,63909186.65,40235395.77,84242906.31
370630015021,,303722,252722.23,67620
370630015022,241599,,250000,320408
370630015023,817360,248966,,658201.93
370630015024,18184,,398583,44453
370630015031,186595,351610,5024122,86500
370630016011,405365,,,158370
370630016012,431862,,,
370630016013,,,,
370630016031,,,,
370630016032,33827,2000,,936217.58
370630016033,,,,
370630016034,,,,
370630016041,,,,
370630016042,,,,
370630016043,,,,
370630017051,1,,,110000
370630017052,10114760,1263493,225858,724083
370630017053,279500,1971385,1112830,607901
370630017061,,,668000,
370630017062,70682,,,
370630017071,,,,
370630017072,204184,88111,187000,587695
370630017073,,,,
370630017074,,,,
370630017075,,,705802,
370630017081,5500,,796810,
370630017091,,,,
370630017092,,,,
370630017093,679942,943558,1496284,1191541.2
370630017101,,52724.49,214337,1734787
370630017102,,,,
370630017111,,,,714538.45
370630017112,,,,
370630017113,,,,
370630018011,,,,
370630018012,,,,18599
370630018013,,181016,,494785
370630018014,4700,79000,657980,313150
370630018015,30884,,1958235,1755735
370630018021,178283,,,20500
370630018022,,,,
370630018023,158659,26800,,498550
370630018024,,15000,,
370630018061,,,,87070
370630018062,,,10000,
370630018071,,166000,,
370630018072,,,,
370630018073,,,,
370630018081,2594049,2359000,,2359000
370630018082,5450,21257,4300,660629
370630018091,8332246,19438438,14315458,24394156
370630018092,,496680,2468603,
370630019001,975500,37166,2000,12000
370630019002,,,140371,
370630020071,,,,
370630020072,23912,2233239,36279,624599.22
370630020073,,,,
370630020081,,,,
370630020082,,,81960,
370630020091,,380366,1045400,130125
370630020092,,,716063,
370630020093,9000,,,1575547
370630020131,,116000,,
370630020132,4228,,,
370630020133,,,,
370630020151,,105089.6,370981.35,881000
370630020152,697925,911070,225914.3,2353587
370630020153,5091620.06,2952365,504195,163077
370630020161,55901,1655002,21871039,102804
370630020162,1645111,6796749,4548488.5,10646680.58
370630020171,571810.42,14578,,
370630020172,,,,
370630020173,87239,757543,1002803,1434075.1
370630020181,14500,8600,,
370630020182,801641,4017559,3235345,1023901.63
370630020183,3037524,3128427,258810,591160.21
370630020191,599016,3746745,3890099.16,1576453.47
370630020192,,418554,,49835
370630020193,4001,,,
370630020201,1131025,,40000,145000
370630020202,,,7500,25000
370630020211,11866149.75,5206928.73,23702928,9905064.44
370630020212,297063,15994,,
370630020221,,120543,723851,3587734
370630020222,,,,
370630020231,203518,,,
370630020232,942020,455771,180692.03,445432
370630020241,,,,
370630020242,,,,
370630020243,,,,
370630020251,,,,
370630020252,4000,,,
370630020253,,,,
370630020261,,979000,,
370630020262,,547287,145867,1150
370630020271,1223882,32721654,2068315.06,3269213.66
370630020272,6068828,5356106.36,3892959,9504275.44
370630020273,,,56287,112500
370630020281,2441419,574880,4502487.98,44495760.32
370630020282,,119051,,523423
370630020283,6245984,10380518.3,16979941.07,30745989.46
370630021001,1982769,1555849,63562894.15,524353
370630021002,,,,
370630021003,,1361558,,
370630022001,4458516,52177837.04,30148962.98,22940744.7
370630023001,11581446,19846870,3738610,3658779
370630023002,14900,15824,179808,58875
370639801001,84013384,157254930.7,69303454.08,29853890.41
