id,y_2011,y_2013,y_2014
370630001011,406,323,340
370630001012,605,441,378
370630001021,838,949,929
370630001022,606,545,551
370630002001,272,324,416
370630002002,308,270,188
370630002003,431,373,337
370630003011,427,438,437
370630003012,145,174,161
370630003013,219,209,231
370630003021,271,244,230
370630003022,592,490,460
370630003023,486,506,445
370630004011,276,249,269
370630004012,296,413,407
370630004013,375,496,433
370630004021,692,683,566
370630005001,72,29,40
370630005002,97,135,168
370630005003,246,155,143
370630005004,119,125,215
370630006001,836,791,821
370630006002,649,843,804
370630006003,152,136,115
370630007001,205,203,184
370630007002,252,302,371
370630007003,601,533,560
370630009001,259,262,223
370630009002,261,180,202
370630010011,236,283,314
370630010012,242,155,140
370630010013,187,382,438
370630010021,391,453,387
370630010022,102,181,304
370630010023,191,258,277
370630010024,170,206,325
370630011001,124,298,242
370630011002,209,202,167
370630013011,197,152,194
370630013031,285,359,373
370630013032,97,107,98
370630013041,499,617,655
370630014001,143,116,134
370630014002,194,209,277
370630015011,73,75,29
370630015021,634,427,528
370630015022,150,176,139
370630015023,294,398,438
370630015024,142,84,33
370630015031,66,32,18
370630016011,398,452,430
370630016012,1365,1369,1253
370630016013,503,482,536
370630016031,215,116,106
370630016032,1014,1297,1343
370630016033,477,502,516
370630016034,827,778,637
370630016041,680,705,594
370630016042,1450,1397,1271
370630016043,702,741,760
370630017051,608,553,560
370630017052,626,747,810
370630017053,516,484,542
370630017061,941,1021,979
370630017062,1116,999,937
370630017071,454,457,483
370630017072,884,992,1005
370630017073,340,284,233
370630017074,796,753,735
370630017075,470,482,380
370630017081,1535,1571,1766
370630017091,109,124,109
370630017092,311,249,278
370630017093,982,1038,1141
370630017101,872,1000,1052
370630017102,494,446,565
370630017111,392,474,550
370630017112,650,560,639
370630017113,652,643,590
370630018011,653,604,833
370630018012,197,143,154
370630018013,1020,1443,1455
370630018014,250,379,391
370630018015,155,136,164
370630018021,541,622,797
370630018022,593,559,557
370630018023,612,807,859
370630018024,158,117,139
370630018061,602,759,713
370630018062,1542,1680,1787
370630018071,1106,1262,1195
370630018072,1528,1632,1457
370630018073,1244,1107,1087
370630018081,669,768,970
370630018082,1112,1816,2068
370630018091,1412,1260,1274
370630018092,1569,1651,1410
370630019001,166,157,174
370630019002,950,1082,1046
370630020071,898,786,816
370630020072,1005,1020,1159
370630020073,396,377,415
370630020081,316,291,322
370630020082,997,1075,1027
370630020091,496,502,426
370630020092,415,332,348
370630020093,472,548,543
370630020131,699,656,624
370630020132,405,324,318
370630020133,837,867,762
370630020151,857,859,1057
370630020152,656,667,652
370630020153,171,162,114
370630020161,1090,1030,947
370630020162,720,1009,1135
370630020171,942,964,941
370630020172,494,551,617
370630020173,870,1047,1238
370630020181,800,727,843
370630020182,1139,1072,1269
370630020183,1160,1376,1383
370630020191,681,1006,1049
370630020192,518,753,716
370630020193,640,768,603
370630020201,961,956,972
370630020202,1609,1867,1977
370630020211,1402,1544,1552
370630020212,518,496,605
370630020221,1441,1355,1287
370630020222,1017,884,928
370630020231,652,771,767
370630020232,847,781,750
370630020241,1917,1829,1916
370630020242,518,439,445
370630020243,750,817,820
370630020251,982,1214,1378
370630020252,1269,988,906
370630020253,473,689,871
370630020261,580,516,675
370630020262,1439,1807,1704
370630020271,632,749,861
370630020272,2236,1935,1928
370630020273,886,788,973
370630020281,853,1100,1290
370630020282,576,663,699
370630020283,1562,1651,1748
370630021001,766,856,847
370630021002,942,943,961
370630021003,853,817,703
370630022001,511,583,625
370630023001,133,143,163
370630023002,0,54,56
370639801001,24,41,24
