id,y_2012,y_2013,y_2014,y_2015
370630001011,24,32,31,28
370630001012,20,33,18,13
370630001021,28,44,31,29
370630001022,6,19,13,21
370630002001,25,16,16,8
370630002002,17,13,8,3
370630002003,10,3,5,4
370630003011,9,22,9,18
370630003012,11,11,6,7
370630003013,3,1,1,5
370630003021,0,2,1,3
370630003022,2,6,2,2
370630003023,8,4,3,4
370630004011,28,15,13,26
370630004012,2,2,3,1
370630004013,7,11,6,3
370630004021,8,9,11,11
370630005001,0,3,1,2
370630005002,6,2,6,1
370630005003,23,8,10,9
370630005004,27,14,34,15
370630006001,16,10,6,3
370630006002,15,14,20,11
370630006003,2,0,6,3
370630007001,22,26,20,18
370630007002,13,15,4,4
370630007003,7,0,3,9
370630009001,28,47,34,14
370630009002,24,35,22,16
370630010011,84,40,44,33
370630010012,29,29,22,16
370630010013,22,28,22,20
370630010021,91,92,52,47
370630010022,22,24,18,7
370630010023,20,28,21,16
370630010024,35,32,28,16
370630011001,75,95,60,46
370630011002,19,21,14,18
370630013011,34,47,32,36
370630013031,20,29,22,24
370630013032,5,9,9,7
370630013041,74,53,44,54
370630014001,58,28,24,25
370630014002,89,72,49,49
370630015011,6,7,2,5
370630015021,28,23,26,19
370630015022,4,0,1,1
370630015023,18,18,11,9
370630015024,19,16,14,6
370630015031,0,1,0,0
370630016011,NA,NA,NA,NA
370630016012,2,2,0,4
370630016013,0,0,1,0
370630016031,1,1,0,0
370630016032,1,3,1,3
370630016033,1,0,0,0
370630016034,NA,NA,NA,NA
370630016041,0,2,1,1
370630016042,NA,NA,NA,NA
370630016043,0,1,0,0
370630017051,12,8,7,13
370630017052,11,18,13,5
370630017053,18,22,13,15
370630017061,5,2,7,3
370630017062,3,2,3,3
370630017071,NA,NA,NA,NA
370630017072,14,11,14,10
370630017073,1,1,1,0
370630017074,3,0,1,0
370630017075,0,1,1,3
370630017081,5,10,19,11
370630017091,11,12,16,10
370630017092,15,16,12,12
370630017093,43,50,24,31
370630017101,19,15,13,21
370630017102,7,6,2,15
370630017111,1,12,5,4
370630017112,9,5,9,12
370630017113,2,4,9,4
370630018011,2,3,3,3
370630018012,1,2,1,3
370630018013,10,15,9,4
370630018014,4,6,3,4
370630018015,NA,NA,NA,NA
370630018021,22,35,23,23
370630018022,8,13,6,10
370630018023,17,20,16,12
370630018024,5,5,2,2
370630018061,NA,NA,NA,NA
370630018062,4,5,7,3
370630018071,3,10,7,4
370630018072,1,3,2,1
370630018073,5,9,1,2
370630018081,0,4,0,0
370630018082,0,4,1,1
370630018091,2,3,2,2
370630018092,1,1,1,2
370630019001,NA,NA,NA,NA
370630019002,NA,NA,NA,NA
370630020071,4,5,1,9
370630020072,5,9,9,5
370630020073,1,0,1,0
370630020081,2,2,0,2
370630020082,3,3,3,3
370630020091,19,14,26,13
370630020092,20,20,8,5
370630020093,23,14,10,6
370630020131,1,1,1,0
370630020132,1,1,1,0
370630020133,1,0,0,1
370630020151,17,7,4,8
370630020152,19,9,2,5
370630020153,13,7,9,4
370630020161,16,10,11,7
370630020162,7,14,11,10
370630020171,2,0,2,2
370630020172,1,2,3,2
370630020173,7,3,7,2
370630020181,2,0,0,1
370630020182,4,6,9,5
370630020183,2,5,2,2
370630020191,0,4,1,0
370630020192,0,1,2,0
370630020193,0,1,0,1
370630020201,NA,NA,NA,NA
370630020202,1,1,0,1
370630020211,9,10,4,6
370630020212,4,5,2,1
370630020221,6,0,4,2
370630020222,4,2,4,3
370630020231,4,3,3,0
370630020232,1,5,0,2
370630020241,2,1,1,2
370630020242,0,2,0,0
370630020243,NA,NA,NA,NA
370630020251,2,5,3,3
370630020252,4,4,1,0
370630020253,3,5,3,1
370630020261,14,12,4,6
370630020262,25,24,21,10
370630020271,1,7,3,3
370630020272,30,31,30,16
370630020273,2,1,6,4
370630020281,4,4,4,5
370630020282,0,0,0,1
370630020283,5,9,9,5
370630021001,NA,NA,NA,NA
370630021002,NA,NA,NA,NA
370630021003,NA,NA,NA,NA
370630022001,29,32,27,18
370630023001,42,45,18,19
370630023002,19,38,21,29
370639801001,2,4,3,2
