id,y_2012,y_2013,y_2014,y_2015
370630001011,158,149,160,187
370630001012,162,164,157,135
370630001021,150,164,155,117
370630001022,201,194,176,144
370630002001,143,133,105,103
370630002002,108,70,88,58
370630002003,54,42,52,41
370630003011,322,338,310,255
370630003012,33,33,31,41
370630003013,27,39,24,28
370630003021,37,31,33,31
370630003022,60,33,28,33
370630003023,115,87,63,60
370630004011,89,82,85,107
370630004012,34,39,40,22
370630004013,77,65,65,59
370630004021,291,282,244,248
370630005001,21,17,24,21
370630005002,36,47,40,29
370630005003,63,82,75,63
370630005004,60,52,70,60
370630006001,173,136,142,131
370630006002,116,167,158,148
370630006003,27,22,27,15
370630007001,110,173,118,148
370630007002,89,94,87,76
370630007003,47,59,72,65
370630009001,83,100,96,87
370630009002,95,95,115,80
370630010011,146,117,147,104
370630010012,120,125,140,113
370630010013,163,134,133,127
370630010021,244,301,254,297
370630010022,124,110,160,136
370630010023,107,82,86,68
370630010024,109,96,94,120
370630011001,164,158,180,159
370630011002,137,110,154,138
370630013011,155,178,191,191
370630013031,91,91,82,54
370630013032,29,45,45,51
370630013041,172,216,246,200
370630014001,130,84,73,67
370630014002,225,213,219,211
370630015011,1,8,16,5
370630015021,150,116,84,101
370630015022,11,23,24,17
370630015023,118,78,71,92
370630015024,108,99,56,49
370630015031,3,2,0,0
370630016011,28,13,30,39
370630016012,65,47,63,55
370630016013,35,44,64,43
370630016031,9,16,25,18
370630016032,69,120,99,106
370630016033,53,83,61,66
370630016034,21,45,30,20
370630016041,26,32,40,36
370630016042,34,32,45,56
370630016043,37,60,35,44
370630017051,57,74,67,83
370630017052,93,134,83,114
370630017053,145,215,209,225
370630017061,73,70,100,82
370630017062,62,84,67,64
370630017071,27,31,24,25
370630017072,154,171,149,133
370630017073,13,18,19,15
370630017074,57,123,109,66
370630017075,17,37,41,24
370630017081,217,202,211,207
370630017091,46,66,46,41
370630017092,40,47,72,65
370630017093,500,427,419,395
370630017101,162,161,146,156
370630017102,81,96,57,98
370630017111,72,95,79,71
370630017112,103,93,72,93
370630017113,90,89,97,63
370630018011,67,97,74,93
370630018012,34,21,38,22
370630018013,129,121,97,129
370630018014,274,369,433,381
370630018015,33,36,43,46
370630018021,160,135,128,131
370630018022,70,60,79,60
370630018023,174,165,164,182
370630018024,69,49,49,29
370630018061,65,62,75,65
370630018062,139,229,186,182
370630018071,100,114,106,116
370630018072,81,84,91,90
370630018073,63,92,102,91
370630018081,37,53,69,57
370630018082,146,154,223,124
370630018091,146,142,174,172
370630018092,76,98,101,82
370630019001,26,20,53,32
370630019002,23,28,11,24
370630020071,57,64,68,71
370630020072,54,105,87,82
370630020073,22,39,52,37
370630020081,16,11,39,32
370630020082,50,53,52,61
370630020091,141,126,104,87
370630020092,63,154,91,101
370630020093,213,230,292,314
370630020131,29,29,52,44
370630020132,34,43,58,40
370630020133,25,17,59,29
370630020151,98,109,108,99
370630020152,78,102,95,79
370630020153,204,174,173,225
370630020161,152,166,175,132
370630020162,198,203,185,194
370630020171,23,39,58,57
370630020172,44,39,50,46
370630020173,275,269,253,274
370630020181,35,28,15,12
370630020182,205,274,323,288
370630020183,69,105,86,116
370630020191,50,43,37,54
370630020192,24,32,22,25
370630020193,39,21,24,31
370630020201,16,30,33,44
370630020202,38,74,68,90
370630020211,623,624,655,682
370630020212,45,55,50,64
370630020221,71,64,84,90
370630020222,50,57,89,59
370630020231,46,47,41,35
370630020232,69,77,113,73
370630020241,58,66,75,100
370630020242,31,32,35,16
370630020243,38,49,38,28
370630020251,72,60,60,62
370630020252,77,56,62,82
370630020253,34,39,50,66
370630020261,81,108,104,96
370630020262,244,205,248,271
370630020271,69,98,130,87
370630020272,295,303,394,357
370630020273,113,58,94,57
370630020281,79,74,90,78
370630020282,32,43,60,28
370630020283,172,211,163,200
370630021001,40,29,46,30
370630021002,63,37,29,31
370630021003,43,25,39,29
370630022001,418,458,385,491
370630023001,107,137,99,135
370630023002,95,129,98,101
370639801001,37,28,17,6
