id,y_2011,y_2013
1,456,437
2,816,744
3,1100,1357
4,795,700
5,367,456
6,622,451
7,609,557
8,521,578
9,369,392
10,434,358
11,399,426
12,776,689
13,756,894
14,391,386
15,381,537
16,616,673
17,1106,1121
18,232,128
19,291,387
20,476,364
21,224,243
22,1151,1201
23,1222,1352
24,169,157
25,342,385
26,380,367
27,745,683
28,358,461
29,369,322
30,540,550
31,296,225
32,279,550
33,980,1014
34,174,259
35,426,335
36,304,317
37,332,602
38,338,341
39,313,366
40,772,848
41,164,184
42,817,980
43,262,221
44,526,608
45,618,662
46,982,932
47,322,322
48,1005,1037
49,223,244
50,415,323
51,557,528
52,1693,1544
53,574,693
54,227,144
55,1259,1539
56,565,586
57,940,879
58,885,916
59,1561,1564
60,835,877
61,762,698
62,905,979
63,619,573
64,1110,1321
65,1370,1242
66,701,735
67,1021,1133
68,383,331
69,952,976
70,607,673
71,1730,1921
72,188,309
73,430,263
74,1417,1482
75,1396,1371
76,654,718
77,467,649
78,718,659
79,820,794
80,879,835
81,197,183
82,1209,1591
83,400,502
84,199,264
85,754,921
86,883,827
87,804,1016
88,297,268
89,762,883
90,1695,1830
91,1406,1558
92,1805,1886
93,1565,1315
94,858,954
95,1390,2073
96,1626,1480
97,1901,1871
98,202,190
99,1090,1183
100,1082,948
101,1221,1330
102,529,521
103,407,388
104,1125,1172
105,738,705
106,562,429
107,730,730
108,863,808
109,543,439
110,1003,1196
111,1228,1057
112,1206,1126
113,195,331
114,1638,1989
115,1060,1204
116,1060,1206
117,770,759
118,1114,1317
119,982,987
120,1698,1795
121,1357,1522
122,1020,1041
123,719,978
124,812,887
125,1226,1202
126,1995,2301
127,1840,2008
128,600,566
129,1663,1601
130,1174,1060
131,716,843
132,1046,938
133,2382,2376
134,633,527
135,1020,1007
136,1080,1431
137,1511,1196
138,633,882
139,821,701
140,1863,2149
141,758,889
142,2670,2418
143,1015,983
144,973,1292
145,897,818
146,1664,1833
147,855,1049
148,1056,1120
149,1006,926
150,878,1098
151,209,227
152,63,166
153,24,41
