id,y_2011a,y_2013a
73,12832,12543
74,3642,3745
75,14561,9255
76,9548,13514
77,6413,16986
78,7926,3541
79,14752,8014
80,30397,27258
81,2068,25683
82,15159,13247
83,8685,18935
84,20482,19090
85,16130,26676
86,19033,5078
87,4889,19073
88,23795,31300
89,23291,34089
90,7475,6462
91,16959,11298
92,11386,8409
93,18870,21871
94,27170,18498
95,18990,17057
96,12151,10137
97,13395,12560
98,13365,6140
99,12572,12673
100,6674,25711
101,6365,8555
102,19354,18545
103,61194,45346
104,42246,25748
105,20988,19500
106,26405,18848
107,8431,8400
108,11243,18935
109,13865,22548
110,15247,19434
111,8364,11980
112,5734,10881
113,25753,46075
114,5624,5064
115,10419,6515
116,37153,40112
117,28862,27112
118,13562,13554
119,12444,20594
120,7665,4463
121,28274,15289
122,9129,10141
123,28789,33916
124,23149,28582
125,21451,8473
126,23627,21293
1,19114,19350
2,8851,15350
3,10820,11792
4,4642,6475
5,18818,18202
6,17439,4646
7,31338,29217
8,5441,5738
9,26234,19128
10,19464,9724
11,23381,32321
12,27760,16030
13,3244,7385
14,11614,36992
15,29260,30730
16,37044,52588
17,7835,15531
18,1946,13762
19,13213,5889
20,4955,3939
21,6696,4778
22,12079,14155
23,15013,11480
24,35219,36902
25,9241,4203
26,47343,44079
27,32704,34414
28,6339,10064
29,7048,6575
30,13443,23572
31,5689,2114
32,7922,12207
33,11441,1963
34,6272,7863
35,17678,19058
36,7821,13688
37,2943,2032
38,2663,2471
39,6569,6259
40,7662,10397
41,23308,11533
42,5281,4913
43,7572,6129
44,7989,7367
45,8752,4092
46,7689,5436
47,30309,11589
48,5167,3332
49,4825,17477
50,,
51,31664,36266
52,14139,7866
53,11931,18286
54,18989,19959
55,33060,18392
56,22625,18123
57,14820,11632
58,17458,24023
59,5250,6374
60,12691,15531
61,14939,21356
62,8531,15975
63,4137,10297
64,15043,8963
65,8008,4934
66,17555,25328
67,14747,7917
68,15838,38281
69,49462,25393
70,26619,7271
71,9179,6920
72,15330,25987
127,6837,14101
128,26635,45563
129,9471,7641
130,15180,34849
131,5787,13469
132,20864,29749
133,12040,10047
134,9592,19017
135,25157,18053
136,8630,11198
137,10278,28102
138,8958,15984
139,5121,4745
140,12614,9548
141,1674,1650
142,9214,12305
143,10245,11838
144,30325,12226
145,19953,9622
146,12890,5962
147,21470,23706
148,12749,21776
149,29943,18313
150,6707,13045
151,3616,4303
152,27698,17608
153,,
