id,y_2013,y_2014
1,672,5
2,321,7
3,477,3
4,109,1
5,336,3
6,82,16
7,442,3
8,353,2
9,240,2
10,648,1
11,249,2
12,84,6
13,358,2
14,262,7
15,139,3
16,182,7
17,99,9
18,43,0
19,321,8
20,82,11
21,456,7
22,219,8
23,67,7
24,106,0
25,29,2
26,315,1
27,82,3
28,189,26
29,139,36
30,330,8
31,154,14
32,384,20
33,455,1
34,56,2
35,179,11
36,115,31
37,9,21
38,89,9
39,93,44
40,50,7
41,429,3
42,117,8
43,77,1
44,405,7
45,104,0
46,107,0
47,161,0
48,162,0
49,97,0
50,69,0
51,84,3
52,54,2
53,76,1
54,184,2
55,170,2
56,52,3
57,648,3
58,70,1
59,0,2
60,99,10
61,112,0
62,230,1
63,302,1
64,21,0
65,100,0
66,113,0
67,27,0
68,233,0
69,8,0
70,279,2
71,184,4
72,228,5
73,253,4
74,129,17
75,38,0
76,225,2
77,216,1
78,195,0
79,269,0
80,43,6
81,88,6
82,162,7
83,133,10
84,355,10
85,70,3
86,315,2
87,26,3
88,226,12
89,109,8
90,205,8
91,291,1
92,531,0
93,471,1
94,128,3
95,81,3
96,211,5
97,91,6
98,113,3
99,318,10
100,574,1
101,346,0
102,390,0
103,107,1
104,74,2
105,127,4
106,128,3
107,43,4
108,304,0
109,155,1
110,216,0
111,0,1
112,146,0
113,163,0
114,263,0
115,118,1
116,114,2
117,264,0
118,232,0
119,137,1
120,338,5
121,176,2
122,50,0
123,276,3
124,531,2
125,82,1
126,135,1
127,194,25
128,298,0
129,142,0
130,82,0
131,308,0
132,445,0
133,225,1
134,271,0
135,146,0
136,479,3
137,31,0
138,361,0
139,46,1
140,68,4
141,254,6
142,251,0
143,301,0
144,213,4
145,92,1
146,238,2
147,297,5
148,249,12
149,99,12
150,46,12
151,0,8
152,0,5
153,114,0
