id,y_2011,y_2013,y_2014
370630001011,43125,42083,36111
370630001012,37763,37569,38047
370630001021,31495,35402,30820
370630001022,38558,41121,46726
370630002001,31563,24485,24453
370630002002,32829,34314,36343
370630002003,52857,41944,81875
370630003011,34389,31094,30887
370630003012,51667,46607,36094
370630003013,43375,44271,39875
370630003021,85469,66250,62674
370630003022,50682,37226,42313
370630003023,21828,30805,32839
370630004011,50917,61094,64891
370630004012,69327,79792,83750
370630004013,80068,43125,60368
370630004021,41466,32101,39792
370630005001,5380,4773,4648
370630005002,24573,24943,24180
370630005003,25393,22429,21333
370630005004,17019,21141,23295
370630006001,53333,54836,56302
370630006002,55452,31065,30562
370630006003,160517,128214,108750
370630007001,20221,18342,19524
370630007002,69038,70795,62098
370630007003,58611,74205,65521
370630009001,27266,30099,24250
370630009002,16033,16926,24922
370630010011,31423,27500,45139
370630010012,16391,16058,25819
370630010013,18563,23242,34271
370630010021,22576,21463,22595
370630010022,18050,23621,23652
370630010023,29904,31731,33629
370630010024,28272,28894,32642
370630011001,16339,17710,18548
370630011002,21693,20654,20417
370630013011,13986,18125,20982
370630013031,26333,26579,21473
370630013032,36964,45625,44038
370630013041,22679,22063,21896
370630014001,16219,16048,20875
370630014002,14877,16551,13350
370630015011,7955,9313,8807
370630015021,26801,24219,26327
370630015022,11960,23750,24464
370630015023,27382,26946,26560
370630015024,12835,13389,13145
370630015031,,,0
370630016011,78611,81394,71895
370630016012,70645,72143,76948
370630016013,51620,54878,66250
370630016031,65341,59625,60852
370630016032,88214,77232,68967
370630016033,63917,52177,54281
370630016034,95516,98125,102147
370630016041,79861,84667,70463
370630016042,93377,92790,96891
370630016043,77500,82120,82540
370630017051,48333,43646,48313
370630017052,45117,42548,47689
370630017053,41378,62256,61424
370630017061,41576,41011,37091
370630017062,47450,50754,49189
370630017071,82237,93750,93716
370630017072,60966,60200,57113
370630017073,69864,68250,72000
370630017074,72340,61528,73846
370630017075,70291,73750,73588
370630017081,43981,48550,55029
370630017091,35603,40156,26708
370630017092,35579,24886,22065
370630017093,24458,22220,22086
370630017101,47727,55412,47813
370630017102,26917,35417,33472
370630017111,31387,40750,47083
370630017112,33342,29388,28651
370630017113,32168,31716,32183
370630018011,58523,71538,86324
370630018012,28588,29085,65030
370630018013,49012,70288,69954
370630018014,50321,46957,39423
370630018015,45990,36027,43750
370630018021,35139,38641,41228
370630018022,42308,58886,57083
370630018023,36217,36736,36786
370630018024,41484,30038,25673
370630018061,68281,49375,46250
370630018062,62143,65699,67876
370630018071,45164,46367,45208
370630018072,78665,81813,67813
370630018073,52857,62386,55885
370630018081,91500,89283,88844
370630018082,80357,87368,94375
370630018091,45192,45603,45250
370630018092,57832,70588,65216
370630019001,51875,52917,59236
370630019002,80424,77969,79792
370630020071,91489,91250,71071
370630020072,61538,66369,70032
370630020073,79038,88229,74216
370630020081,150192,127396,138611
370630020082,140345,153000,163472
370630020091,47550,27829,28333
370630020092,42788,46161,46705
370630020093,44797,40203,36302
370630020131,77652,70278,52159
370630020132,65278,66207,53750
370630020133,72852,83424,81958
370630020151,38688,39663,43750
370630020152,31701,34330,38591
370630020153,79286,80446,57010
370630020161,31037,32215,32983
370630020162,37472,38594,34980
370630020171,115909,91150,76010
370630020172,80052,79009,111118
370630020173,62740,61474,60771
370630020181,83333,86429,93682
370630020182,40389,38672,41297
370630020183,104286,104464,106211
370630020191,42417,45000,45720
370630020192,44152,62692,53818
370630020193,82115,90000,78750
370630020201,139063,142324,144823
370630020202,105667,113679,119201
370630020211,38551,46159,53880
370630020212,89896,71184,77109
370630020221,43034,48291,49910
370630020222,65114,69879,80400
370630020231,51691,51667,57550
370630020232,66326,95347,86458
370630020241,98894,105616,105294
370630020242,53517,55813,54659
370630020243,85500,85089,80156
370630020251,63382,69554,72461
370630020252,66533,58750,48546
370630020253,40521,46935,58824
370630020261,38153,38068,37745
370630020262,42946,45034,46989
370630020271,48703,50705,52071
370630020272,49977,57305,49870
370630020273,31901,41480,41926
370630020281,74663,66796,76581
370630020282,43068,55125,55473
370630020283,60432,62691,64250
370630021001,96071,110284,112583
370630021002,74817,77083,81518
370630021003,79188,120259,106076
370630022001,41827,55809,60855
370630023001,16341,21324,18636
370630023002,35563,18889,14500
370639801001,,,0
