id,y_2011a,y_2013a
1,8.70%,8.60%
2,8.60%,9.30%
3,6.40%,4.80%
4,2.10%,1.90%
5,14.90%,9.10%
6,23.50%,3.00%
7,20.80%,2.40%
8,8.10%,4.90%
9,9.10%,10.70%
10,2.10%,4.80%
11,31.50%,2.70%
12,9.90%,9.00%
13,13.60%,1.60%
14,24.40%,3.20%
15,3.40%,3.40%
16,22.10%,4.00%
17,2.10%,2.20%
18,5.10%,8.10%
19,36.80%,4.20%
20,6.50%,7.80%
21,8.40%,8.30%
22,5.70%,3.40%
23,1.50%,9.20%
24,58.30%,9.80%
25,6.80%,9.90%
26,26.90%,3.10%
27,20.70%,6.30%
28,8.80%,7.70%
29,9.80%,6.00%
30,14.70%,6.60%
31,11.30%,12.70%
32,13.60%,6.90%
33,11.20%,13.00%
34,16.40%,3.50%
35,34.40%,3.90%
36,11.60%,25.30%
37,2.40%,6.30%
38,6.00%,8.60%
39,5.00%,7.00%
40,12.90%,6.20%
41,10.90%,8.40%
42,3.70%,4.80%
43,4.40%,8.30%
44,7.90%,7.30%
45,272.20%,32.40%
46,5.00%,4.80%
47,3.10%,2.20%
48,11.70%,6.50%
49,19.20%,20.60%
50,376.90%,#DIV/0!
51,22.70%,2.80%
52,8.40%,2.10%
53,4.70%,5.20%
54,43.90%,5.80%
55,2.00%,8.10%
56,13.00%,12.70%
57,14.30%,2.00%
58,2.30%,5.10%
59,2.70%,3.30%
60,17.00%,2.00%
61,7.90%,17.50%
62,3.00%,1.30%
63,16.30%,2.30%
64,2.80%,2.60%
65,9.10%,1.20%
66,7.90%,2.80%
67,4.20%,4.10%
68,6.50%,8.00%
69,13.80%,1.60%
70,2.70%,1.50%
71,3.90%,5.50%
72,7.10%,3.40%
73,15.50%,4.40%
74,6.40%,7.10%
75,8.30%,1.30%
76,5.70%,8.10%
77,8.10%,7.90%
78,14.30%,5.40%
79,8.00%,6.40%
80,14.00%,1.80%
81,60.10%,6.40%
82,4.60%,4.40%
83,6.90%,8.40%
84,41.40%,4.90%
85,5.10%,3.80%
86,2.50%,3.70%
87,7.30%,8.70%
88,16.20%,19.90%
89,5.00%,4.20%
90,3.00%,2.90%
91,2.00%,1.60%
92,1.50%,1.90%
93,4.30%,1.40%
94,4.40%,1.80%
95,5.00%,4.60%
96,7.40%,1.00%
97,5.60%,5.80%
98,10.90%,12.60%
99,2.30%,1.20%
100,1.40%,2.30%
101,10.30%,1.20%
102,25.40%,3.00%
103,26.10%,3.30%
104,11.90%,1.40%
105,2.00%,3.50%
106,5.40%,6.40%
107,9.20%,3.10%
108,3.90%,1.60%
109,4.60%,5.80%
110,2.90%,3.20%
111,7.00%,10.20%
112,3.00%,4.30%
113,22.70%,4.90%
114,7.30%,1.90%
115,8.70%,1.00%
116,12.40%,1.30%
117,3.10%,1.90%
118,2.50%,2.30%
119,7.40%,0.80%
120,6.70%,0.80%
121,10.40%,1.20%
122,4.20%,2.40%
123,13.00%,1.50%
124,12.70%,1.50%
125,12.50%,1.60%
126,7.80%,0.80%
127,1.30%,3.50%
128,27.50%,2.80%
129,7.30%,5.10%
130,9.70%,1.10%
131,19.10%,1.80%
132,12.90%,1.20%
133,1.20%,1.90%
134,3.80%,6.50%
135,13.70%,1.60%
136,12.30%,1.20%
137,1.90%,1.30%
138,6.30%,3.20%
139,9.70%,6.70%
140,1.30%,1.70%
141,3.80%,1.70%
142,1.10%,1.70%
143,2.00%,3.40%
144,14.10%,1.30%
145,15.10%,2.20%
146,6.90%,1.90%
147,2.80%,3.00%
148,10.70%,1.90%
149,5.10%,6.90%
150,1.70%,0.90%
151,13.90%,17.50%
152,316.10%,10.80%
153,392.00%,37.50%
