id,y_2010
48,382
112,589
115,585
114,1383
136,214
141,369
77,386
146,161
111,906
3,957
128,156
144,172
142,293
81,174
83,321
22,431
18,80
63,199
1,294
145,135
91,818
75,317
23,965
9,177
138,190
6,300
8,206
4,336
76,955
129,124
95,439
96,289
79,314
137,347
45,187
12,325
50,175
130,273
19,70
94,199
143,108
5,116
65,198
150,212
108,170
78,469
61,223
127,147
46,1136
97,242
88,245
10,136
20,495
102,47
109,75
13,312
120,204
80,258
126,133
35,329
55,155
25,43
110,198
101,148
27,46
132,61
52,131
60,111
64,149
122,85
133,212
92,301
7,169
36,706
86,530
33,1243
82,425
28,332
131,74
34,217
31,373
90,420
47,80
85,443
37,573
2,288
84,97
125,72
139,320
74,505
153,3
100,85
30,187
53,120
17,298
14,101
140,511
32,283
62,104
118,172
121,148
152,60
49,65
21,205
135,47
54,55
93,294
38,251
51,61
26,45
123,70
87,292
134,40
99,118
71,329
11,55
113,27
56,66
148,70
58,78
67,77
117,43
16,48
105,328
29,124
66,78
116,74
147,57
72,125
69,89
149,66
104,66
89,132
119,107
98,57
59,65
151,101
106,143
15,43
42,303
24,15
68,28
44,174
124,38
57,53
70,38
39,80
107,121
103,21
40,93
73,50
41,12
43,33
