id,y_2011a,y_2013a
1,17.30%,14.30%
2,14.50%,14.50%
3,11.40%,8.50%
4,11.50%,11.10%
5,20.00%,20.30%
6,16.10%,15.30%
7,15.30%,17.60%
8,12.20%,11.30%
9,18.60%,17.30%
10,16.40%,12.60%
11,6.70%,4.90%
12,16.80%,11.60%
13,13.20%,8.40%
14,15.30%,21.20%
15,10.40%,10.90%
16,15.70%,17.70%
17,7.90%,7.50%
18,13.40%,0.00%
19,14.10%,10.30%
20,8.70%,8.60%
21,15.00%,17.10%
22,11.70%,14.10%
23,13.90%,13.60%
24,58.30%,14.30%
25,10.80%,9.20%
26,13.70%,11.10%
27,9.30%,11.40%
28,10.70%,13.70%
29,17.80%,13.70%
30,17.00%,18.80%
31,13.80%,17.10%
32,10.90%,9.60%
33,13.60%,10.50%
34,20.80%,24.70%
35,18.60%,22.20%
36,18.40%,28.20%
37,8.30%,7.50%
38,13.00%,10.60%
39,12.50%,11.00%
40,16.70%,11.30%
41,22.70%,15.90%
42,8.50%,8.10%
43,14.70%,15.60%
44,11.50%,12.80%
45,0.00%,38.90%
46,8.00%,5.00%
47,0.00%,0.00%
48,1.90%,2.60%
49,0.00%,0.00%
50,0.00%,
51,8.50%,10.00%
52,2.80%,3.30%
53,12.90%,17.20%
54,43.90%,16.30%
55,2.40%,1.10%
56,8.30%,16.40%
57,3.30%,2.10%
58,4.70%,5.40%
59,6.10%,6.70%
60,4.60%,5.20%
61,13.10%,10.60%
62,13.60%,12.00%
63,16.30%,13.90%
64,11.30%,10.00%
65,10.50%,13.90%
66,14.10%,16.00%
67,14.70%,8.10%
68,30.70%,4.90%
69,5.00%,8.40%
70,10.00%,11.00%
71,8.50%,7.10%
72,22.00%,20.90%
73,16.30%,28.70%
74,7.80%,6.00%
75,9.60%,8.50%
76,10.40%,15.60%
77,16.70%,11.80%
78,7.60%,5.20%
79,7.60%,9.30%
80,10.00%,8.70%
81,43.50%,22.30%
82,10.40%,12.70%
83,35.10%,14.80%
84,13.40%,19.30%
85,14.30%,11.20%
86,13.30%,16.10%
87,13.50%,14.70%
88,23.80%,24.40%
89,12.50%,6.20%
90,7.00%,9.60%
91,12.20%,13.10%
92,7.40%,7.20%
93,11.40%,9.30%
94,13.30%,5.80%
95,8.20%,7.10%
96,9.70%,9.70%
97,10.70%,10.10%
98,14.60%,14.80%
99,9.30%,8.10%
100,7.20%,4.80%
101,9.70%,8.80%
102,16.30%,3.00%
103,10.00%,13.60%
104,4.80%,3.80%
105,11.40%,10.30%
106,19.90%,22.70%
107,16.90%,11.50%
108,13.00%,11.20%
109,22.80%,21.60%
110,8.60%,8.60%
111,14.90%,13.40%
112,7.10%,9.00%
113,11.70%,10.00%
114,0.00%,2.80%
115,8.90%,5.80%
116,4.40%,11.20%
117,7.60%,9.10%
118,8.80%,8.20%
119,8.40%,8.00%
120,7.90%,8.50%
121,3.40%,5.30%
122,10.60%,10.60%
123,13.90%,13.60%
124,4.70%,5.80%
125,6.40%,11.90%
126,1.40%,1.40%
127,9.00%,8.40%
128,16.60%,27.20%
129,9.60%,6.30%
130,9.80%,11.50%
131,16.00%,11.10%
132,12.90%,14.60%
133,5.40%,7.90%
134,16.90%,17.00%
135,9.80%,10.00%
136,7.50%,3.70%
137,10.40%,11.90%
138,17.00%,16.30%
139,14.00%,11.20%
140,8.40%,8.20%
141,31.70%,17.20%
142,8.70%,10.10%
143,,5.50%
144,11.60%,15.00%
145,8.50%,0.00%
146,4.70%,7.10%
147,5.80%,4.60%
148,6.90%,8.00%
149,11.20%,8.20%
150,10.60%,6.60%
151,8.60%,11.10%
152,0.00%,15.20%
153,392.00%,37.50%
